scope,parent_residue,close_child_residue,near_miss_child_residue,close_remainder,near_miss_remainder,close_margin,near_miss_margin,margin_gap,close_rank,near_miss_rank,prefix_sequence_match,prefix_component_delta_match,close_prefinal_width,near_miss_prefinal_width,width_delta,reflection_pair_match
B7_birth_parent_siblings,10809,100899,160959,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,10821,281091,221031,13,14,1/119,-4/187,39/1309,1,2,True,True,1/77,1/77,0,False
B7_birth_parent_siblings,10832,401222,461282,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,10916,341246,281186,5,6,1/187,-2/85,27/935,1,2,True,True,1/55,1/55,0,False
B7_birth_parent_siblings,11019,461469,11019,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11031,131151,191211,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,11151,131271,191331,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,11222,341552,401612,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,11229,311529,371589,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11241,491721,431661,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11361,41391,101451,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,11378,11378,71438,5,4,1/221,-10/187,141/2431,1,2,True,True,7/143,7/143,0,False
B7_birth_parent_siblings,11398,281668,221608,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,11409,401799,341739,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,11439,161589,221649,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11451,341781,281721,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11469,491949,431889,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,11541,71601,131661,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,11590,191770,251830,10,9,4/221,-6/187,122/2431,1,2,True,True,2/143,2/143,0,False
B7_birth_parent_siblings,11612,281882,341942,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,11625,161775,101715,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,11649,11649,71709,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11661,191841,131781,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11691,462141,11691,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,11739,312039,251979,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,11756,191936,251996,6,5,5/221,-4/119,87/1547,1,2,True,True,1/91,1/91,0,False
B7_birth_parent_siblings,11788,221998,161938,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,11871,41901,492351,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,11931,11931,71991,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,12002,222212,282272,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,12021,372381,432441,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,12069,222279,162219,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,12081,402471,342411,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,12184,12184,72244,12,11,1/187,-2/85,27/935,1,2,True,True,1/55,1/55,0,False
B7_birth_parent_siblings,12221,462671,402611,16,0,3/187,-5/119,76/1309,1,2,True,True,2/77,2/77,0,False
B7_birth_parent_siblings,12249,372609,312549,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
