birth_k,layer_k,new_prime,new_prime_remainder,center_fraction,center_degrees,transition_label,row_count,reflected_remainder,reflected_row_count,reflection_pair_count
7,5,11,5,5/11,1800/11,miss,50,6,50,100
7,5,11,6,6/11,2160/11,miss,50,5,50,100
7,5,11,7,7/11,2520/11,miss,49,4,49,98
7,5,11,7,7/11,2520/11,trim,19,4,19,38
7,5,11,8,8/11,2880/11,miss,26,3,26,52
7,5,11,8,8/11,2880/11,trim,21,3,21,42
7,5,11,9,9/11,3240/11,miss,32,2,32,64
7,5,11,9,9/11,3240/11,partial_close,3,2,3,6
7,5,11,9,9/11,3240/11,split,1,2,1,2
7,5,11,9,9/11,3240/11,trim,79,2,79,158
7,5,11,10,10/11,3600/11,miss,50,1,50,100
7,5,11,10,10/11,3600/11,trim,1,1,1,2
7,6,13,0,0,0,miss,34,0,34,68
7,6,13,1,1/13,360/13,miss,34,12,34,68
7,6,13,1,1/13,360/13,partial_close,1,12,1,2
7,6,13,2,2/13,720/13,miss,34,11,34,68
7,6,13,2,2/13,720/13,partial_close,1,11,1,2
7,6,13,3,3/13,1080/13,miss,18,10,18,36
7,6,13,3,3/13,1080/13,partial_close,8,10,8,16
7,6,13,3,3/13,1080/13,trim,126,10,126,252
7,6,13,4,4/13,1440/13,miss,33,9,33,66
7,6,13,4,4/13,1440/13,trim,13,9,13,26
7,6,13,5,5/13,1800/13,miss,34,8,34,68
7,6,13,6,6/13,2160/13,miss,34,7,34,68
7,6,13,6,6/13,2160/13,trim,4,7,4,8
7,6,13,7,7/13,2520/13,miss,34,6,34,68
7,6,13,7,7/13,2520/13,trim,4,6,4,8
7,6,13,8,8/13,2880/13,miss,34,5,34,68
7,6,13,9,9/13,3240/13,miss,33,4,33,66
7,6,13,9,9/13,3240/13,trim,13,4,13,26
7,6,13,10,10/13,3600/13,miss,18,3,18,36
7,6,13,10,10/13,3600/13,partial_close,8,3,8,16
7,6,13,10,10/13,3600/13,trim,126,3,126,252
7,6,13,11,11/13,3960/13,miss,34,2,34,68
7,6,13,11,11/13,3960/13,partial_close,1,2,1,2
7,6,13,12,12/13,4320/13,miss,34,1,34,68
7,6,13,12,12/13,4320/13,partial_close,1,1,1,2
7,7,17,1,1/17,360/17,close,1,16,1,2
7,7,17,2,2/17,720/17,close,2,15,2,4
7,7,17,3,3/17,1080/17,close,63,14,63,126
7,7,17,4,4/17,1440/17,close,199,13,199,398
7,7,17,5,5/17,1800/17,close,75,12,75,150
7,7,17,6,6/17,2160/17,close,13,11,13,26
7,7,17,7,7/17,2520/17,close,4,10,4,8
7,7,17,10,10/17,3600/17,close,4,7,4,8
7,7,17,11,11/17,3960/17,close,13,6,13,26
7,7,17,12,12/17,4320/17,close,75,5,75,150
7,7,17,13,13/17,4680/17,close,199,4,199,398
7,7,17,14,14/17,5040/17,close,63,3,63,126
7,7,17,15,15/17,5400/17,close,2,2,2,4
7,7,17,16,16/17,5760/17,close,1,1,1,2
