k,primorial,residue_count,robust_covered_count,endpoint_covered_count,uncovered_count,covered_count,min_lambda_fraction,max_lambda_fraction,distinct_lambda_count,nearest_uncovered_lambda_fraction
4,210,210,0,2,208,2,1/2,1,13,5/9
5,2310,2310,2,34,2274,36,4/9,1,26,7/13
