parent_residue,child_residue,lift_remainder,sibling_role,phase_margin,aperture_tension,phase_rank,transition_label,component_delta,parent_uncovered_exact,child_covered_exact,child_projects_to_parent,parent_gap_count_exact,child_gap_count_exact,exact_b8_birth
66261,9255441,9,sibling_nonbirth,-2/7,2/7,12,miss,0,True,False,True,1,1,False
66261,8744931,10,sibling_nonbirth,-31/133,31/133,10,miss,0,True,False,True,1,1,False
66261,8234421,11,sibling_nonbirth,-24/133,24/133,8,miss,0,True,False,True,1,1,False
66261,7723911,12,sibling_nonbirth,-17/133,17/133,6,miss,0,True,False,True,1,1,False
66261,7213401,13,sibling_nonbirth,-10/133,10/133,4,miss,0,True,False,True,1,1,False
66261,6702891,14,sibling_nonbirth,-3/133,3/133,2,miss,0,True,False,True,1,1,False
66261,6192381,15,birth_close,2/209,-2/209,1,close,-1,True,True,True,1,0,True
66261,5681871,16,sibling_nonbirth,-9/209,9/209,3,miss,0,True,False,True,1,1,False
66261,5171361,17,sibling_nonbirth,-20/209,20/209,5,miss,0,True,False,True,1,1,False
66261,4660851,18,sibling_nonbirth,-31/209,31/209,7,miss,0,True,False,True,1,1,False
72009,9261189,0,sibling_nonbirth,-42/209,42/209,8,miss,0,True,False,True,1,1,False
72009,8750679,1,sibling_nonbirth,-31/209,31/209,6,miss,0,True,False,True,1,1,False
72009,8240169,2,sibling_nonbirth,-20/209,20/209,4,miss,0,True,False,True,1,1,False
72009,7729659,3,sibling_nonbirth,-9/209,9/209,2,miss,0,True,False,True,1,1,False
72009,7219149,4,birth_close,2/247,-2/247,1,close,-1,True,True,True,1,0,True
72009,6708639,5,sibling_nonbirth,-11/247,11/247,3,miss,0,True,False,True,1,1,False
72009,6198129,6,sibling_nonbirth,-24/247,24/247,5,miss,0,True,False,True,1,1,False
72009,5687619,7,sibling_nonbirth,-37/247,37/247,7,miss,0,True,False,True,1,1,False
72009,5177109,8,sibling_nonbirth,-50/247,50/247,9,miss,0,True,False,True,1,1,False
72009,4666599,9,sibling_nonbirth,-63/247,63/247,11,miss,0,True,False,True,1,1,False
72009,4156089,10,sibling_nonbirth,-4/13,4/13,13,miss,0,True,False,True,1,1,False
72009,3645579,11,sibling_nonbirth,-89/247,89/247,15,miss,0,True,False,True,1,1,False
72009,3135069,12,sibling_nonbirth,-102/247,102/247,17,miss,0,True,False,True,1,1,False
72009,2624559,13,sibling_nonbirth,-115/247,115/247,19,miss,0,True,False,True,1,1,False
72009,2114049,14,sibling_nonbirth,-97/209,97/209,18,miss,0,True,False,True,1,1,False
72009,1603539,15,sibling_nonbirth,-86/209,86/209,16,miss,0,True,False,True,1,1,False
72009,1093029,16,sibling_nonbirth,-75/209,75/209,14,miss,0,True,False,True,1,1,False
72009,582519,17,sibling_nonbirth,-64/209,64/209,12,miss,0,True,False,True,1,1,False
72009,72009,18,sibling_nonbirth,-53/209,53/209,10,miss,0,True,False,True,1,1,False
82468,4166548,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
82468,3656038,1,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
82468,3145528,2,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
82468,2635018,3,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
82468,2124508,4,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
82468,1613998,5,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
82468,1103488,6,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
82468,592978,7,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
82468,82468,8,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
82468,9271648,9,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
82468,8761138,10,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
82468,8250628,11,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
82468,7740118,12,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
82468,7229608,13,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
82468,6719098,14,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
82468,6208588,15,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
82468,5698078,16,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
82468,5187568,17,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
82468,4677058,18,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
