scope,birth_parent_residue,child_residue,new_prime_remainder,is_birth,is_close,final_transition_label,transition_sequence,component_delta_sequence,phase_remainder_sequence
B5_birth_parent_siblings,62,1532,3,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>2>2>6>3
B5_birth_parent_siblings,62,1742,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>6>4
B5_birth_parent_siblings,62,1952,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>6>5
B5_birth_parent_siblings,62,2162,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>6>6
B5_birth_parent_siblings,88,88,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>0
B5_birth_parent_siblings,88,298,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>1
B5_birth_parent_siblings,88,508,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>2
B5_birth_parent_siblings,88,718,3,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>3
B5_birth_parent_siblings,88,928,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>4
B5_birth_parent_siblings,88,1138,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>5
B5_birth_parent_siblings,88,1348,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>6
B5_birth_parent_siblings,88,1558,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>7
B5_birth_parent_siblings,88,1768,8,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>1>3>4>8
B5_birth_parent_siblings,88,1978,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>9
B5_birth_parent_siblings,88,2188,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>4>10
B5_birth_parent_siblings,92,92,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>4
B5_birth_parent_siblings,92,302,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>5
B5_birth_parent_siblings,92,512,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>6
B5_birth_parent_siblings,92,722,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>7
B5_birth_parent_siblings,92,932,8,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>8
B5_birth_parent_siblings,92,1142,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>9
B5_birth_parent_siblings,92,1352,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>10
B5_birth_parent_siblings,92,1562,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>0
B5_birth_parent_siblings,92,1772,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>1
B5_birth_parent_siblings,92,1982,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>1>2
B5_birth_parent_siblings,92,2192,3,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>2>2>1>3
B5_birth_parent_siblings,118,118,8,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>1>3>6>8
B5_birth_parent_siblings,118,328,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>9
B5_birth_parent_siblings,118,538,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>10
B5_birth_parent_siblings,118,748,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>0
B5_birth_parent_siblings,118,958,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>1
B5_birth_parent_siblings,118,1168,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>2
B5_birth_parent_siblings,118,1378,3,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>3
B5_birth_parent_siblings,118,1588,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>6>4
