birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,143739,23619,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,144531,24411,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,144896,24776,17,5,1,3/10-7/22,1/55,1/17,38/935,1/187
7,145431,25311,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,145526,25406,17,6,1,9/26-5/14,1/91,1/17,74/1547,5/221
7,147189,27069,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,147309,27189,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,147981,27861,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,149001,28881,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,149068,28948,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,149282,29162,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,149349,29229,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,150879,729,17,4,1,3/14-5/22,1/77,1/17,60/1309,1/119
7,151161,1011,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,152571,2421,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,153591,3441,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,154449,4299,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,154959,4809,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,155698,5548,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,155912,5762,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,156141,5991,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,157791,7641,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,158019,7869,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,159201,9051,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,159711,9561,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,160449,10299,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,160569,10419,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,161589,11439,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,161775,11625,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,163281,13131,17,13,1,17/22-11/14,1/77,1/17,60/1309,1/119
7,164090,13940,17,6,1,9/26-5/14,1/91,1/17,74/1547,5/221
7,164421,14271,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,165159,15009,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,166179,16029,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,166851,16701,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,167079,16929,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,168729,18579,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,168958,18808,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,169264,19114,17,12,1,15/22-7/10,1/55,1/17,38/935,1/187
7,170421,20271,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,172299,22149,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,173709,23559,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,173991,23841,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,175588,25438,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,175802,25652,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,175869,25719,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,176031,25881,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,177399,27249,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,177561,27411,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,179344,29194,17,11,1,9/14-17/26,1/91,1/17,74/1547,5/221
7,179439,29289,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,180339,159,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,181131,951,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,182218,2038,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,182432,2252,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,183009,2829,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,184166,3986,17,5,1,3/10-7/22,1/55,1/17,38/935,1/187
7,184311,4131,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,187251,7071,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,188271,8091,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,188619,8439,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,188848,8668,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,189062,8882,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
