birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,338211,7881,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,340089,9759,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,341246,10916,17,5,1,3/10-7/22,1/55,1/17,38/935,1/187
7,341552,11222,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,341781,11451,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,343431,13101,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,343659,13329,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,344331,14001,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,345351,15021,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,346089,15759,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,346420,16090,17,11,1,9/14-17/26,1/91,1/17,74/1547,5/221
7,347229,16899,17,4,1,3/14-5/22,1/77,1/17,60/1309,1/119
7,348735,18405,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,348921,18591,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,349941,19611,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,350061,19731,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,350799,20469,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,351309,20979,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
