residue_mod_6,residual_gap_endpoints,residual_width,covered_width,zero_point_in_residual,birth_lineage_count,expected_uniform_count,expected_residual_weighted_count,expected_covered_weighted_count,expected_inverse_width_weighted_count,observed_over_uniform,observed_over_residual_weighted,observed_over_covered_weighted,observed_over_inverse_width_weighted
0,1/4-3/4,1/2,1/2,False,0,385/3,385/2,385/4,1925/26,0,0,0,0
1,3/4-1/6,5/12,7/12,True,4,385/3,1925/12,2695/24,1155/13,12/385,48/1925,96/2695,52/1155
2,1/4-1/2,1/4,3/4,False,103,385/3,385/4,1155/8,1925/13,309/385,412/385,824/1155,1339/1925
3,1/6-1/4;3/4-5/6,1/6,5/6,False,556,385/3,385/6,1925/12,5775/26,1668/385,3336/385,6672/1925,14456/5775
4,1/2-3/4,1/4,3/4,False,103,385/3,385/4,1155/8,1925/13,309/385,412/385,824/1155,1339/1925
5,5/6-1/4,5/12,7/12,True,4,385/3,1925/12,2695/24,1155/13,12/385,48/1925,96/2695,52/1155
