k,new_prime,primorial,residue,parent_residue_mod_previous,parent_lambda_fraction,parent_lambda_decimal,current_lambda_fraction,current_lambda_decimal,parent_status,current_status,birth_type
6,13,30030,7251,321,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,8146,1216,13/18,0.7222222222222222,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,9129,2199,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,9981,741,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,10371,1131,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,11079,1839,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,11859,309,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,12711,1161,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,14152,292,13/18,0.7222222222222222,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,14589,729,5/9,0.5555555555555556,3/7,0.42857142857142855,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,14661,801,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,15369,1509,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,15441,1581,5/9,0.5555555555555556,3/7,0.42857142857142855,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,15878,2018,13/18,0.7222222222222222,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,17319,1149,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,18171,2001,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,18951,471,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,19659,1179,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,20049,1569,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,20901,111,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,21884,1094,13/18,0.7222222222222222,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,22779,1989,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,23241,141,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,23631,531,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,23734,634,9/16,0.5625,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,25509,99,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,26164,754,13/18,0.7222222222222222,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,26361,951,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,27531,2121,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,27890,170,13/18,0.7222222222222222,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
6,13,30030,28239,519,7/13,0.5384615384615384,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
6,13,30030,29091,1371,5/9,0.5555555555555556,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,1245,1245,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,1329,1329,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,2121,2121,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,2631,2631,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,3208,3208,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,3422,3422,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,3489,3489,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,4509,4509,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,5223,5223,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,5301,5301,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,6201,6201,5/9,0.5555555555555556,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,7731,7731,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,7959,7959,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,8079,8079,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,9099,9099,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,9771,9771,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,9838,9838,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,10052,10052,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,11378,11378,8/13,0.6153846153846154,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,11649,11649,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,11931,11931,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,12184,12184,9/16,0.5625,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,12434,12434,7/12,0.5833333333333334,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,13341,13341,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,15219,15219,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,16468,16468,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,16682,16682,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,16911,16911,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,18561,18561,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,18789,18789,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,20319,20319,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,20481,20481,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,21219,21219,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,22359,22359,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,24051,24051,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,25191,25191,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,25929,25929,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,27086,27086,9/16,0.5625,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,27621,27621,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,27849,27849,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,29499,29499,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,29728,29728,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,29942,29942,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,30171,141,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,31191,1161,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,31539,1509,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,33069,3039,5/9,0.5555555555555556,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,34479,4449,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,34761,4731,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,35781,5751,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,36358,6328,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,36572,6542,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,36639,6609,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,37149,7119,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,38331,8301,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,38451,8421,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,40114,10084,11/20,0.55,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,40209,10179,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,41391,11361,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,41901,11871,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,42759,12729,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,42988,12958,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,43202,13172,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,43779,13749,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,45081,15051,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,47001,16971,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,47739,17709,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,47839,17809,11/18,0.6111111111111112,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,48369,18339,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,49041,19011,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,49832,19802,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,50919,20889,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,51454,21424,9/16,0.5625,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,51711,21681,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,52611,22581,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,52706,22676,11/20,0.55,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,54369,24339,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,54489,24459,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,56181,26151,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,56248,26218,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,56462,26432,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,58059,28029,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,58221,28191,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,58341,28311,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,59589,29559,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,59673,29643,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,59751,29721,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,61629,1569,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,61988,1928,11/20,0.55,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,62878,2818,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,63092,3032,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,63321,3261,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,64971,4911,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,65199,5139,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,66891,6831,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,67629,7569,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,68769,8709,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,69441,9381,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,70461,10401,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,70809,10749,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,71601,11541,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,72339,12279,5/9,0.5555555555555556,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,74031,13971,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,74259,14199,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,75051,14991,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,75909,15849,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,76138,16078,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,76352,16292,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,76419,16359,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,77601,17541,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,79479,19419,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,80661,20601,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,80889,20829,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,81171,21111,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,82029,21969,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,82768,22708,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,82982,22922,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,83049,22989,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,84741,24681,5/9,0.5555555555555556,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,84861,24801,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,86271,26211,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,86524,26464,11/20,0.55,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,86619,26559,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,87519,27459,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,87639,27579,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,88311,28251,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,89398,29338,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,89612,29552,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,90189,99,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,90724,634,9/16,0.5625,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,91491,1401,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,94149,4059,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,95451,5361,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,96028,5938,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,97329,7239,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,97491,7401,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,98121,8031,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,98859,8769,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,99021,8931,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,99116,9026,11/20,0.55,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,100779,10689,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,100857,10767,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,100899,10809,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,102591,12501,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,102658,12568,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,102872,12782,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,103347,13257,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,104469,14379,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,105626,15536,9/16,0.5625,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,106161,16071,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,107325,17235,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,108039,17949,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,108711,18621,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,109288,19198,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,109502,19412,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,109731,19641,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,110079,19989,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,111381,21291,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,111609,21519,5/9,0.5555555555555556,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,113301,23211,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,113480,23390,8/13,0.6153846153846154,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,114321,24231,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,114536,24446,7/12,0.5833333333333334,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,115179,25089,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,115689,25599,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,116871,26781,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,118011,27921,9/16,0.5625,9/20,0.45,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,118749,28659,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,119931,29841,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,120441,321,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,120669,549,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,121299,1179,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,122319,2199,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,122762,2642,4/7,0.5714285714285714,1/2,0.5,uncovered,endpoint_covered,strict_single_gap_birth
7,17,510510,124011,3891,5/9,0.5555555555555556,11/24,0.4583333333333333,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,125541,5421,7/13,0.5384615384615384,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,125889,5769,5/9,0.5555555555555556,9/19,0.47368421052631576,uncovered,robust_covered,strict_single_gap_birth
7,17,510510,127299,7179,9/16,0.5625,7/15,0.4666666666666667,uncovered,robust_covered,strict_single_gap_birth
