parent_k,child_k,parent_modulus,child_modulus,parent_residue,child_residue,new_prime,new_prime_remainder,old_gap_count,old_gap_boundary_endpoints,new_prime_closed_arc_boundary_endpoints,closed_gap_count,remaining_gap_count,remaining_gap_boundary_endpoints,transition_type,is_b5_birth
4,5,210,2310,5,5,11,5,2,1/10-1/4;5/6-9/10,9/22-1/2,0,2,1/10-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,215,11,6,2,1/10-1/4;5/6-9/10,1/2-13/22,0,2,1/10-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,425,11,7,2,1/10-1/4;5/6-9/10,13/22-15/22,0,2,1/10-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,635,11,8,2,1/10-1/4;5/6-9/10,15/22-17/22,0,2,1/10-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,845,11,9,2,1/10-1/4;5/6-9/10,17/22-19/22,0,2,1/10-1/4;19/22-9/10,not_close,False
4,5,210,2310,5,1055,11,10,2,1/10-1/4;5/6-9/10,19/22-21/22,0,2,1/10-1/4;5/6-19/22,not_close,False
4,5,210,2310,5,1265,11,0,2,1/10-1/4;5/6-9/10,0-1/22;21/22-1,0,2,1/10-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,1475,11,1,2,1/10-1/4;5/6-9/10,1/22-3/22,0,2,3/22-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,1685,11,2,2,1/10-1/4;5/6-9/10,3/22-5/22,0,3,1/10-3/22;5/22-1/4;5/6-9/10,not_close,False
4,5,210,2310,5,1895,11,3,2,1/10-1/4;5/6-9/10,5/22-7/22,0,2,1/10-5/22;5/6-9/10,not_close,False
4,5,210,2310,5,2105,11,4,2,1/10-1/4;5/6-9/10,7/22-9/22,0,2,1/10-1/4;5/6-9/10,not_close,False
4,5,210,2310,6,6,11,6,1,3/10-3/4,1/2-13/22,0,2,3/10-1/2;13/22-3/4,not_close,False
4,5,210,2310,6,216,11,7,1,3/10-3/4,13/22-15/22,0,2,3/10-13/22;15/22-3/4,not_close,False
4,5,210,2310,6,426,11,8,1,3/10-3/4,15/22-17/22,0,1,3/10-15/22,not_close,False
4,5,210,2310,6,636,11,9,1,3/10-3/4,17/22-19/22,0,1,3/10-3/4,not_close,False
4,5,210,2310,6,846,11,10,1,3/10-3/4,19/22-21/22,0,1,3/10-3/4,not_close,False
4,5,210,2310,6,1056,11,0,1,3/10-3/4,0-1/22;21/22-1,0,1,3/10-3/4,not_close,False
4,5,210,2310,6,1266,11,1,1,3/10-3/4,1/22-3/22,0,1,3/10-3/4,not_close,False
4,5,210,2310,6,1476,11,2,1,3/10-3/4,3/22-5/22,0,1,3/10-3/4,not_close,False
4,5,210,2310,6,1686,11,3,1,3/10-3/4,5/22-7/22,0,1,7/22-3/4,not_close,False
4,5,210,2310,6,1896,11,4,1,3/10-3/4,7/22-9/22,0,2,3/10-7/22;9/22-3/4,not_close,False
4,5,210,2310,6,2106,11,5,1,3/10-3/4,9/22-1/2,0,2,3/10-9/22;1/2-3/4,not_close,False
4,5,210,2310,7,7,11,7,2,1/14-1/6;3/4-13/14,13/22-15/22,0,2,1/14-1/6;3/4-13/14,not_close,False
4,5,210,2310,7,217,11,8,2,1/14-1/6;3/4-13/14,15/22-17/22,0,2,1/14-1/6;17/22-13/14,not_close,False
4,5,210,2310,7,427,11,9,2,1/14-1/6;3/4-13/14,17/22-19/22,0,3,1/14-1/6;3/4-17/22;19/22-13/14,not_close,False
4,5,210,2310,7,637,11,10,2,1/14-1/6;3/4-13/14,19/22-21/22,0,2,1/14-1/6;3/4-19/22,not_close,False
4,5,210,2310,7,847,11,0,2,1/14-1/6;3/4-13/14,0-1/22;21/22-1,0,2,1/14-1/6;3/4-13/14,not_close,False
4,5,210,2310,7,1057,11,1,2,1/14-1/6;3/4-13/14,1/22-3/22,0,2,3/22-1/6;3/4-13/14,not_close,False
4,5,210,2310,7,1267,11,2,2,1/14-1/6;3/4-13/14,3/22-5/22,0,2,1/14-3/22;3/4-13/14,not_close,False
4,5,210,2310,7,1477,11,3,2,1/14-1/6;3/4-13/14,5/22-7/22,0,2,1/14-1/6;3/4-13/14,not_close,False
4,5,210,2310,7,1687,11,4,2,1/14-1/6;3/4-13/14,7/22-9/22,0,2,1/14-1/6;3/4-13/14,not_close,False
4,5,210,2310,7,1897,11,5,2,1/14-1/6;3/4-13/14,9/22-1/2,0,2,1/14-1/6;3/4-13/14,not_close,False
4,5,210,2310,7,2107,11,6,2,1/14-1/6;3/4-13/14,1/2-13/22,0,2,1/14-1/6;3/4-13/14,not_close,False
4,5,210,2310,8,8,11,8,1,1/4-1/2,15/22-17/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,218,11,9,1,1/4-1/2,17/22-19/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,428,11,10,1,1/4-1/2,19/22-21/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,638,11,0,1,1/4-1/2,0-1/22;21/22-1,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,848,11,1,1,1/4-1/2,1/22-3/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,1058,11,2,1,1/4-1/2,3/22-5/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,1268,11,3,1,1/4-1/2,5/22-7/22,0,1,7/22-1/2,not_close,False
4,5,210,2310,8,1478,11,4,1,1/4-1/2,7/22-9/22,0,2,1/4-7/22;9/22-1/2,not_close,False
4,5,210,2310,8,1688,11,5,1,1/4-1/2,9/22-1/2,0,1,1/4-9/22,not_close,False
4,5,210,2310,8,1898,11,6,1,1/4-1/2,1/2-13/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,8,2108,11,7,1,1/4-1/2,13/22-15/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,9,9,11,9,1,1/6-3/14,17/22-19/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,219,11,10,1,1/6-3/14,19/22-21/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,429,11,0,1,1/6-3/14,0-1/22;21/22-1,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,639,11,1,1,1/6-3/14,1/22-3/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,849,11,2,1,1/6-3/14,3/22-5/22,1,0,,close,True
4,5,210,2310,9,1059,11,3,1,1/6-3/14,5/22-7/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,1269,11,4,1,1/6-3/14,7/22-9/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,1479,11,5,1,1/6-3/14,9/22-1/2,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,1689,11,6,1,1/6-3/14,1/2-13/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,1899,11,7,1,1/6-3/14,13/22-15/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,9,2109,11,8,1,1/6-3/14,15/22-17/22,0,1,1/6-3/14,not_close,False
4,5,210,2310,10,10,11,10,1,1/2-3/4,19/22-21/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,220,11,0,1,1/2-3/4,0-1/22;21/22-1,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,430,11,1,1,1/2-3/4,1/22-3/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,640,11,2,1,1/2-3/4,3/22-5/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,850,11,3,1,1/2-3/4,5/22-7/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,1060,11,4,1,1/2-3/4,7/22-9/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,1270,11,5,1,1/2-3/4,9/22-1/2,0,1,1/2-3/4,not_close,False
4,5,210,2310,10,1480,11,6,1,1/2-3/4,1/2-13/22,0,1,13/22-3/4,not_close,False
4,5,210,2310,10,1690,11,7,1,1/2-3/4,13/22-15/22,0,2,1/2-13/22;15/22-3/4,not_close,False
4,5,210,2310,10,1900,11,8,1,1/2-3/4,15/22-17/22,0,1,1/2-15/22,not_close,False
4,5,210,2310,10,2110,11,9,1,1/2-3/4,17/22-19/22,0,1,1/2-3/4,not_close,False
4,5,210,2310,11,11,11,0,1,5/6-1/10,0-1/22;21/22-1,0,2,5/6-21/22;1/22-1/10,not_close,False
4,5,210,2310,11,221,11,1,1,5/6-1/10,1/22-3/22,0,2,5/6-1;0-1/22,not_close,False
4,5,210,2310,11,431,11,2,1,5/6-1/10,3/22-5/22,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,641,11,3,1,5/6-1/10,5/22-7/22,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,851,11,4,1,5/6-1/10,7/22-9/22,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,1061,11,5,1,5/6-1/10,9/22-1/2,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,1271,11,6,1,5/6-1/10,1/2-13/22,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,1481,11,7,1,5/6-1/10,13/22-15/22,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,1691,11,8,1,5/6-1/10,15/22-17/22,0,2,5/6-1;0-1/10,not_close,False
4,5,210,2310,11,1901,11,9,1,5/6-1/10,17/22-19/22,0,2,19/22-1;0-1/10,not_close,False
4,5,210,2310,11,2111,11,10,1,5/6-1/10,19/22-21/22,0,3,5/6-19/22;21/22-1;0-1/10,not_close,False
4,5,210,2310,12,12,11,1,2,1/4-3/10;1/2-9/14,1/22-3/22,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,222,11,2,2,1/4-3/10;1/2-9/14,3/22-5/22,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,432,11,3,2,1/4-3/10;1/2-9/14,5/22-7/22,1,1,1/2-9/14,not_close,False
4,5,210,2310,12,642,11,4,2,1/4-3/10;1/2-9/14,7/22-9/22,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,852,11,5,2,1/4-3/10;1/2-9/14,9/22-1/2,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,1062,11,6,2,1/4-3/10;1/2-9/14,1/2-13/22,0,2,1/4-3/10;13/22-9/14,not_close,False
4,5,210,2310,12,1272,11,7,2,1/4-3/10;1/2-9/14,13/22-15/22,0,2,1/4-3/10;1/2-13/22,not_close,False
4,5,210,2310,12,1482,11,8,2,1/4-3/10;1/2-9/14,15/22-17/22,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,1692,11,9,2,1/4-3/10;1/2-9/14,17/22-19/22,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,1902,11,10,2,1/4-3/10;1/2-9/14,19/22-21/22,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,12,2112,11,0,2,1/4-3/10;1/2-9/14,0-1/22;21/22-1,0,2,1/4-3/10;1/2-9/14,not_close,False
4,5,210,2310,13,13,11,2,2,3/4-11/14;13/14-1/6,3/22-5/22,0,3,3/4-11/14;13/14-1;0-3/22,not_close,False
4,5,210,2310,13,223,11,3,2,3/4-11/14;13/14-1/6,5/22-7/22,0,3,3/4-11/14;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,433,11,4,2,3/4-11/14;13/14-1/6,7/22-9/22,0,3,3/4-11/14;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,643,11,5,2,3/4-11/14;13/14-1/6,9/22-1/2,0,3,3/4-11/14;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,853,11,6,2,3/4-11/14;13/14-1/6,1/2-13/22,0,3,3/4-11/14;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,1063,11,7,2,3/4-11/14;13/14-1/6,13/22-15/22,0,3,3/4-11/14;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,1273,11,8,2,3/4-11/14;13/14-1/6,15/22-17/22,0,3,17/22-11/14;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,1483,11,9,2,3/4-11/14;13/14-1/6,17/22-19/22,0,3,3/4-17/22;13/14-1;0-1/6,not_close,False
4,5,210,2310,13,1693,11,10,2,3/4-11/14;13/14-1/6,19/22-21/22,0,3,3/4-11/14;21/22-1;0-1/6,not_close,False
