selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,18188,5,18188,miss,-25/209,5,25/209,pure_miss
capacity_top_200,18188,6,9207368,miss,-14/209,3,14/209,pure_miss
capacity_top_200,18188,7,8696858,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,18188,8,8186348,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,18188,9,7675838,miss,-12/133,4,12/133,pure_miss
capacity_top_200,18188,10,7165328,miss,-1/7,6,1/7,pure_miss
capacity_top_200,18188,11,6654818,miss,-26/133,8,26/133,pure_miss
capacity_top_200,18188,12,6144308,miss,-33/133,10,33/133,pure_miss
capacity_top_200,18188,13,5633798,miss,-40/133,12,40/133,pure_miss
capacity_top_200,18188,14,5123288,miss,-47/133,14,47/133,pure_miss
capacity_top_200,18188,15,4612778,miss,-54/133,16,54/133,pure_miss
capacity_top_200,18188,16,4102268,miss,-61/133,18,61/133,pure_miss
capacity_top_200,18188,17,3591758,miss,-102/209,19,102/209,pure_miss
capacity_top_200,18188,18,3081248,miss,-91/209,17,91/209,pure_miss
capacity_top_200,18310,0,6654940,miss,-80/209,15,80/209,pure_miss
capacity_top_200,18310,1,6144430,miss,-91/209,17,91/209,pure_miss
capacity_top_200,18310,2,5633920,miss,-102/209,19,102/209,pure_miss
capacity_top_200,18310,3,5123410,miss,-61/133,18,61/133,pure_miss
capacity_top_200,18310,4,4612900,miss,-54/133,16,54/133,pure_miss
capacity_top_200,18310,5,4102390,miss,-47/133,14,47/133,pure_miss
capacity_top_200,18310,6,3591880,miss,-40/133,12,40/133,pure_miss
capacity_top_200,18310,7,3081370,miss,-33/133,10,33/133,pure_miss
capacity_top_200,18310,8,2570860,miss,-26/133,8,26/133,pure_miss
capacity_top_200,18310,9,2060350,miss,-1/7,6,1/7,pure_miss
capacity_top_200,18310,10,1549840,miss,-12/133,4,12/133,pure_miss
capacity_top_200,18310,11,1039330,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,18310,12,528820,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,18310,13,18310,miss,-14/209,3,14/209,pure_miss
capacity_top_200,18310,14,9207490,miss,-25/209,5,25/209,pure_miss
capacity_top_200,18310,15,8696980,miss,-36/209,7,36/209,pure_miss
capacity_top_200,18310,16,8186470,miss,-47/209,9,47/209,pure_miss
capacity_top_200,18310,17,7675960,miss,-58/209,11,58/209,pure_miss
capacity_top_200,18310,18,7165450,miss,-69/209,13,69/209,pure_miss
capacity_top_200,18650,0,5634260,miss,-80/209,15,80/209,pure_miss
capacity_top_200,18650,1,5123750,miss,-69/209,13,69/209,pure_miss
capacity_top_200,18650,2,4613240,miss,-58/209,11,58/209,pure_miss
capacity_top_200,18650,3,4102730,miss,-47/209,9,47/209,pure_miss
capacity_top_200,18650,4,3592220,miss,-36/209,7,36/209,pure_miss
capacity_top_200,18650,5,3081710,miss,-25/209,5,25/209,pure_miss
capacity_top_200,18650,6,2571200,miss,-14/209,3,14/209,pure_miss
capacity_top_200,18650,7,2060690,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,18650,8,1550180,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,18650,9,1039670,miss,-12/133,4,12/133,pure_miss
capacity_top_200,18650,10,529160,miss,-1/7,6,1/7,pure_miss
capacity_top_200,18650,11,18650,miss,-26/133,8,26/133,pure_miss
capacity_top_200,18650,12,9207830,miss,-33/133,10,33/133,pure_miss
capacity_top_200,18650,13,8697320,miss,-40/133,12,40/133,pure_miss
capacity_top_200,18650,14,8186810,miss,-47/133,14,47/133,pure_miss
capacity_top_200,18650,15,7676300,miss,-54/133,16,54/133,pure_miss
capacity_top_200,18650,16,7165790,miss,-61/133,18,61/133,pure_miss
capacity_top_200,18650,17,6655280,miss,-102/209,19,102/209,pure_miss
capacity_top_200,18650,18,6144770,miss,-91/209,17,91/209,pure_miss
capacity_top_200,18772,0,18772,miss,-80/209,15,80/209,pure_miss
capacity_top_200,18772,1,9207952,miss,-91/209,17,91/209,pure_miss
capacity_top_200,18772,2,8697442,miss,-102/209,19,102/209,pure_miss
capacity_top_200,18772,3,8186932,miss,-61/133,18,61/133,pure_miss
capacity_top_200,18772,4,7676422,miss,-54/133,16,54/133,pure_miss
capacity_top_200,18772,5,7165912,miss,-47/133,14,47/133,pure_miss
capacity_top_200,18772,6,6655402,miss,-40/133,12,40/133,pure_miss
capacity_top_200,18772,7,6144892,miss,-33/133,10,33/133,pure_miss
capacity_top_200,18772,8,5634382,miss,-26/133,8,26/133,pure_miss
capacity_top_200,18772,9,5123872,miss,-1/7,6,1/7,pure_miss
capacity_top_200,18772,10,4613362,miss,-12/133,4,12/133,pure_miss
capacity_top_200,18772,11,4102852,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,18772,12,3592342,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,18772,13,3081832,miss,-14/209,3,14/209,pure_miss
capacity_top_200,18772,14,2571322,miss,-25/209,5,25/209,pure_miss
capacity_top_200,18772,15,2060812,miss,-36/209,7,36/209,pure_miss
capacity_top_200,18772,16,1550302,miss,-47/209,9,47/209,pure_miss
capacity_top_200,18772,17,1039792,miss,-58/209,11,58/209,pure_miss
capacity_top_200,18772,18,529282,miss,-69/209,13,69/209,pure_miss
capacity_top_200,19234,0,3082294,miss,-80/209,15,80/209,pure_miss
capacity_top_200,19234,1,2571784,miss,-91/209,17,91/209,pure_miss
capacity_top_200,19234,2,2061274,miss,-102/209,19,102/209,pure_miss
capacity_top_200,19234,3,1550764,miss,-61/133,18,61/133,pure_miss
capacity_top_200,19234,4,1040254,miss,-54/133,16,54/133,pure_miss
capacity_top_200,19234,5,529744,miss,-47/133,14,47/133,pure_miss
capacity_top_200,19234,6,19234,miss,-40/133,12,40/133,pure_miss
capacity_top_200,19234,7,9208414,miss,-33/133,10,33/133,pure_miss
capacity_top_200,19234,8,8697904,miss,-26/133,8,26/133,pure_miss
capacity_top_200,19234,9,8187394,miss,-1/7,6,1/7,pure_miss
capacity_top_200,19234,10,7676884,miss,-12/133,4,12/133,pure_miss
capacity_top_200,19234,11,7166374,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,19234,12,6655864,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,19234,13,6145354,miss,-14/209,3,14/209,pure_miss
capacity_top_200,19234,14,5634844,miss,-25/209,5,25/209,pure_miss
capacity_top_200,19234,15,5124334,miss,-36/209,7,36/209,pure_miss
capacity_top_200,19234,16,4613824,miss,-47/209,9,47/209,pure_miss
capacity_top_200,19234,17,4103314,miss,-58/209,11,58/209,pure_miss
capacity_top_200,19234,18,3592804,miss,-69/209,13,69/209,pure_miss
capacity_top_200,20036,0,5125136,miss,-80/209,15,80/209,pure_miss
capacity_top_200,20036,1,4614626,miss,-69/209,13,69/209,pure_miss
capacity_top_200,20036,2,4104116,miss,-58/209,11,58/209,pure_miss
capacity_top_200,20036,3,3593606,miss,-47/209,9,47/209,pure_miss
capacity_top_200,20036,4,3083096,miss,-36/209,7,36/209,pure_miss
capacity_top_200,20036,5,2572586,miss,-25/209,5,25/209,pure_miss
capacity_top_200,20036,6,2062076,miss,-14/209,3,14/209,pure_miss
capacity_top_200,20036,7,1551566,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,20036,8,1041056,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,20036,9,530546,miss,-12/133,4,12/133,pure_miss
capacity_top_200,20036,10,20036,miss,-1/7,6,1/7,pure_miss
capacity_top_200,20036,11,9209216,miss,-26/133,8,26/133,pure_miss
capacity_top_200,20036,12,8698706,miss,-33/133,10,33/133,pure_miss
capacity_top_200,20036,13,8188196,miss,-40/133,12,40/133,pure_miss
capacity_top_200,20036,14,7677686,miss,-47/133,14,47/133,pure_miss
capacity_top_200,20036,15,7167176,miss,-54/133,16,54/133,pure_miss
capacity_top_200,20036,16,6656666,miss,-61/133,18,61/133,pure_miss
capacity_top_200,20036,17,6146156,miss,-102/209,19,102/209,pure_miss
capacity_top_200,20036,18,5635646,miss,-91/209,17,91/209,pure_miss
capacity_top_200,20498,0,8188658,miss,-80/209,15,80/209,pure_miss
capacity_top_200,20498,1,7678148,miss,-69/209,13,69/209,pure_miss
capacity_top_200,20498,2,7167638,miss,-58/209,11,58/209,pure_miss
capacity_top_200,20498,3,6657128,miss,-47/209,9,47/209,pure_miss
capacity_top_200,20498,4,6146618,miss,-36/209,7,36/209,pure_miss
capacity_top_200,20498,5,5636108,miss,-25/209,5,25/209,pure_miss
capacity_top_200,20498,6,5125598,miss,-14/209,3,14/209,pure_miss
capacity_top_200,20498,7,4615088,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,20498,8,4104578,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,20498,9,3594068,miss,-12/133,4,12/133,pure_miss
capacity_top_200,20498,10,3083558,miss,-1/7,6,1/7,pure_miss
capacity_top_200,20498,11,2573048,miss,-26/133,8,26/133,pure_miss
capacity_top_200,20498,12,2062538,miss,-33/133,10,33/133,pure_miss
capacity_top_200,20498,13,1552028,miss,-40/133,12,40/133,pure_miss
capacity_top_200,20498,14,1041518,miss,-47/133,14,47/133,pure_miss
capacity_top_200,20498,15,531008,miss,-54/133,16,54/133,pure_miss
capacity_top_200,20498,16,20498,miss,-61/133,18,61/133,pure_miss
capacity_top_200,20498,17,9209678,miss,-102/209,19,102/209,pure_miss
capacity_top_200,20498,18,8699168,miss,-91/209,17,91/209,pure_miss
capacity_top_200,20620,0,2573170,miss,-80/209,15,80/209,pure_miss
capacity_top_200,20620,1,2062660,miss,-91/209,17,91/209,pure_miss
capacity_top_200,20620,2,1552150,miss,-102/209,19,102/209,pure_miss
capacity_top_200,20620,3,1041640,miss,-61/133,18,61/133,pure_miss
capacity_top_200,20620,4,531130,miss,-54/133,16,54/133,pure_miss
capacity_top_200,20620,5,20620,miss,-47/133,14,47/133,pure_miss
capacity_top_200,20620,6,9209800,miss,-40/133,12,40/133,pure_miss
capacity_top_200,20620,7,8699290,miss,-33/133,10,33/133,pure_miss
capacity_top_200,20620,8,8188780,miss,-26/133,8,26/133,pure_miss
capacity_top_200,20620,9,7678270,miss,-1/7,6,1/7,pure_miss
capacity_top_200,20620,10,7167760,miss,-12/133,4,12/133,pure_miss
capacity_top_200,20620,11,6657250,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,20620,12,6146740,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,20620,13,5636230,miss,-14/209,3,14/209,pure_miss
capacity_top_200,20620,14,5125720,miss,-25/209,5,25/209,pure_miss
capacity_top_200,20620,15,4615210,miss,-36/209,7,36/209,pure_miss
capacity_top_200,20620,16,4104700,miss,-47/209,9,47/209,pure_miss
capacity_top_200,20620,17,3594190,miss,-58/209,11,58/209,pure_miss
capacity_top_200,20620,18,3083680,miss,-69/209,13,69/209,pure_miss
capacity_top_200,20960,0,1552490,miss,-80/209,15,80/209,pure_miss
capacity_top_200,20960,1,1041980,miss,-69/209,13,69/209,pure_miss
capacity_top_200,20960,2,531470,miss,-58/209,11,58/209,pure_miss
capacity_top_200,20960,3,20960,miss,-47/209,9,47/209,pure_miss
capacity_top_200,20960,4,9210140,miss,-36/209,7,36/209,pure_miss
capacity_top_200,20960,5,8699630,miss,-25/209,5,25/209,pure_miss
capacity_top_200,20960,6,8189120,miss,-14/209,3,14/209,pure_miss
capacity_top_200,20960,7,7678610,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,20960,8,7168100,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,20960,9,6657590,miss,-12/133,4,12/133,pure_miss
capacity_top_200,20960,10,6147080,miss,-1/7,6,1/7,pure_miss
capacity_top_200,20960,11,5636570,miss,-26/133,8,26/133,pure_miss
capacity_top_200,20960,12,5126060,miss,-33/133,10,33/133,pure_miss
capacity_top_200,20960,13,4615550,miss,-40/133,12,40/133,pure_miss
capacity_top_200,20960,14,4105040,miss,-47/133,14,47/133,pure_miss
capacity_top_200,20960,15,3594530,miss,-54/133,16,54/133,pure_miss
capacity_top_200,20960,16,3084020,miss,-61/133,18,61/133,pure_miss
capacity_top_200,20960,17,2573510,miss,-102/209,19,102/209,pure_miss
capacity_top_200,20960,18,2063000,miss,-91/209,17,91/209,pure_miss
capacity_top_200,21082,0,5636692,miss,-80/209,15,80/209,pure_miss
capacity_top_200,21082,1,5126182,miss,-91/209,17,91/209,pure_miss
capacity_top_200,21082,2,4615672,miss,-102/209,19,102/209,pure_miss
capacity_top_200,21082,3,4105162,miss,-61/133,18,61/133,pure_miss
capacity_top_200,21082,4,3594652,miss,-54/133,16,54/133,pure_miss
capacity_top_200,21082,5,3084142,miss,-47/133,14,47/133,pure_miss
capacity_top_200,21082,6,2573632,miss,-40/133,12,40/133,pure_miss
capacity_top_200,21082,7,2063122,miss,-33/133,10,33/133,pure_miss
capacity_top_200,21082,8,1552612,miss,-26/133,8,26/133,pure_miss
capacity_top_200,21082,9,1042102,miss,-1/7,6,1/7,pure_miss
capacity_top_200,21082,10,531592,miss,-12/133,4,12/133,pure_miss
capacity_top_200,21082,11,21082,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,21082,12,9210262,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,21082,13,8699752,miss,-14/209,3,14/209,pure_miss
capacity_top_200,21082,14,8189242,miss,-25/209,5,25/209,pure_miss
capacity_top_200,21082,15,7678732,miss,-36/209,7,36/209,pure_miss
capacity_top_200,21082,16,7168222,miss,-47/209,9,47/209,pure_miss
capacity_top_200,21082,17,6657712,miss,-58/209,11,58/209,pure_miss
capacity_top_200,21082,18,6147202,miss,-69/209,13,69/209,pure_miss
capacity_top_200,21544,0,8700214,miss,-80/209,15,80/209,pure_miss
capacity_top_200,21544,1,8189704,miss,-91/209,17,91/209,pure_miss
capacity_top_200,21544,2,7679194,miss,-102/209,19,102/209,pure_miss
capacity_top_200,21544,3,7168684,miss,-61/133,18,61/133,pure_miss
capacity_top_200,21544,4,6658174,miss,-54/133,16,54/133,pure_miss
capacity_top_200,21544,5,6147664,miss,-47/133,14,47/133,pure_miss
capacity_top_200,21544,6,5637154,miss,-40/133,12,40/133,pure_miss
capacity_top_200,21544,7,5126644,miss,-33/133,10,33/133,pure_miss
capacity_top_200,21544,8,4616134,miss,-26/133,8,26/133,pure_miss
capacity_top_200,21544,9,4105624,miss,-1/7,6,1/7,pure_miss
capacity_top_200,21544,10,3595114,miss,-12/133,4,12/133,pure_miss
capacity_top_200,21544,11,3084604,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,21544,12,2574094,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,21544,13,2063584,miss,-14/209,3,14/209,pure_miss
capacity_top_200,21544,14,1553074,miss,-25/209,5,25/209,pure_miss
capacity_top_200,21544,15,1042564,miss,-36/209,7,36/209,pure_miss
capacity_top_200,21544,16,532054,miss,-47/209,9,47/209,pure_miss
capacity_top_200,21544,17,21544,miss,-58/209,11,58/209,pure_miss
capacity_top_200,21544,18,9210724,miss,-69/209,13,69/209,pure_miss
capacity_top_200,22006,0,2064046,miss,-80/209,15,80/209,pure_miss
capacity_top_200,22006,1,1553536,miss,-91/209,17,91/209,pure_miss
capacity_top_200,22006,2,1043026,miss,-102/209,19,102/209,pure_miss
capacity_top_200,22006,3,532516,miss,-61/133,18,61/133,pure_miss
capacity_top_200,22006,4,22006,miss,-54/133,16,54/133,pure_miss
capacity_top_200,22006,5,9211186,miss,-47/133,14,47/133,pure_miss
capacity_top_200,22006,6,8700676,miss,-40/133,12,40/133,pure_miss
capacity_top_200,22006,7,8190166,miss,-33/133,10,33/133,pure_miss
capacity_top_200,22006,8,7679656,miss,-26/133,8,26/133,pure_miss
capacity_top_200,22006,9,7169146,miss,-1/7,6,1/7,pure_miss
capacity_top_200,22006,10,6658636,miss,-12/133,4,12/133,pure_miss
capacity_top_200,22006,11,6148126,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,22006,12,5637616,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,22006,13,5127106,miss,-14/209,3,14/209,pure_miss
capacity_top_200,22006,14,4616596,miss,-25/209,5,25/209,pure_miss
capacity_top_200,22006,15,4106086,miss,-36/209,7,36/209,pure_miss
capacity_top_200,22006,16,3595576,miss,-47/209,9,47/209,pure_miss
capacity_top_200,22006,17,3085066,miss,-58/209,11,58/209,pure_miss
capacity_top_200,22006,18,2574556,miss,-69/209,13,69/209,pure_miss
capacity_top_200,22346,0,1043366,miss,-80/209,15,80/209,pure_miss
capacity_top_200,22346,1,532856,miss,-69/209,13,69/209,pure_miss
capacity_top_200,22346,2,22346,miss,-58/209,11,58/209,pure_miss
capacity_top_200,22346,3,9211526,miss,-47/209,9,47/209,pure_miss
capacity_top_200,22346,4,8701016,miss,-36/209,7,36/209,pure_miss
capacity_top_200,22346,5,8190506,miss,-25/209,5,25/209,pure_miss
capacity_top_200,22346,6,7679996,miss,-14/209,3,14/209,pure_miss
capacity_top_200,22346,7,7169486,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,22346,8,6658976,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,22346,9,6148466,miss,-12/133,4,12/133,pure_miss
capacity_top_200,22346,10,5637956,miss,-1/7,6,1/7,pure_miss
capacity_top_200,22346,11,5127446,miss,-26/133,8,26/133,pure_miss
capacity_top_200,22346,12,4616936,miss,-33/133,10,33/133,pure_miss
capacity_top_200,22346,13,4106426,miss,-40/133,12,40/133,pure_miss
capacity_top_200,22346,14,3595916,miss,-47/133,14,47/133,pure_miss
capacity_top_200,22346,15,3085406,miss,-54/133,16,54/133,pure_miss
capacity_top_200,22346,16,2574896,miss,-61/133,18,61/133,pure_miss
capacity_top_200,22346,17,2064386,miss,-102/209,19,102/209,pure_miss
capacity_top_200,22346,18,1553876,miss,-91/209,17,91/209,pure_miss
capacity_top_200,22808,0,4106888,miss,-80/209,15,80/209,pure_miss
capacity_top_200,22808,1,3596378,miss,-69/209,13,69/209,pure_miss
capacity_top_200,22808,2,3085868,miss,-58/209,11,58/209,pure_miss
capacity_top_200,22808,3,2575358,miss,-47/209,9,47/209,pure_miss
capacity_top_200,22808,4,2064848,miss,-36/209,7,36/209,pure_miss
capacity_top_200,22808,5,1554338,miss,-25/209,5,25/209,pure_miss
capacity_top_200,22808,6,1043828,miss,-14/209,3,14/209,pure_miss
capacity_top_200,22808,7,533318,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,22808,8,22808,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,22808,9,9211988,miss,-12/133,4,12/133,pure_miss
capacity_top_200,22808,10,8701478,miss,-1/7,6,1/7,pure_miss
capacity_top_200,22808,11,8190968,miss,-26/133,8,26/133,pure_miss
capacity_top_200,22808,12,7680458,miss,-33/133,10,33/133,pure_miss
capacity_top_200,22808,13,7169948,miss,-40/133,12,40/133,pure_miss
capacity_top_200,22808,14,6659438,miss,-47/133,14,47/133,pure_miss
capacity_top_200,22808,15,6148928,miss,-54/133,16,54/133,pure_miss
capacity_top_200,22808,16,5638418,miss,-61/133,18,61/133,pure_miss
capacity_top_200,22808,17,5127908,miss,-102/209,19,102/209,pure_miss
capacity_top_200,22808,18,4617398,miss,-91/209,17,91/209,pure_miss
capacity_top_200,22930,0,8191090,miss,-80/209,15,80/209,pure_miss
capacity_top_200,22930,1,7680580,miss,-91/209,17,91/209,pure_miss
capacity_top_200,22930,2,7170070,miss,-102/209,19,102/209,pure_miss
capacity_top_200,22930,3,6659560,miss,-61/133,18,61/133,pure_miss
capacity_top_200,22930,4,6149050,miss,-54/133,16,54/133,pure_miss
capacity_top_200,22930,5,5638540,miss,-47/133,14,47/133,pure_miss
capacity_top_200,22930,6,5128030,miss,-40/133,12,40/133,pure_miss
capacity_top_200,22930,7,4617520,miss,-33/133,10,33/133,pure_miss
capacity_top_200,22930,8,4107010,miss,-26/133,8,26/133,pure_miss
capacity_top_200,22930,9,3596500,miss,-1/7,6,1/7,pure_miss
capacity_top_200,22930,10,3085990,miss,-12/133,4,12/133,pure_miss
capacity_top_200,22930,11,2575480,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,22930,12,2064970,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,22930,13,1554460,miss,-14/209,3,14/209,pure_miss
capacity_top_200,22930,14,1043950,miss,-25/209,5,25/209,pure_miss
capacity_top_200,22930,15,533440,miss,-36/209,7,36/209,pure_miss
capacity_top_200,22930,16,22930,miss,-47/209,9,47/209,pure_miss
capacity_top_200,22930,17,9212110,miss,-58/209,11,58/209,pure_miss
capacity_top_200,22930,18,8701600,miss,-69/209,13,69/209,pure_miss
capacity_top_200,23270,0,7170410,miss,-80/209,15,80/209,pure_miss
capacity_top_200,23270,1,6659900,miss,-69/209,13,69/209,pure_miss
capacity_top_200,23270,2,6149390,miss,-58/209,11,58/209,pure_miss
capacity_top_200,23270,3,5638880,miss,-47/209,9,47/209,pure_miss
capacity_top_200,23270,4,5128370,miss,-36/209,7,36/209,pure_miss
capacity_top_200,23270,5,4617860,miss,-25/209,5,25/209,pure_miss
capacity_top_200,23270,6,4107350,miss,-14/209,3,14/209,pure_miss
capacity_top_200,23270,7,3596840,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,23270,8,3086330,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,23270,9,2575820,miss,-12/133,4,12/133,pure_miss
capacity_top_200,23270,10,2065310,miss,-1/7,6,1/7,pure_miss
capacity_top_200,23270,11,1554800,miss,-26/133,8,26/133,pure_miss
capacity_top_200,23270,12,1044290,miss,-33/133,10,33/133,pure_miss
capacity_top_200,23270,13,533780,miss,-40/133,12,40/133,pure_miss
capacity_top_200,23270,14,23270,miss,-47/133,14,47/133,pure_miss
capacity_top_200,23270,15,9212450,miss,-54/133,16,54/133,pure_miss
capacity_top_200,23270,16,8701940,miss,-61/133,18,61/133,pure_miss
capacity_top_200,23270,17,8191430,miss,-102/209,19,102/209,pure_miss
capacity_top_200,23270,18,7680920,miss,-91/209,17,91/209,pure_miss
capacity_top_200,23392,0,1554922,miss,-80/209,15,80/209,pure_miss
capacity_top_200,23392,1,1044412,miss,-91/209,17,91/209,pure_miss
capacity_top_200,23392,2,533902,miss,-102/209,19,102/209,pure_miss
capacity_top_200,23392,3,23392,miss,-61/133,18,61/133,pure_miss
capacity_top_200,23392,4,9212572,miss,-54/133,16,54/133,pure_miss
capacity_top_200,23392,5,8702062,miss,-47/133,14,47/133,pure_miss
capacity_top_200,23392,6,8191552,miss,-40/133,12,40/133,pure_miss
capacity_top_200,23392,7,7681042,miss,-33/133,10,33/133,pure_miss
capacity_top_200,23392,8,7170532,miss,-26/133,8,26/133,pure_miss
capacity_top_200,23392,9,6660022,miss,-1/7,6,1/7,pure_miss
capacity_top_200,23392,10,6149512,miss,-12/133,4,12/133,pure_miss
capacity_top_200,23392,11,5639002,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,23392,12,5128492,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,23392,13,4617982,miss,-14/209,3,14/209,pure_miss
capacity_top_200,23392,14,4107472,miss,-25/209,5,25/209,pure_miss
capacity_top_200,23392,15,3596962,miss,-36/209,7,36/209,pure_miss
capacity_top_200,23392,16,3086452,miss,-47/209,9,47/209,pure_miss
capacity_top_200,23392,17,2575942,miss,-58/209,11,58/209,pure_miss
capacity_top_200,23392,18,2065432,miss,-69/209,13,69/209,pure_miss
capacity_top_200,23854,0,4618444,miss,-80/209,15,80/209,pure_miss
capacity_top_200,23854,1,4107934,miss,-91/209,17,91/209,pure_miss
capacity_top_200,23854,2,3597424,miss,-102/209,19,102/209,pure_miss
capacity_top_200,23854,3,3086914,miss,-61/133,18,61/133,pure_miss
capacity_top_200,23854,4,2576404,miss,-54/133,16,54/133,pure_miss
capacity_top_200,23854,5,2065894,miss,-47/133,14,47/133,pure_miss
capacity_top_200,23854,6,1555384,miss,-40/133,12,40/133,pure_miss
capacity_top_200,23854,7,1044874,miss,-33/133,10,33/133,pure_miss
capacity_top_200,23854,8,534364,miss,-26/133,8,26/133,pure_miss
capacity_top_200,23854,9,23854,miss,-1/7,6,1/7,pure_miss
capacity_top_200,23854,10,9213034,miss,-12/133,4,12/133,pure_miss
capacity_top_200,23854,11,8702524,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,23854,12,8192014,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,23854,13,7681504,miss,-14/209,3,14/209,pure_miss
capacity_top_200,23854,14,7170994,miss,-25/209,5,25/209,pure_miss
capacity_top_200,23854,15,6660484,miss,-36/209,7,36/209,pure_miss
capacity_top_200,23854,16,6149974,miss,-47/209,9,47/209,pure_miss
capacity_top_200,23854,17,5639464,miss,-58/209,11,58/209,pure_miss
capacity_top_200,23854,18,5128954,miss,-69/209,13,69/209,pure_miss
capacity_top_200,24194,0,3597764,miss,-80/209,15,80/209,pure_miss
capacity_top_200,24194,1,3087254,miss,-69/209,13,69/209,pure_miss
capacity_top_200,24194,2,2576744,miss,-58/209,11,58/209,pure_miss
capacity_top_200,24194,3,2066234,miss,-47/209,9,47/209,pure_miss
capacity_top_200,24194,4,1555724,miss,-36/209,7,36/209,pure_miss
capacity_top_200,24194,5,1045214,miss,-25/209,5,25/209,pure_miss
capacity_top_200,24194,6,534704,miss,-14/209,3,14/209,pure_miss
capacity_top_200,24194,7,24194,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,24194,8,9213374,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,24194,9,8702864,miss,-12/133,4,12/133,pure_miss
capacity_top_200,24194,10,8192354,miss,-1/7,6,1/7,pure_miss
capacity_top_200,24194,11,7681844,miss,-26/133,8,26/133,pure_miss
capacity_top_200,24194,12,7171334,miss,-33/133,10,33/133,pure_miss
capacity_top_200,24194,13,6660824,miss,-40/133,12,40/133,pure_miss
capacity_top_200,24194,14,6150314,miss,-47/133,14,47/133,pure_miss
capacity_top_200,24194,15,5639804,miss,-54/133,16,54/133,pure_miss
capacity_top_200,24194,16,5129294,miss,-61/133,18,61/133,pure_miss
capacity_top_200,24194,17,4618784,miss,-102/209,19,102/209,pure_miss
capacity_top_200,24194,18,4108274,miss,-91/209,17,91/209,pure_miss
capacity_top_200,24316,0,7681966,miss,-80/209,15,80/209,pure_miss
capacity_top_200,24316,1,7171456,miss,-91/209,17,91/209,pure_miss
capacity_top_200,24316,2,6660946,miss,-102/209,19,102/209,pure_miss
capacity_top_200,24316,3,6150436,miss,-61/133,18,61/133,pure_miss
capacity_top_200,24316,4,5639926,miss,-54/133,16,54/133,pure_miss
capacity_top_200,24316,5,5129416,miss,-47/133,14,47/133,pure_miss
capacity_top_200,24316,6,4618906,miss,-40/133,12,40/133,pure_miss
capacity_top_200,24316,7,4108396,miss,-33/133,10,33/133,pure_miss
capacity_top_200,24316,8,3597886,miss,-26/133,8,26/133,pure_miss
capacity_top_200,24316,9,3087376,miss,-1/7,6,1/7,pure_miss
capacity_top_200,24316,10,2576866,miss,-12/133,4,12/133,pure_miss
capacity_top_200,24316,11,2066356,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,24316,12,1555846,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,24316,13,1045336,miss,-14/209,3,14/209,pure_miss
capacity_top_200,24316,14,534826,miss,-25/209,5,25/209,pure_miss
capacity_top_200,24316,15,24316,miss,-36/209,7,36/209,pure_miss
capacity_top_200,24316,16,9213496,miss,-47/209,9,47/209,pure_miss
capacity_top_200,24316,17,8702986,miss,-58/209,11,58/209,pure_miss
