selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,1556,10,3575126,miss,-1/7,6,1/7,pure_miss
capacity_top_200,1556,11,3064616,miss,-26/133,8,26/133,pure_miss
capacity_top_200,1556,12,2554106,miss,-33/133,10,33/133,pure_miss
capacity_top_200,1556,13,2043596,miss,-40/133,12,40/133,pure_miss
capacity_top_200,1556,14,1533086,miss,-47/133,14,47/133,pure_miss
capacity_top_200,1556,15,1022576,miss,-54/133,16,54/133,pure_miss
capacity_top_200,1556,16,512066,miss,-61/133,18,61/133,pure_miss
capacity_top_200,1556,17,1556,miss,-102/209,19,102/209,pure_miss
capacity_top_200,1556,18,9190736,miss,-91/209,17,91/209,pure_miss
capacity_top_200,2018,0,2044058,miss,-80/209,15,80/209,pure_miss
capacity_top_200,2018,1,1533548,miss,-69/209,13,69/209,pure_miss
capacity_top_200,2018,2,1023038,miss,-58/209,11,58/209,pure_miss
capacity_top_200,2018,3,512528,miss,-47/209,9,47/209,pure_miss
capacity_top_200,2018,4,2018,miss,-36/209,7,36/209,pure_miss
capacity_top_200,2018,5,9191198,miss,-25/209,5,25/209,pure_miss
capacity_top_200,2018,6,8680688,miss,-14/209,3,14/209,pure_miss
capacity_top_200,2018,7,8170178,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,2018,8,7659668,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,2018,9,7149158,miss,-12/133,4,12/133,pure_miss
capacity_top_200,2018,10,6638648,miss,-1/7,6,1/7,pure_miss
capacity_top_200,2018,11,6128138,miss,-26/133,8,26/133,pure_miss
capacity_top_200,2018,12,5617628,miss,-33/133,10,33/133,pure_miss
capacity_top_200,2018,13,5107118,miss,-40/133,12,40/133,pure_miss
capacity_top_200,2018,14,4596608,miss,-47/133,14,47/133,pure_miss
capacity_top_200,2018,15,4086098,miss,-54/133,16,54/133,pure_miss
capacity_top_200,2018,16,3575588,miss,-61/133,18,61/133,pure_miss
capacity_top_200,2018,17,3065078,miss,-102/209,19,102/209,pure_miss
capacity_top_200,2018,18,2554568,miss,-91/209,17,91/209,pure_miss
capacity_top_200,2480,0,5107580,miss,-80/209,15,80/209,pure_miss
capacity_top_200,2480,1,4597070,miss,-69/209,13,69/209,pure_miss
capacity_top_200,2480,2,4086560,miss,-58/209,11,58/209,pure_miss
capacity_top_200,2480,3,3576050,miss,-47/209,9,47/209,pure_miss
capacity_top_200,2480,4,3065540,miss,-36/209,7,36/209,pure_miss
capacity_top_200,2480,5,2555030,miss,-25/209,5,25/209,pure_miss
capacity_top_200,2480,6,2044520,miss,-14/209,3,14/209,pure_miss
capacity_top_200,2480,7,1534010,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,2480,8,1023500,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,2480,9,512990,miss,-12/133,4,12/133,pure_miss
capacity_top_200,2480,10,2480,miss,-1/7,6,1/7,pure_miss
capacity_top_200,2480,11,9191660,miss,-26/133,8,26/133,pure_miss
capacity_top_200,2480,12,8681150,miss,-33/133,10,33/133,pure_miss
capacity_top_200,2480,13,8170640,miss,-40/133,12,40/133,pure_miss
capacity_top_200,2480,14,7660130,miss,-47/133,14,47/133,pure_miss
capacity_top_200,2480,15,7149620,miss,-54/133,16,54/133,pure_miss
capacity_top_200,2480,16,6639110,miss,-61/133,18,61/133,pure_miss
capacity_top_200,2480,17,6128600,miss,-102/209,19,102/209,pure_miss
capacity_top_200,2480,18,5618090,miss,-91/209,17,91/209,pure_miss
capacity_top_200,2602,0,9191782,miss,-80/209,15,80/209,pure_miss
capacity_top_200,2602,1,8681272,miss,-91/209,17,91/209,pure_miss
capacity_top_200,2602,2,8170762,miss,-102/209,19,102/209,pure_miss
capacity_top_200,2602,3,7660252,miss,-61/133,18,61/133,pure_miss
capacity_top_200,2602,4,7149742,miss,-54/133,16,54/133,pure_miss
capacity_top_200,2602,5,6639232,miss,-47/133,14,47/133,pure_miss
capacity_top_200,2602,6,6128722,miss,-40/133,12,40/133,pure_miss
capacity_top_200,2602,7,5618212,miss,-33/133,10,33/133,pure_miss
capacity_top_200,2602,8,5107702,miss,-26/133,8,26/133,pure_miss
capacity_top_200,2602,9,4597192,miss,-1/7,6,1/7,pure_miss
capacity_top_200,2602,10,4086682,miss,-12/133,4,12/133,pure_miss
capacity_top_200,2602,11,3576172,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,2602,12,3065662,trim,-3/209,1,3/209,wrong_side_trim
