parent_rank,source_lineage_id,source_lineage_role,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,is_close
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,5,4084834,miss,0,-47/133,14,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,6,3574324,miss,0,-40/133,12,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,7,3063814,miss,0,-33/133,10,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,8,2553304,miss,0,-26/133,8,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,9,2042794,miss,0,-1/7,6,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,10,1532284,miss,0,-12/133,4,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,11,1021774,trim,0,-5/133,2,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,12,511264,trim,0,-3/209,1,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,13,754,miss,0,-14/209,3,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,14,9189934,miss,0,-25/209,5,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,15,8679424,miss,0,-36/209,7,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,16,8168914,miss,0,-47/209,9,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,17,7658404,miss,0,-58/209,11,False
3,B7_birth_parent_siblings:capacity_nonclose_control:754:754,capacity_nonclose,754,1,4/77,4/77,18,7147894,miss,0,-69/209,13,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,0,1216,miss,0,-80/209,15,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,1,9190396,miss,0,-91/209,17,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,2,8679886,miss,0,-102/209,19,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,3,8169376,miss,0,-61/133,18,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,4,7658866,miss,0,-54/133,16,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,5,7148356,miss,0,-47/133,14,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,6,6637846,miss,0,-40/133,12,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,7,6127336,miss,0,-33/133,10,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,8,5616826,miss,0,-26/133,8,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,9,5106316,miss,0,-1/7,6,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,10,4595806,miss,0,-12/133,4,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,11,4085296,trim,0,-5/133,2,False
4,B7_birth_parent_siblings:capacity_nonclose_control:1216:1216,capacity_nonclose,1216,1,4/77,4/77,12,3574786,trim,0,-3/209,1,False
