selection_groups,parent_rank,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,best_lift_remainder,best_phase_margin,best_aperture_tension,best_transition_label,trim_lift_count,miss_lift_count,close_lift_count,positive_margin_lift_count,selection_failure_reason
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,40,598,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,41,662,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,42,688,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,43,718,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,44,722,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,45,748,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,46,782,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,47,812,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,48,898,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,49,902,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,50,928,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,51,962,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,52,988,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,53,1022,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,54,1078,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,55,1138,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,56,1142,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,57,1172,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,58,1198,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,59,1228,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,60,1232,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,61,1292,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,62,1318,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,63,1322,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,64,1378,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,65,1408,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,66,1412,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,67,1442,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,68,1498,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,69,1502,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,70,1528,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,71,1558,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,72,1562,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,73,1588,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,74,1592,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,75,1622,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,76,1652,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,77,1708,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,78,1712,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,79,1802,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,80,1828,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,81,1832,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,82,1858,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,83,1918,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,84,1948,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,85,1982,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,86,2012,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,87,2042,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,88,2068,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,89,2222,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,90,2248,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,91,2278,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,92,2342,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,93,2372,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,94,2432,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,95,2458,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,96,2488,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,97,2578,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,98,2582,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,99,2612,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,100,2638,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,101,2668,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,102,3838,1,3/85,3/85,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,103,4108,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,104,4378,1,2/65,2/65,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,105,42662,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,106,49262,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,107,91618,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,108,94862,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
