n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,poisson_arc_baseline,product_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
1000,168,0.114647282149409,0.7919553684885345,0.11101609067106057,0.11101609067106057,0.08096526350684251,0.015877683034401624,False,False,False,0.8986294256635812,0.061736816249209236,0.06173681624920902,0.25718337936814156,0.04585913321480761,19,0.004102387488224779,0.011876133473946358,0.01519821748609133
10000,1229,0.04192257961530432,0.3861212275282232,0.08348736739664342,0.08348736739664342,0.060884692455838364,0.0024790457207375383,False,False,False,0.9221287104570144,0.010432377759811984,0.01043237775981189,0.23762998022247772,0.007953332039074446,49,0.0005775416216511342,0.001911510643003567,0.0023647364288587615
100000,9592,0.040222015328921334,0.4630730645327613,0.06685212562225791,0.06685212562225791,0.048752917851015085,0.000654510546594711,False,False,False,0.9379781375246595,0.0016571343791322857,0.0016571343791321365,0.3949652815346381,0.0010026238325375747,346,8.70267588389817e-05,0.0002623306678153914,0.0005190042100349291
1000000,78498,0.050068748870794044,0.6917253286485169,0.05572490527552192,0.05572490527552192,0.040638210171648585,0.0001171333369304195,False,False,False,0.9486037923324848,0.00029517164649051075,0.0002951716464903449,0.39683126182034945,0.00017803830956009126,3308,1.1077713901408437e-05,3.2935378755405425e-05,6.26486998491537e-05
