start,stop,length
500008,500008,1
500012,500012,1
500068,500068,1
500139,500139,1
500162,500162,1
500211,500211,1
500218,500218,1
500222,500222,1
500282,500282,1
500398,500398,1
500421,500421,1
500428,500428,1
500432,500432,1
500458,500458,1
500492,500492,1
500529,500529,1
500582,500582,1
500619,500619,1
500636,500636,1
500638,500638,1
500642,500642,1
500644,500644,1
500672,500672,1
500728,500728,1
500739,500739,1
500822,500822,1
500848,500848,1
500852,500852,1
500968,500968,1
501058,501058,1
501062,501062,1
501129,501129,1
501152,501152,1
501268,501268,1
501272,501272,1
501381,501381,1
501388,501388,1
501411,501411,1
501478,501478,1
501482,501482,1
501484,501484,1
501506,501506,1
501688,501688,1
501692,501692,1
501718,501718,1
501812,501812,1
501898,501898,1
501902,501902,1
502048,502048,1
502108,502108,1
502112,502112,1
502119,502119,1
502142,502142,1
502318,502318,1
502322,502322,1
502354,502354,1
502364,502364,1
502378,502378,1
502431,502431,1
502472,502472,1
502498,502498,1
502528,502528,1
502532,502532,1
502551,502551,1
502708,502708,1
502731,502731,1
502738,502738,1
502742,502742,1
502779,502779,1
502802,502802,1
502839,502839,1
502948,502948,1
502952,502952,1
503038,503038,1
503132,503132,1
503156,503156,1
503158,503158,1
503162,503162,1
503259,503259,1
503368,503368,1
503372,503372,1
503462,503462,1
503578,503578,1
503582,503582,1
503635,503635,1
503698,503698,1
503721,503721,1
503788,503788,1
503792,503792,1
503818,503818,1
503878,503878,1
503961,503961,1
503979,503979,1
503998,503998,1
504002,504002,1
504028,504028,1
504099,504099,1
504111,504111,1
504122,504122,1
504208,504208,1
504212,504212,1
504214,504214,1
504309,504309,1
504358,504358,1
504418,504418,1
504422,504422,1
504429,504429,1
504448,504448,1
504452,504452,1
504501,504501,1
504512,504512,1
504628,504628,1
504632,504632,1
504688,504688,1
504759,504759,1
504782,504782,1
504838,504838,1
504842,504842,1
504897,504897,1
504958,504958,1
505018,505018,1
505041,505041,1
505048,505048,1
505052,505052,1
505112,505112,1
505209,505209,1
505258,505258,1
505262,505262,1
505287,505287,1
505348,505348,1
505419,505419,1
505442,505442,1
505468,505468,1
505472,505472,1
505552,505552,1
505581,505581,1
505625,505625,1
505652,505652,1
505678,505678,1
505682,505682,1
505689,505689,1
505772,505772,1
505886,505886,1
505888,505888,1
505892,505892,1
505989,505989,1
506001,506001,1
506008,506008,1
506098,506098,1
506102,506102,1
506266,506266,1
506282,506282,1
506308,506308,1
506312,506312,1
506338,506338,1
506432,506432,1
506518,506518,1
506522,506522,1
506524,506524,1
506644,506644,1
506668,506668,1
506728,506728,1
506732,506732,1
506739,506739,1
506762,506762,1
506792,506792,1
506841,506841,1
506938,506938,1
506942,506942,1
506998,506998,1
507021,507021,1
507028,507028,1
507088,507088,1
507092,507092,1
507141,507141,1
507148,507148,1
507152,507152,1
507261,507261,1
507302,507302,1
507328,507328,1
507351,507351,1
507358,507358,1
507362,507362,1
507422,507422,1
507524,507524,1
507531,507531,1
507568,507568,1
507572,507572,1
507602,507602,1
507658,507658,1
507752,507752,1
507778,507778,1
507782,507782,1
507879,507879,1
507958,507958,1
507988,507988,1
507992,507992,1
508011,508011,1
508029,508029,1
508082,508082,1
508198,508198,1
508202,508202,1
508318,508318,1
508370,508370,1
508389,508389,1
508408,508408,1
508412,508412,1
508502,508502,1
508618,508618,1
508622,508622,1
508648,508648,1
508719,508719,1
508742,508742,1
508828,508828,1
508832,508832,1
508978,508978,1
509001,509001,1
509038,509038,1
509042,509042,1
509049,509049,1
509072,509072,1
509109,509109,1
509181,509181,1
509248,509248,1
509252,509252,1
509265,509265,1
509308,509308,1
509402,509402,1
509458,509458,1
509462,509462,1
509481,509481,1
509518,509518,1
509571,509571,1
509638,509638,1
509642,509642,1
509661,509661,1
509668,509668,1
509672,509672,1
509674,509674,1
509709,509709,1
509732,509732,1
509769,509769,1
509878,509878,1
509882,509882,1
509968,509968,1
510062,510062,1
510088,510088,1
510092,510092,1
510220,510220,1
510298,510298,1
510302,510302,1
510392,510392,1
510411,510411,1
510422,510422,1
510508,510508,1
510512,510512,1
510628,510628,1
510658,510658,1
510718,510718,1
510722,510722,1
510741,510741,1
510778,510778,1
510872,510872,1
510928,510928,1
510932,510932,1
510958,510958,1
511052,511052,1
511112,511112,1
511138,511138,1
511142,511142,1
511288,511288,1
511305,511305,1
511348,511348,1
511352,511352,1
511359,511359,1
511382,511382,1
511449,511449,1
511468,511468,1
511558,511558,1
511562,511562,1
511618,511618,1
511678,511678,1
511712,511712,1
511755,511755,1
511768,511768,1
511772,511772,1
511839,511839,1
511948,511948,1
511971,511971,1
511978,511978,1
511982,511982,1
512029,512029,1
512042,512042,1
512188,512188,1
512192,512192,1
512248,512248,1
512278,512278,1
512301,512301,1
512372,512372,1
512398,512398,1
512402,512402,1
512404,512404,1
512499,512499,1
512548,512548,1
512608,512608,1
512612,512612,1
512631,512631,1
512650,512650,1
512702,512702,1
512816,512816,1
512818,512818,1
512822,512822,1
512938,512938,1
513009,513009,1
513028,513028,1
513032,513032,1
513062,513062,1
513141,513141,1
513238,513238,1
513242,513242,1
513268,513268,1
513362,513362,1
513423,513423,1
513448,513448,1
513452,513452,1
513471,513471,1
513508,513508,1
513549,513549,1
513598,513598,1
513658,513658,1
513662,513662,1
513669,513669,1
513692,513692,1
513718,513718,1
513868,513868,1
513872,513872,1
513928,513928,1
513932,513932,1
513999,513999,1
514022,514022,1
514078,514078,1
514082,514082,1
514179,514179,1
514202,514202,1
514228,514228,1
514246,514246,1
514258,514258,1
514281,514281,1
514288,514288,1
514292,514292,1
514352,514352,1
514376,514376,1
514498,514498,1
514502,514502,1
514562,514562,1
514588,514588,1
514682,514682,1
514708,514708,1
514712,514712,1
514748,514748,1
514840,514840,1
514918,514918,1
514922,514922,1
514989,514989,1
515012,515012,1
515019,515019,1
515031,515031,1
515128,515128,1
515132,515132,1
515248,515248,1
515338,515338,1
515342,515342,1
515548,515548,1
515552,515552,1
515578,515578,1
515672,515672,1
515733,515733,1
515758,515758,1
515762,515762,1
515811,515811,1
515908,515908,1
515912,515912,1
515942,515942,1
515968,515968,1
515972,515972,1
515979,515979,1
516002,516002,1
516081,516081,1
516178,516178,1
516182,516182,1
516238,516238,1
516332,516332,1
516358,516358,1
516388,516388,1
516392,516392,1
516482,516482,1
516568,516568,1
516591,516591,1
516598,516598,1
516602,516602,1
