seed_n,cohort_role,n,bin_index,max_branch,max_possible_branch,prefix_exhausts_all_branches,seed_analysis_eligible,full_uncovered_measure,exact_complete,residual_uncovered_measure,residual_gap_count,residual_gap_max,residual_gap_p50,residual_gap_p90,residual_gap_p99,residual_gap_entropy,residual_top_gap_share,residual_gap_near_zero_count
1258,complete,1258,0,1000,629,True,False,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1258,local_mod6_control,1252,0,1000,626,True,False,0.09162142651600447,False,0.09162142651600447,16,0.015678472424971224,0.002597536863054195,0.015141583879248133,0.015678472424971224,0.8585599505292446,0.17112233482014713,0
1258,band_mod6_control,1336,0,1000,668,True,False,0.10509270956123229,False,0.10509270956123229,16,0.018601066125206067,0.0030008700747554684,0.018593731299957006,0.018601066125206067,0.8661136363099464,0.17699673177013436,0
1258,band_ordinary_control,1333,0,1000,666,True,False,0.13210301437372363,False,0.13210301437372363,36,0.01015161177172362,0.0024510896207495803,0.007938174931476194,0.01015161177172362,0.9146615588655966,0.07684617811221467,0
1262,complete,1262,0,1000,631,True,False,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1262,local_mod6_control,1256,0,1000,628,True,False,0.026350288866269223,False,0.026350288866269223,4,0.010471318467086321,0.00463300582840076,0.010471318467086321,0.010471318467086321,0.9555403305471208,0.39738913376735563,0
1262,band_mod6_control,1334,0,1000,667,True,False,0.06740766879463772,False,0.06740766879463772,18,0.009656008827593487,0.003394741353488273,0.007922552004371974,0.009656008827593487,0.8991616002269501,0.1432479271314249,0
1262,band_ordinary_control,1333,0,1000,666,True,False,0.13210301437372363,False,0.13210301437372363,36,0.01015161177172362,0.0024510896207495803,0.007938174931476194,0.01015161177172362,0.9146615588655966,0.07684617811221467,0
1329,complete,1329,0,1000,664,True,False,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1329,local_mod6_control,1323,0,1000,661,True,False,0.04264680543929367,False,0.04264680543929367,13,0.007668319465304468,0.0033975583083193373,0.007645591978384714,0.007668319465304468,0.8823690426856697,0.17980993854791938,0
1329,band_mod6_control,1335,0,1000,667,True,False,0.04109303375049786,False,0.04109303375049786,14,0.007674439119056742,0.001817705625505761,0.0072928565152446945,0.007674439119056742,0.8628397715127579,0.18675766714263978,0
1329,band_ordinary_control,1333,0,1000,666,True,False,0.13210301437372363,False,0.13210301437372363,36,0.01015161177172362,0.0024510896207495803,0.007938174931476194,0.01015161177172362,0.9146615588655966,0.07684617811221467,0
2312,complete,2312,1,1000,1156,False,True,0.0,True,0.1057627321880218,41,0.011624154796881392,0.0016477193130968182,0.0049729195230889395,0.011624154796881392,0.900129711494147,0.10990785276061438,0
2312,local_mod6_control,2306,1,1000,1153,False,True,0.010844955435894699,False,0.14519800517272707,48,0.012732666955121874,0.0021583371820224594,0.006584844757841959,0.012732666955121874,0.9002669984521702,0.08769174851937625,0
2312,band_mod6_control,2372,1,1000,1186,False,True,0.025950799102634203,False,0.15201179545873797,68,0.012783690701967498,0.001467874351967242,0.006021580277079774,0.012783690701967498,0.8925730412463179,0.08409670225517137,1
2312,band_ordinary_control,2371,1,1000,1185,False,True,0.12089043346777535,False,0.1475144495275888,53,0.01193424809611321,0.001899053481119517,0.006869771489387055,0.01193424809611321,0.8888766829463598,0.08090223116672522,0
2342,complete,2342,1,1000,1171,False,True,0.0,True,0.09710591088525593,41,0.010636514262900215,0.0017598528745870201,0.005017559528519233,0.010636514262900215,0.874764092571375,0.109535188599062,0
2342,local_mod6_control,2336,1,1000,1168,False,True,0.035802149897495805,False,0.11008139079637934,50,0.008597203288651878,0.001339980240969374,0.0054385529166916455,0.008597203288651878,0.9178385008225484,0.0780986070984002,0
2342,band_mod6_control,2372,1,1000,1186,False,True,0.025950799102634203,False,0.15201179545873797,68,0.012783690701967498,0.001467874351967242,0.006021580277079774,0.012783690701967498,0.8925730412463179,0.08409670225517137,1
2342,band_ordinary_control,2371,1,1000,1185,False,True,0.12089043346777535,False,0.1475144495275888,53,0.01193424809611321,0.001899053481119517,0.006869771489387055,0.01193424809611321,0.8888766829463598,0.08090223116672522,0
2428,complete,2428,1,1000,1214,False,True,0.0,True,0.1256162916349955,54,0.008756543273439332,0.0017544541673864822,0.004842001019735406,0.008756543273439332,0.9180748687674163,0.06970865927871288,0
2428,local_mod6_control,2422,1,1000,1211,False,True,0.09332819387079438,False,0.23631569023203133,68,0.016520550088862218,0.0023965180451952506,0.007046941986551203,0.016520550088862218,0.913772478123969,0.06990881592602328,0
2428,band_mod6_control,2368,1,1000,1184,False,True,0.02243760478604473,False,0.17164740497043537,56,0.012704574205027463,0.0021172081017191147,0.006868666201142237,0.012704574205027463,0.9266125422225207,0.07401553322181424,0
2428,band_ordinary_control,2371,1,1000,1185,False,True,0.12089043346777535,False,0.1475144495275888,53,0.01193424809611321,0.001899053481119517,0.006869771489387055,0.01193424809611321,0.8888766829463598,0.08090223116672522,0
4172,complete,4172,2,1000,2086,False,True,0.0,True,0.22585007429025922,130,0.008754087782281594,0.001088908334387767,0.003947143185496826,0.006836020524705111,0.9124431924517524,0.03876061502211847,0
4172,local_mod6_control,4166,2,1000,2083,False,True,0.052462737592059605,False,0.21909649720471566,111,0.009270979327974826,0.001347579333629556,0.00415255071252163,0.007037982976048851,0.9226535044094077,0.042314594008832404,0
4172,band_mod6_control,4214,2,1000,2107,False,True,0.08373882802520294,False,0.2002661765160442,111,0.010465858328015387,0.001366746326151691,0.004223943546728504,0.006674780737052355,0.9158118228148345,0.05225974006238104,0
4172,band_ordinary_control,4216,2,1000,2108,False,True,0.1215821048210356,False,0.2278264833466193,134,0.006979204339088607,0.0012217542039082985,0.003924366749910813,0.006365571623177191,0.9309210478216802,0.030633858876144438,0
4198,complete,4198,2,1000,2099,False,True,0.0,True,0.22226927989735193,149,0.00736470881069573,0.0010209145082218235,0.0034483526359523897,0.0069594558970844655,0.9157336061281227,0.033134173170925325,0
4198,local_mod6_control,4192,2,1000,2096,False,True,0.05987634491562688,False,0.1563502237858168,84,0.007980598549588547,0.0013834548744483532,0.003590468267795105,0.007980598549588547,0.9276587355977592,0.05104309003433931,0
4198,band_mod6_control,4216,2,1000,2108,False,True,0.1215821048210356,False,0.2278264833466193,134,0.006979204339088607,0.0012217542039082985,0.003924366749910813,0.006365571623177191,0.9309210478216802,0.030633858876144438,0
4198,band_ordinary_control,4217,2,1000,2108,False,True,0.12986718165368094,False,0.31045036372174817,190,0.009600248895341723,0.0012928857792258719,0.0035365207977606783,0.009213758099234415,0.926413234326215,0.03092361941616624,0
4202,complete,4202,2,1000,2101,False,True,0.0,True,0.20303574237743593,114,0.00972965234979839,0.0012307572719940651,0.003837763687214224,0.008325323003395169,0.9151019780031714,0.0479208844505384,0
4202,local_mod6_control,4196,2,1000,2098,False,True,0.015024148440442198,False,0.22608254527134633,125,0.007601129124993111,0.001181014382662493,0.004245361966994543,0.006959208687270069,0.9240721674190325,0.0336210348121752,0
4202,band_mod6_control,4214,2,1000,2107,False,True,0.08373882802520294,False,0.2002661765160442,111,0.010465858328015387,0.001366746326151691,0.004223943546728504,0.006674780737052355,0.9158118228148345,0.05225974006238104,0
4202,band_ordinary_control,4216,2,1000,2108,False,True,0.1215821048210356,False,0.2278264833466193,134,0.006979204339088607,0.0012217542039082985,0.003924366749910813,0.006365571623177191,0.9309210478216802,0.030633858876144438,0
7472,complete,7472,3,1000,3736,False,True,0.0,True,0.3115117048173213,311,0.005330966638723289,0.0007572961499942577,0.0023086752499275054,0.004089310875368624,0.9315228409819671,0.017113214547907624,0
7472,local_mod6_control,7466,3,1000,3733,False,True,0.048258002269439604,False,0.2306822965057117,267,0.005258468389446325,0.0006776600460031146,0.0017679885770105833,0.0037305474999560495,0.9385067180079748,0.022795283682794987,0
7472,band_mod6_control,7496,3,1000,3748,False,True,0.043835211395793716,False,0.2728145213147134,301,0.006230356298500772,0.0007091387115701897,0.0020588450933988756,0.00428850819524218,0.9329444193474185,0.02283733383573654,0
7472,band_ordinary_control,7498,3,1000,3749,False,True,0.009772966315829024,False,0.2744265872068833,291,0.00586412385331414,0.0006623890665966303,0.001943657142834565,0.004414079931300163,0.9287170858527348,0.02136864329728127,0
7558,complete,7558,3,1000,3779,False,True,0.0,True,0.2892552234334774,291,0.005068523793752222,0.0006771885300081992,0.002322036416656629,0.004451219420981922,0.9262666018944979,0.017522669888510676,0
7558,local_mod6_control,7552,3,1000,3776,False,True,0.0425700401909902,False,0.21109184290349847,234,0.004293793875648544,0.0006995762693102758,0.002019310826096854,0.0037299809815783402,0.9324144527003908,0.02034088014292182,0
7558,band_mod6_control,7498,3,1000,3749,False,True,0.009772966315829024,False,0.2744265872068833,291,0.00586412385331414,0.0006623890665966303,0.001943657142834565,0.004414079931300163,0.9287170858527348,0.02136864329728127,0
7558,band_ordinary_control,7499,3,1000,3749,False,True,0.08929336646095594,False,0.2607478362995468,262,0.005381013903707266,0.0007586869096559701,0.002160976240327128,0.0038358163431572168,0.9362734601332963,0.020636849686167916,0
7562,complete,7562,3,1000,3781,False,True,0.0,True,0.2520094702239709,294,0.0056183618785616285,0.0006431862237328556,0.0018625576999538596,0.003920828236523954,0.9370979493674407,0.022294248996152267,0
7562,local_mod6_control,7556,3,1000,3778,False,True,0.023317406660908035,False,0.25826638236640814,268,0.005837551385870388,0.000729033985751526,0.0022494031748895305,0.004852577792188895,0.9262182191286275,0.02260283097003514,0
7562,band_mod6_control,7496,3,1000,3748,False,True,0.043835211395793716,False,0.2728145213147134,301,0.006230356298500772,0.0007091387115701897,0.0020588450933988756,0.00428850819524218,0.9329444193474185,0.02283733383573654,0
7562,band_ordinary_control,7498,3,1000,3749,False,True,0.009772966315829024,False,0.2744265872068833,291,0.00586412385331414,0.0006623890665966303,0.001943657142834565,0.004414079931300163,0.9287170858527348,0.02136864329728127,0
13318,complete,13318,4,1000,6659,False,True,0.0,True,0.2777798950203787,484,0.002774015969571053,0.0004410088817599078,0.0012567382077660616,0.0023171122602271277,0.9456630275445046,0.009986381373524329,0
13318,local_mod6_control,13312,4,1000,6656,False,True,0.03909918927118661,False,0.3390785959142172,537,0.005693657660441387,0.0004299036859233274,0.0014626517364532687,0.0028931198551590542,0.9342070454042258,0.016791557264445596,1
13318,band_mod6_control,13336,4,1000,6668,False,True,0.0917353145090316,False,0.31389894535265817,534,0.003208904371754695,0.00040715864591342465,0.0013064764913343074,0.002757936278978579,0.9357888172579235,0.010222730656675401,0
13318,band_ordinary_control,13335,4,1000,6667,False,True,0.020386813964261702,False,0.31710319523961933,532,0.0036219723902257694,0.000423426366230939,0.0012929589629904759,0.002748417576278528,0.9371657198501644,0.011422062106592218,0
13341,complete,13341,4,1000,6670,False,True,0.0,True,0.32740172850452237,533,0.004455873362244733,0.0004325229666115038,0.0013704948714289844,0.002663325327037558,0.9395908244842542,0.013609804024547735,1
13341,local_mod6_control,13335,4,1000,6667,False,True,0.020386813964261702,False,0.31710319523961933,532,0.0036219723902257694,0.000423426366230939,0.0012929589629904759,0.002748417576278528,0.9371657198501644,0.011422062106592218,0
13341,band_mod6_control,13329,4,1000,6664,False,True,0.008208480552631126,False,0.30458375450989617,520,0.0033986537835356545,0.0004163319364139384,0.0013952052129899695,0.0022598439516509083,0.9396921765848063,0.01115835540541027,0
13341,band_ordinary_control,13334,4,1000,6667,False,True,0.08735859969495857,False,0.3400729007843313,535,0.004017593267710118,0.00043216122685263425,0.0014139116876402333,0.0028410764864630345,0.9383846180776104,0.011813917717183852,0
13412,complete,13412,4,1000,6706,False,True,0.0,True,0.2955972154874824,493,0.004181397630404926,0.000396161868004799,0.00142139145022796,0.002660808119156921,0.9353005455647273,0.014145592080457181,0
13412,local_mod6_control,13406,4,1000,6703,False,True,0.0636914825589473,False,0.3009858016775198,527,0.0036952402264149864,0.0004105173635539433,0.0012915277468098507,0.0027008922634693677,0.936149692089787,0.01227712472090001,1
13412,band_mod6_control,13334,4,1000,6667,False,True,0.08735859969495857,False,0.3400729007843313,535,0.004017593267710118,0.00043216122685263425,0.0014139116876402333,0.0028410764864630345,0.9383846180776104,0.011813917717183852,0
13412,band_ordinary_control,13335,4,1000,6667,False,True,0.020386813964261702,False,0.31710319523961933,532,0.0036219723902257694,0.000423426366230939,0.0012929589629904759,0.002748417576278528,0.9371657198501644,0.011422062106592218,0
23728,complete,23728,5,1000,11864,False,True,0.0,True,0.33331914138506463,879,0.004113001306082165,0.0002685042889992162,0.0008178506892465576,0.0016556084081665312,0.945058111430229,0.012339529284130275,1
23728,local_mod6_control,23722,5,1000,11861,False,True,0.036073451706453596,False,0.3212856551143004,855,0.0022018975442521516,0.00027876593038128616,0.0008596751239948741,0.0015805973120002204,0.9434745888187793,0.006853395130476042,1
23728,band_mod6_control,23716,5,1000,11858,False,True,0.09605013982403166,False,0.3700407396841718,990,0.0030483931202108794,0.0002705464943372343,0.0008442528480598482,0.0017320208574377327,0.9421005806648441,0.008237993262073442,0
23728,band_ordinary_control,23714,5,1000,11857,False,True,0.0817244526850508,False,0.3206236035777792,943,0.002443799327847551,0.0002394285643194105,0.0007826882957979731,0.0014379260679701078,0.9432991405150936,0.007622019403991624,1
23732,complete,23732,5,1000,11866,False,True,0.0,True,0.3221123444394683,868,0.003214407846361511,0.0002754787370148337,0.0008240458754699143,0.001664813150937694,0.942651546113202,0.009979151379482652,1
23732,local_mod6_control,23726,5,1000,11863,False,True,0.012057862692118948,False,0.3311539607386103,966,0.003272049973332969,0.0002566276805832657,0.0007473003065868733,0.001500448529512144,0.9455011646614805,0.009880751436688071,1
23732,band_mod6_control,23714,5,1000,11857,False,True,0.0817244526850508,False,0.3206236035777792,943,0.002443799327847551,0.0002394285643194105,0.0007826882957979731,0.0014379260679701078,0.9432991405150936,0.007622019403991624,1
23732,band_ordinary_control,23713,5,1000,11856,False,True,0.059820547494838186,False,0.3329988886689068,964,0.0032368952277317398,0.0002425940288423023,0.0007520411266737116,0.0016124979994289745,0.9435897126180295,0.009720438529601553,2
23734,complete,23734,5,1000,11867,False,True,0.0,True,0.3368482129594323,942,0.0032255699665262316,0.00025526777207823814,0.0007834048423670525,0.001765197815470243,0.9391413660148624,0.009575737208719279,3
23734,local_mod6_control,23740,5,1000,11870,False,True,0.09582421421798337,False,0.36875980704162015,966,0.0032603525246061027,0.00026933528434126136,0.0008461377035763329,0.0016531111893383077,0.9421628704802272,0.008841398824786028,2
23734,band_mod6_control,23716,5,1000,11858,False,True,0.09605013982403166,False,0.3700407396841718,990,0.0030483931202108794,0.0002705464943372343,0.0008442528480598482,0.0017320208574377327,0.9421005806648441,0.008237993262073442,0
23734,band_ordinary_control,23714,5,1000,11857,False,True,0.0817244526850508,False,0.3206236035777792,943,0.002443799327847551,0.0002394285643194105,0.0007826882957979731,0.0014379260679701078,0.9432991405150936,0.007622019403991624,1
42122,complete,42122,6,1000,21061,False,True,0.0,True,0.35476003026574804,1592,0.0014542766702695387,0.00015568787371084136,0.000504310147950604,0.0010305418609285466,0.945016827071306,0.004099325025934153,6
42122,local_mod6_control,42116,6,1000,21058,False,True,0.060525904353779525,False,0.3579861305403931,1657,0.001719529218262572,0.00015038341080536588,0.0005045559283987089,0.0009339571153968995,0.9463240693145024,0.004803340329601262,16
