n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
3742,522,0.03224254948040339,0.2652715618729553,0.0933554358894425,0.007644760514959326,False,False,False,0.9123268891380447,0.02087691783724044,0.02087691783724058,0.3661824304985543,0.013232157322281113,18,0.001265785364937766,0.003917272884033152,0.007016914363405974
3743,522,0.07437421252457005,0.611924447333913,0.0933554358894425,0.007455986814462023,False,False,False,0.9123268891380449,0.02088263312795524,0.02088263312795505,0.357042465324012,0.013426646313493218,47,0.0013222248637039802,0.003601340947528524,0.006403774203986126
3744,522,0.1444809600120961,1.188776312229054,0.0933554358894425,0.007523038777358049,False,False,False,0.9123268891380447,0.020888348418669933,0.020888348418669964,0.36015479187593324,0.013365309641311884,74,0.0015660334255269692,0.003584229285640928,0.0072300619171783865
3745,522,0.054167930769744355,0.44570331646110106,0.0933554358894425,0.012848285135499404,False,False,False,0.9123268891380448,0.020894063709384736,0.020894063709384656,0.614925144012483,0.008045778573885332,26,0.0017938642901515478,0.0033236452652509185,0.010797565859453823
3746,522,0.06074923773708363,0.49987169365486356,0.0933554358894425,0.007438161840490953,False,False,False,0.9128607919677297,0.020899779000099428,0.02089977900009957,0.35589667433591365,0.013461617159608474,29,0.0021249624916562793,0.004056700188546314,0.00689962450740505
3747,522,0.038789363177541,0.31918645165736187,0.0933554358894425,0.005852139520733046,False,False,False,0.9128607919677297,0.02090549429081423,0.02090549429081426,0.2799330855001332,0.015053354770081184,26,0.0009876613300211362,0.0032752576321903593,0.005850459208407155
3748,522,0,0.0,0.0933554358894425,0.0,True,True,True,0.9128607919677297,0.020911209581528922,0.020911209581528954,0.0,0.020911209581528922,0,0.0,0.0,0.0
3749,522,0.1177804069649026,0.9692437564168084,0.0933554358894425,0.010510773542881435,False,False,False,0.9128607919677297,0.020916924872243725,0.020916924872243867,0.5025008985345158,0.01040615132936229,79,0.0012487003160302212,0.0029801511043316825,0.005774478153844953
3750,522,0.07479708466631407,0.6155434399275576,0.0933554358894425,0.005482295337521537,False,False,False,0.9128607919677297,0.020922640162958528,0.02092264016295856,0.2620269380356405,0.015440344825436991,44,0.0012142046288741992,0.004131140617511759,0.0054065916198535995
3751,522,0.030467625967111292,0.25074179028194965,0.0933554358894425,0.004858846237959846,False,False,False,0.9128607919677297,0.02092835545367322,0.020928355453673473,0.23216569733419024,0.016069509215713373,22,0.0011761461064804801,0.0027977715461478653,0.004582465597875413
3752,522,0.02665161391721904,0.21934396347508653,0.0933554358894425,0.005712957693671361,False,False,False,0.9128607919677297,0.020934070744388023,0.020934070744387943,0.27290237830130976,0.015221113050716661,11,0.002294577387336627,0.004140303042730553,0.005555692228577281
3753,522,0.02839902764877303,0.2337328239426307,0.0933554358894425,0.006599543108553929,False,False,False,0.9128607919677297,0.020939786035102714,0.020939786035102857,0.3151676477252771,0.014340242926548785,14,0.0014043217971664995,0.004684671261448623,0.0064426878395595424
3754,522,0.05605589706569536,0.46137238927561897,0.0933554358894425,0.005509899924840966,False,False,False,0.9133935570183421,0.020945501325817517,0.02094550132581755,0.2630588706916955,0.01543560140097655,25,0.002306915578235258,0.00476121015099016,0.005458657056987204
3755,522,0.04324060044403892,0.3559066178768851,0.0933554358894425,0.005650259201460617,False,False,False,0.9133935570183424,0.02095121661653232,0.020951216616532462,0.2696864485187974,0.015300957415071703,35,0.0009337135907250549,0.002393476762941632,0.00489581011129375
3756,522,0.05726000172811435,0.47131336368148913,0.0933554358894425,0.008447150869868914,False,False,False,0.9133935570183424,0.02095693190724701,0.020956931907247154,0.4030719242327569,0.012509781037378098,36,0.0012877366382812727,0.002847045033724571,0.006909633391212344
3757,522,0.14091782658610802,1.159947622155236,0.0933554358894425,0.010571208575101854,False,False,False,0.9133935570183426,0.020962647197961815,0.020962647197961846,0.50428786380232,0.010391438622859961,76,0.0011205789253957293,0.00481541325728263,0.0076714501993649375
3758,522,0.112555718537454,0.9265184003101216,0.0933554358894425,0.009123363744545754,False,False,False,0.9139257549959899,0.020968362488676506,0.020968362488676538,0.4351013938009047,0.011844998744130752,58,0.001539505946013292,0.004010819054013681,0.00794372588524268
3759,522,0.017503752919694082,0.14408928795294026,0.0933554358894425,0.004544263372964097,False,False,False,0.91392575499599,0.02097407777939131,0.02097407777939145,0.21666093836217176,0.016429814406427212,9,0.0015165630348592807,0.004458449405922105,0.004535681976259897
3760,522,0.06208942706696152,0.5111309818524803,0.0933554358894425,0.006001547940703733,False,False,False,0.9139257549959899,0.020979793070106,0.020979793070106143,0.2860632571850915,0.014978245129402268,38,0.0010994620623870355,0.0034119650839085653,0.005552513399003563
3761,523,0.06725164476477821,0.5536451410847415,0.09333061721727991,0.007077949262246697,False,False,False,0.913659868263738,0.020985508360820804,0.020985508360820835,0.3372779510769906,0.013907559098574107,46,0.0010184477639086295,0.0036753426847143944,0.006149771904029993
3762,523,0.05956246530085274,0.4903602660444662,0.09333061721727991,0.004169045990338849,False,False,False,0.913659868263738,0.020991223651535607,0.020991223651535527,0.1986090024834671,0.016822177661196758,37,0.0011936605771890596,0.0034114077723780938,0.004153002094933953
3763,523,0.12643838968595472,1.0409636955325254,0.09333061721727991,0.008400412775334543,False,False,False,0.913659868263738,0.0209969389422503,0.02099693894225044,0.4000779731959466,0.012596526166915756,59,0.0013838865740650845,0.005325178410241117,0.007509184867154364
3764,523,0.09321588569429373,0.767468525759715,0.09333061721727991,0.007601447766906855,False,False,False,0.913659868263738,0.0210026542329651,0.021002654232965132,0.3619279583708931,0.013401206466058246,50,0.0014158123252726584,0.004082276663493889,0.006685572740080046
3765,523,0.028562436010721476,0.2351689065870078,0.09333061721727991,0.005557212177071724,False,False,False,0.913659868263738,0.021008369523679793,0.021008369523680046,0.26452372568979504,0.015451157346608069,15,0.0012619360621168585,0.0043008198736007915,0.005445555530509855
3766,523,0.037670334503067004,0.3101688214970943,0.09333061721727991,0.004649935469247635,False,False,False,0.9136598682637379,0.021014084814394596,0.021014084814394516,0.22127708678811653,0.01636414934514696,19,0.0016511734258206623,0.003736960283045665,0.004503038887904769
3767,524,0.08976040716985582,0.7390902631329588,0.0933058446581109,0.008801857350947295,False,False,False,0.9133944050303959,0.021019800105109288,0.02101980010510943,0.41874124905725557,0.012217942754161992,45,0.0012933397667739023,0.004197694180860157,0.008188774033737762
3768,524,0.12045436493861866,0.9918573333320911,0.0933058446581109,0.006525010802461928,False,False,False,0.9133944050303958,0.02102551539582409,0.02102551539582412,0.3103377339210372,0.014500504593362162,53,0.0019407816125849298,0.004441702773886425,0.006446260749224933
3769,525,0.08276727051015424,0.6815524683311874,0.09328109181446831,0.010344875131562015,False,False,False,0.9131290826637204,0.021031230686538893,0.021031230686539035,0.49188158723318487,0.010686355554976879,60,0.0009196343992561523,0.0034013618819382987,0.007120080834336941
3770,525,0.10491044922373488,0.8639197440023908,0.09328109181446831,0.006987028778504545,False,False,False,0.9131290826637203,0.021036945977253585,0.021036945977253727,0.33213132676479473,0.01404991719874904,54,0.0014735701442298577,0.004101808369490795,0.006181546556429333
3771,525,0,0.0,0.09328109181446831,0.0,True,True,True,0.9131290826637203,0.021042661267968388,0.02104266126796842,0.0,0.021042661267968388,0,0.0,0.0,0.0
3772,525,0.06325337529853237,0.5209143575180936,0.09328109181446831,0.00619759141845555,False,False,False,0.9131290826637203,0.02104837655868308,0.02104837655868311,0.2944451036960786,0.01485078514022753,36,0.0011462531577476898,0.004049044219045228,0.005930354101614126
3773,525,0.06013501473842983,0.49524947405024566,0.09328109181446831,0.004695874475295736,False,False,False,0.9131290826637204,0.021054091849397882,0.021054091849398025,0.22303856698668442,0.016358217374102146,40,0.0012321925512483942,0.0036236362463094086,0.004510854594080429
3774,525,0.1613010621461104,1.3284579218115664,0.09328109181446831,0.010729471148381187,False,False,False,0.9131290826637204,0.021059807140112574,0.021059807140112716,0.5094762301001695,0.010330335991731388,92,0.00127538260146276,0.0034497212031958545,0.007340680067555009
3775,525,0.06271441804700592,0.5165257092670101,0.09328109181446831,0.006013113539927728,False,False,False,0.9131290826637204,0.021065522430827377,0.021065522430827408,0.2854481088552597,0.015052408890899649,26,0.0020007260204021327,0.004955006209022728,0.005949638023727166
3776,525,0.007561406451228991,0.06227892330989942,0.09328109181446831,0.0024310931435733707,False,False,False,0.9131290826637204,0.02107123772154218,0.0210712377215421,0.11537495688200332,0.01864014457796881,8,0.0006515325592882926,0.0017669890481940007,0.0023646827340354335
3777,525,0.013395995325827803,0.11033859808337054,0.09328109181446831,0.005507463184323824,False,False,False,0.9131290826637204,0.02107695301225687,0.021076953012257014,0.26130262667099324,0.015569489827933047,5,0.0027895154003508837,0.005088961607232068,0.005465613026614648
3778,525,0,0.0,0.09328109181446831,0.0,True,True,True,0.9136584632883895,0.021082668302971674,0.021082668302971706,0.0,0.021082668302971674,0,0.0,0.0,0.0
3779,526,0.12769034518772673,1.0518127888561142,0.09325641101243887,0.0071332116616091845,False,False,False,0.9133938430184768,0.021088383593686366,0.02108838359368662,0.33825312546689407,0.013955171932077182,75,0.0013076690779736388,0.0036261329462482375,0.006188179418626073
3780,526,0.15350907607744058,1.2645278348021312,0.09325641101243887,0.009272814302634713,False,False,False,0.9133938430184768,0.02109409888440117,0.02109409888440109,0.4395928147227871,0.011821284581766456,84,0.0017037696604446928,0.0035135911792164246,0.006164847539067211
3781,526,0.055725883389517505,0.45905555060834646,0.09325641101243887,0.008781429854750833,False,False,False,0.9133938430184768,0.02109981417511586,0.021099814175116003,0.4161851749911259,0.012318384320365028,39,0.0008806860551256387,0.0028254637059362377,0.007249123171838974
3782,526,0,0.0,0.09325641101243887,0.0,True,True,True,0.9133938430184768,0.021105529465830664,0.021105529465830695,0.0,0.021105529465830664,0,0.0,0.0,0.0
3783,526,0.07319371035570704,0.6029897403187404,0.09325641101243887,0.007733622836663012,False,False,False,0.9133938430184768,0.021111244756545466,0.02111124475654561,0.3663271837282465,0.013377621919882454,36,0.001332227633454322,0.004351994888609684,0.0075342340562658365
3784,526,0.03474021183617815,0.28620851817434406,0.09325641101243887,0.007395426224734103,False,False,False,0.9133938430184766,0.021116960047260158,0.0211169600472603,0.3502126351606954,0.013721533822526055,17,0.0010293924125046594,0.004556893576477839,0.007005000663671521
3785,526,0.033353203675592136,0.27479041332801973,0.09325641101243887,0.0083277675041461,False,False,False,0.9133938430184768,0.021122675337975072,0.021122675337974992,0.3942572316667744,0.012794907833828972,15,0.0016808715397478302,0.003590672816345864,0.007668032554258226
3786,526,0.13391274195195169,1.1033158296984893,0.09325641101243887,0.010424860354664278,False,False,False,0.9133938430184767,0.021128390628689764,0.021128390628689684,0.49340532073032556,0.010703530274025486,70,0.0014499196276480664,0.0037780704279301637,0.007307036396356734
3787,526,0.09292979775760477,0.7656792173931952,0.09325641101243887,0.00866204140018767,False,False,False,0.9133938430184769,0.021134105919404567,0.021134105919404598,0.40986079246600626,0.012472064519216897,45,0.0013381000331145199,0.0046574082421033235,0.008008917593960363
3788,526,0.07286215852002464,0.6003545644081989,0.09325641101243887,0.005381405993853006,False,False,False,0.9133938430184767,0.02113982121011926,0.02113982121011929,0.2545625121596119,0.015758415216266253,43,0.0013968129485716907,0.004086629254421915,0.005002204085989787
3789,526,0.026723911942883094,0.22020122387397376,0.09325641101243887,0.0057650093715669315,False,False,False,0.9133938430184767,0.02114553650083406,0.021145536500834203,0.2726348121429569,0.01538052712926713,16,0.0012015291440395093,0.0029339135865016908,0.005348072368361873
3790,526,0.051900801028065935,0.42766889593859536,0.09325641101243887,0.00552972067821178,False,False,False,0.9133938430184767,0.021151251791548864,0.021151251791548673,0.2614370408290076,0.015621531113337084,34,0.001137358181776571,0.003298930970410052,0.0050920491710676075
3791,526,0.09363533960439784,0.771591258762397,0.09325641101243887,0.007030975168276998,False,False,False,0.9133938430184767,0.021156967082263556,0.021156967082263587,0.33232434218661006,0.014125991913986558,57,0.001213821466984344,0.003537621056613704,0.006951989357045698
3792,526,0.06772133577884559,0.5580677487121748,0.09325641101243887,0.00909068500971233,False,False,False,0.9133938430184768,0.02116268237297836,0.02116268237297828,0.42956203989149316,0.01207199736326603,32,0.0011300671531311313,0.0047662226701983305,0.0087960344036248
3793,527,0.08919045887000261,0.7350107711007925,0.09323182780155914,0.0061570481693931645,False,False,False,0.9131301994645616,0.02116839766369305,0.021168397663693193,0.290860379099615,0.015011349494299886,54,0.0014583613185611792,0.0032943560893748166,0.005657663822961465
3794,527,0.10453605661889648,0.8615000566744404,0.09323182780155914,0.007662829890770495,False,False,False,0.9131301994645615,0.021174112954407853,0.021174112954407662,0.36189614683128013,0.013511283063637358,55,0.0012467645721286336,0.00440084565111204,0.007601502526899364
3795,527,0.04202555830119481,0.34635110417072024,0.09323182780155914,0.005981264858365365,False,False,False,0.9131301994645616,0.021179828245122545,0.021179828245122576,0.2824038414826512,0.01519856338675718,17,0.0021661331527313976,0.0051513991183770765,0.005866126816267915
3796,527,0.1002178949876219,0.8259661417809545,0.09323182780155914,0.007058038101596331,False,False,False,0.9131301994645616,0.021185543535837348,0.021185543535837268,0.3331535058166902,0.014127505434241017,51,0.001330460234891362,0.005010820626898949,0.007024794144404434
3797,528,0.0728433229957472,0.6003722322671127,0.09320727695830364,0.006470831935922905,False,False,False,0.9128668336494444,0.02119125882655215,0.021191258826552182,0.3053538248428689,0.014720426890629246,45,0.0015168957593627574,0.003384543977797135,0.005638623219470835
3798,528,0.06316995679770554,0.520661306154741,0.09320727695830364,0.009386281588447676,False,False,False,0.9128668336494443,0.021196974117266842,0.021196974117266874,0.4428123342756599,0.011810692528819167,36,0.0013766291402170783,0.003384982797924291,0.007702034960520187
3799,528,0.08110689221608583,0.6685230037674141,0.09320727695830364,0.007317030994864249,False,False,False,0.9128668336494444,0.021202689407981645,0.021202689407981565,0.3450991925632693,0.013885658413117397,63,0.0009355983502349341,0.002714981740574572,0.0058600422877723175
3800,528,0.03393589624288812,0.27972532410357415,0.09320727695830364,0.005464635032199017,False,False,False,0.9128668336494443,0.021208404698696337,0.021208404698696257,0.25766365315232426,0.01574376966649732,20,0.0009115016300484391,0.004715188356487432,0.005329629794600321
3801,528,0.03796174636601679,0.3129194143719083,0.09320727695830364,0.004926612784990847,False,False,False,0.9128668336494444,0.02121411998941114,0.02121411998941117,0.2322327198794919,0.016287507204420293,17,0.0017382791314722867,0.004709411286898191,0.004901491752838267
3802,528,0.06475681623738816,0.5338087315379171,0.09320727695830364,0.009543850153854061,False,False,False,0.913392872576325,0.02121983528012583,0.021219835280125863,0.44976080294047727,0.01167598512627177,23,0.0018264587728763493,0.005481864056323005,0.009182897217729292
3803,529,0.15018808657733243,1.2380823264489094,0.09318277129866873,0.012230095696031507,False,False,False,0.9131299222739322,0.021225550570840634,0.021225550570840777,0.5761968649629773,0.008995454874809128,86,0.001396288814475559,0.003653818009699994,0.009053818405391005
3804,529,0.11772895782373738,0.9705349742166607,0.09318277129866873,0.008083783839835434,False,False,False,0.9131299222739322,0.021231265861555437,0.021231265861555246,0.3807490279923989,0.013147482021720003,57,0.001719978654623866,0.003997584247489982,0.007403845827837829
3805,529,0.04263812490714895,0.35151174056630985,0.09318277129866873,0.010007527786388026,False,False,False,0.9131299222739322,0.02123698115227013,0.02123698115227016,0.47123118463182656,0.011229453365882103,26,0.0011663901944985455,0.0026456719500301817,0.00871841984935504
3806,529,0.05584883293663356,0.46043643491251496,0.09318277129866873,0.005034494849268711,False,False,False,0.913129922273932,0.021242696442984932,0.021242696442984852,0.23699886042156737,0.01620820159371622,37,0.0011882811951233752,0.0031509116277579127,0.004537009113776066
3807,529,0.04879344913125244,0.40228231244023827,0.09318277129866873,0.006384538846061605,False,False,False,0.9131299222739322,0.021248411733699624,0.021248411733699766,0.3004713446857693,0.014863872887638019,29,0.0011589509587812408,0.0043736771703161035,0.006030663928208655
3808,529,0.030236375235950463,0.2492946624624246,0.09318277129866873,0.007999631549299724,False,False,False,0.9131299222739321,0.021254127024414426,0.021254127024414236,0.37638015149296034,0.013254495475114703,8,0.003118341053981122,0.006877847391154412,0.007887453133485193
3809,529,0.014353203803950387,0.1183439159732956,0.09318277129866873,0.00503323093413055,False,False,False,0.9131299222739323,0.021259842315129118,0.02125984231512915,0.23674827214258112,0.016226611380998568,7,0.0019460479929297447,0.003277710006521329,0.004857678841369627
3810,529,0.1129259634807635,0.9311179853318581,0.09318277129866873,0.006946760434552668,False,False,False,0.9131299222739322,0.02126555760584392,0.02126555760584384,0.32666721293231693,0.014318797171291253,63,0.0010745425457554525,0.003981524987481422,0.006838560626051586
3811,529,0.11678262593840007,0.9629482976448798,0.09318277129866873,0.012256851120634127,False,False,False,0.9131299222739322,0.021271272896558724,0.021271272896558755,0.5762161568909704,0.009014421775924597,61,0.0012054626610757957,0.004160700390487659,0.010010052991594336
3812,529,0.012066330278502235,0.09949786463532576,0.09318277129866873,0.00581297799903574,False,False,False,0.9131299222739323,0.021276988187273416,0.021276988187273447,0.2732049267439414,0.015464010188237676,9,0.0007524934744706502,0.0028131501626025407,0.00551299521539242
