start,stop,length
400041,400041,1
400048,400048,1
400052,400052,1
400078,400078,1
400108,400108,1
400149,400149,1
400167,400167,1
400172,400172,1
400202,400202,1
400258,400258,1
400262,400262,1
400371,400371,1
400408,400408,1
400431,400431,1
400468,400468,1
400472,400472,1
400479,400479,1
400502,400502,1
400678,400678,1
400682,400682,1
400684,400684,1
400712,400712,1
400738,400738,1
400761,400761,1
400779,400779,1
400832,400832,1
400888,400888,1
400892,400892,1
400894,400894,1
401008,401008,1
401068,401068,1
401091,401091,1
401098,401098,1
401102,401102,1
401162,401162,1
401218,401218,1
401222,401222,1
401308,401308,1
401312,401312,1
401398,401398,1
401402,401402,1
401469,401469,1
401492,401492,1
401518,401518,1
401522,401522,1
401648,401648,1
401728,401728,1
401732,401732,1
401734,401734,1
401788,401788,1
401799,401799,1
401822,401822,1
401829,401829,1
401859,401859,1
401912,401912,1
401938,401938,1
401942,401942,1
401949,401949,1
402058,402058,1
402122,402122,1
402148,402148,1
402152,402152,1
402249,402249,1
402278,402278,1
402358,402358,1
402362,402362,1
402388,402388,1
402471,402471,1
402482,402482,1
402568,402568,1
402572,402572,1
402718,402718,1
402778,402778,1
402782,402782,1
402789,402789,1
402812,402812,1
402988,402988,1
402992,402992,1
403048,403048,1
403052,403052,1
403101,403101,1
403142,403142,1
403185,403185,1
403198,403198,1
403202,403202,1
403378,403378,1
403401,403401,1
403408,403408,1
403412,403412,1
403472,403472,1
403618,403618,1
403622,403622,1
403708,403708,1
403731,403731,1
403802,403802,1
403828,403828,1
403832,403832,1
404038,404038,1
404042,404042,1
404068,404068,1
404078,404078,1
404132,404132,1
404229,404229,1
404248,404248,1
404252,404252,1
404330,404330,1
404349,404349,1
404368,404368,1
404458,404458,1
404462,404462,1
404542,404542,1
404545,404545,1
404661,404661,1
404668,404668,1
404672,404672,1
404698,404698,1
404769,404769,1
404792,404792,1
404878,404878,1
404882,404882,1
404884,404884,1
404979,404979,1
405028,405028,1
405051,405051,1
405088,405088,1
405092,405092,1
405099,405099,1
405122,405122,1
405298,405298,1
405302,405302,1
405358,405358,1
405422,405422,1
405452,405452,1
405508,405508,1
405512,405512,1
405598,405598,1
405688,405688,1
405711,405711,1
405718,405718,1
405722,405722,1
405759,405759,1
405778,405778,1
405782,405782,1
405831,405831,1
405928,405928,1
405932,405932,1
405934,405934,1
406018,406018,1
406041,406041,1
406112,406112,1
406138,406138,1
406142,406142,1
406256,406256,1
406268,406268,1
406348,406348,1
406352,406352,1
406442,406442,1
406558,406558,1
406562,406562,1
406678,406678,1
406768,406768,1
406772,406772,1
406978,406978,1
