start,stop,length
300010,300010,1
300088,300088,1
300092,300092,1
300176,300176,1
300182,300182,1
300298,300298,1
300302,300302,1
300418,300418,1
300478,300478,1
300508,300508,1
300512,300512,1
300556,300556,1
300718,300718,1
300722,300722,1
300748,300748,1
300819,300819,1
300842,300842,1
300928,300928,1
300932,300932,1
300939,300939,1
301029,301029,1
301078,301078,1
301083,301083,1
301136,301136,1
301138,301138,1
301142,301142,1
301149,301149,1
301172,301172,1
301239,301239,1
301348,301348,1
301352,301352,1
301408,301408,1
301502,301502,1
301558,301558,1
301562,301562,1
301708,301708,1
301738,301738,1
301761,301761,1
301768,301768,1
301772,301772,1
301832,301832,1
301976,301976,1
301978,301978,1
301982,301982,1
302001,302001,1
302038,302038,1
302042,302042,1
302068,302068,1
302072,302072,1
302091,302091,1
302139,302139,1
302162,302162,1
302188,302188,1
302192,302192,1
302194,302194,1
302228,302228,1
302315,302315,1
302398,302398,1
302402,302402,1
302428,302428,1
302440,302440,1
302492,302492,1
302511,302511,1
302608,302608,1
302612,302612,1
302728,302728,1
302782,302782,1
302799,302799,1
302818,302818,1
302822,302822,1
302871,302871,1
302942,302942,1
303028,303028,1
303032,303032,1
303058,303058,1
303088,303088,1
303141,303141,1
303152,303152,1
303238,303238,1
303242,303242,1
303244,303244,1
303302,303302,1
303339,303339,1
303388,303388,1
303448,303448,1
303452,303452,1
303459,303459,1
303482,303482,1
303632,303632,1
303651,303651,1
303658,303658,1
303662,303662,1
303718,303718,1
303812,303812,1
303868,303868,1
303872,303872,1
303969,303969,1
304048,304048,1
304071,304071,1
304078,304078,1
304082,304082,1
304142,304142,1
304166,304166,1
304191,304191,1
304288,304288,1
304292,304292,1
304318,304318,1
304322,304322,1
304378,304378,1
304389,304389,1
304449,304449,1
304472,304472,1
304498,304498,1
304502,304502,1
304708,304708,1
304712,304712,1
304802,304802,1
304821,304821,1
304918,304918,1
304922,304922,1
304924,304924,1
305038,305038,1
305061,305061,1
305128,305128,1
305132,305132,1
305158,305158,1
305338,305338,1
305342,305342,1
305368,305368,1
305462,305462,1
305546,305546,1
305548,305548,1
305552,305552,1
305582,305582,1
305698,305698,1
305758,305758,1
305762,305762,1
305769,305769,1
305792,305792,1
305848,305848,1
305884,305884,1
305968,305968,1
305972,305972,1
306028,306028,1
306081,306081,1
306122,306122,1
