start,stop,length
717148,717148,1
717152,717152,1
717208,717208,1
717302,717302,1
717358,717358,1
717362,717362,1
717369,717369,1
717422,717422,1
717538,717538,1
717561,717561,1
717568,717568,1
717572,717572,1
717632,717632,1
717681,717681,1
717778,717778,1
717782,717782,1
717868,717868,1
717891,717891,1
717962,717962,1
717988,717988,1
717992,717992,1
718198,718198,1
718202,718202,1
718221,718221,1
718228,718228,1
718292,718292,1
718408,718408,1
718412,718412,1
718509,718509,1
718528,718528,1
718580,718580,1
718618,718618,1
718622,718622,1
718802,718802,1
718828,718828,1
718832,718832,1
718858,718858,1
718929,718929,1
718952,718952,1
719019,719019,1
719038,719038,1
719042,719042,1
719044,719044,1
719188,719188,1
719248,719248,1
719252,719252,1
719259,719259,1
719278,719278,1
719282,719282,1
719402,719402,1
719458,719458,1
719462,719462,1
719518,719518,1
719541,719541,1
719612,719612,1
719668,719668,1
719672,719672,1
719781,719781,1
719848,719848,1
719871,719871,1
719878,719878,1
719882,719882,1
719884,719884,1
719937,719937,1
719942,719942,1
719972,719972,1
720088,720088,1
720092,720092,1
720178,720178,1
720201,720201,1
720272,720272,1
720296,720296,1
720298,720298,1
720302,720302,1
720399,720399,1
720508,720508,1
720512,720512,1
720542,720542,1
720602,720602,1
720718,720718,1
720722,720722,1
720838,720838,1
720898,720898,1
720928,720928,1
720932,720932,1
720992,720992,1
721010,721010,1
721138,721138,1
721142,721142,1
721168,721168,1
721251,721251,1
721262,721262,1
721341,721341,1
721348,721348,1
721352,721352,1
721498,721498,1
721502,721502,1
721558,721558,1
721562,721562,1
721569,721569,1
721592,721592,1
721653,721653,1
721659,721659,1
721724,721724,1
721768,721768,1
721772,721772,1
721828,721828,1
721918,721918,1
721922,721922,1
721978,721978,1
721982,721982,1
722079,722079,1
722102,722102,1
722158,722158,1
722181,722181,1
722188,722188,1
722192,722192,1
722252,722252,1
722314,722314,1
722359,722359,1
722398,722398,1
722402,722402,1
722488,722488,1
722511,722511,1
722582,722582,1
722608,722608,1
722612,722612,1
722818,722818,1
722822,722822,1
722860,722860,1
722912,722912,1
723028,723028,1
723032,723032,1
723148,723148,1
723219,723219,1
723231,723231,1
723238,723238,1
723242,723242,1
723295,723295,1
723412,723412,1
723448,723448,1
723452,723452,1
723478,723478,1
723572,723572,1
723658,723658,1
723662,723662,1
723771,723771,1
723808,723808,1
723838,723838,1
723868,723868,1
723872,723872,1
723879,723879,1
723902,723902,1
723999,723999,1
724078,724078,1
724082,724082,1
724138,724138,1
724232,724232,1
724288,724288,1
724292,724292,1
724336,724336,1
724389,724389,1
724408,724408,1
724442,724442,1
724468,724468,1
724491,724491,1
724498,724498,1
724502,724502,1
724532,724532,1
724562,724562,1
724586,724586,1
724678,724678,1
724708,724708,1
724712,724712,1
724791,724791,1
724798,724798,1
724892,724892,1
724911,724911,1
724918,724918,1
724922,724922,1
725128,725128,1
725132,725132,1
725222,725222,1
725241,725241,1
725301,725301,1
725338,725338,1
725342,725342,1
725368,725368,1
725458,725458,1
725529,725529,1
725548,725548,1
725552,725552,1
725578,725578,1
725649,725649,1
725758,725758,1
725762,725762,1
725788,725788,1
725811,725811,1
725878,725878,1
725882,725882,1
725890,725890,1
725968,725968,1
725972,725972,1
726069,726069,1
726092,726092,1
726118,726118,1
726141,726141,1
726178,726178,1
726182,726182,1
726189,726189,1
726212,726212,1
726339,726339,1
726388,726388,1
726392,726392,1
726434,726434,1
726448,726448,1
726542,726542,1
726598,726598,1
726602,726602,1
726748,726748,1
726778,726778,1
726801,726801,1
726808,726808,1
726812,726812,1
726872,726872,1
726921,726921,1
727016,727016,1
727018,727018,1
727022,727022,1
727108,727108,1
727119,727119,1
727148,727148,1
727179,727179,1
727202,727202,1
727228,727228,1
727232,727232,1
727341,727341,1
727382,727382,1
727438,727438,1
727442,727442,1
727509,727509,1
727532,727532,1
727648,727648,1
727652,727652,1
727768,727768,1
727828,727828,1
727858,727858,1
727862,727862,1
727952,727952,1
727971,727971,1
727989,727989,1
728037,728037,1
728068,728068,1
728072,728072,1
728098,728098,1
728169,728169,1
728192,728192,1
728271,728271,1
728278,728278,1
728282,728282,1
728398,728398,1
728428,728428,1
728488,728488,1
728492,728492,1
728499,728499,1
728522,728522,1
728654,728654,1
728698,728698,1
728702,728702,1
728751,728751,1
728758,728758,1
728762,728762,1
728852,728852,1
728866,728866,1
728908,728908,1
728912,728912,1
728968,728968,1
729088,729088,1
729111,729111,1
729118,729118,1
729122,729122,1
729152,729152,1
729182,729182,1
729219,729219,1
729328,729328,1
729332,729332,1
729418,729418,1
729485,729485,1
729512,729512,1
729538,729538,1
729542,729542,1
729578,729578,1
729662,729662,1
729748,729748,1
729752,729752,1
729831,729831,1
729842,729842,1
729849,729849,1
729958,729958,1
