seed_n,cohort_role,n,bin_index,max_branch,branch,cumulative_uncovered_measure,full_uncovered_measure,fill_fraction,residual_fraction,cumulative_max_gap,cumulative_component_count,exact_complete
1258,complete,1258,0,1000,1,0.89992725051422,0,0.0,1.0,0.03243543372754598,90,True
1258,complete,1258,0,1000,2,0.8430493104308118,0,0.0632028200622973,0.9367971799377027,0.03243543372754598,112,True
1258,complete,1258,0,1000,3,0.8072538833317865,0,0.10297873203581706,0.8970212679641829,0.03243543372754598,121,True
1258,complete,1258,0,1000,4,0.7698880364058537,0,0.144499695985494,0.855500304014506,0.023010967790426773,128,True
1258,complete,1258,0,1000,5,0.7459338529714391,0,0.1711176069563276,0.8288823930436724,0.023010967790426773,130,True
1258,complete,1258,0,1000,6,0.7247891667226685,0,0.19461360203447256,0.8053863979655275,0.023010967790426773,130,True
1258,complete,1258,0,1000,7,0.7069340291878171,0,0.2144542475140365,0.7855457524859635,0.023010967790426773,130,True
1258,complete,1258,0,1000,8,0.6951165337437745,0,0.22758585947188098,0.7724141405281191,0.023010967790426773,130,True
1258,complete,1258,0,1000,9,0.6791242030858737,0,0.24535655221261385,0.7546434477873861,0.023010967790426773,125,True
1258,complete,1258,0,1000,10,0.6791242030858737,0,0.24535655221261385,0.7546434477873861,0.023010967790426773,125,True
1258,complete,1258,0,1000,11,0.6598123290623248,0,0.26681592463690046,0.7331840753630995,0.023010967790426773,124,True
1258,complete,1258,0,1000,12,0.6376199967713945,0,0.29147606497407724,0.7085239350259227,0.023010967790426773,122,True
1258,complete,1258,0,1000,13,0.6376199967713945,0,0.29147606497407724,0.7085239350259227,0.023010967790426773,122,True
1258,complete,1258,0,1000,14,0.6359514573312368,0,0.2933301475559796,0.7066698524440204,0.023010967790426773,121,True
1258,complete,1258,0,1000,15,0.6176607667066685,0,0.31365478003501274,0.6863452199649872,0.023010967790426773,118,True
1258,complete,1258,0,1000,16,0.6176607667066685,0,0.31365478003501274,0.6863452199649872,0.023010967790426773,118,True
1258,complete,1258,0,1000,17,0.599690574664222,0,0.3336232741907106,0.6663767258092894,0.023010967790426773,117,True
1258,complete,1258,0,1000,18,0.5883889070248998,0,0.3461816978109138,0.6538183021890862,0.023010967790426773,116,True
1258,complete,1258,0,1000,19,0.5883889070248998,0,0.3461816978109138,0.6538183021890862,0.023010967790426773,116,True
1258,complete,1258,0,1000,20,0.5761486010640052,0,0.3597831372093767,0.6402168627906233,0.023010967790426773,116,True
1258,complete,1258,0,1000,30,0.5163156040329288,0,0.4262696193076661,0.573730380692334,0.023010967790426773,109,True
1258,complete,1258,0,1000,50,0.4523615224461817,0,0.4973354544073406,0.5026645455926594,0.023010967790426773,100,True
1258,complete,1258,0,1000,100,0.3764899412208337,0,0.5816440262191119,0.41835597378088807,0.023010967790426773,83,True
1258,complete,1258,0,1000,200,0.32048094414957307,0,0.6438812759959767,0.35611872400402333,0.023010967790426773,73,True
1258,complete,1258,0,1000,500,0.18154190840864987,0,0.7982704620791109,0.20172953792088918,0.023010967790426773,36,True
1258,complete,1258,0,1000,1000,0,0,1.0,0.0,0.0,0,True
1258,local_mod6_control,1252,0,1000,1,0.8999272505142201,0.09162142651600447,0.0,1.0,0.032273582509278254,90,False
1258,local_mod6_control,1252,0,1000,2,0.8396012147637656,0.09162142651600447,0.07463268723223705,0.925367312767763,0.02923039439413322,114,False
1258,local_mod6_control,1252,0,1000,3,0.8049435981867252,0.09162142651600447,0.11750954837572038,0.8824904516242796,0.02923039439413322,122,False
1258,local_mod6_control,1252,0,1000,4,0.7698816741195167,0.09162142651600447,0.16088660075643654,0.8391133992435634,0.02200961615958763,126,False
1258,local_mod6_control,1252,0,1000,5,0.7476949173411651,0.09162142651600447,0.18833506904608302,0.811664930953917,0.02200961615958763,125,False
1258,local_mod6_control,1252,0,1000,6,0.724764248846999,0.09162142651600447,0.2167038718102912,0.7832961281897088,0.02200961615958763,127,False
1258,local_mod6_control,1252,0,1000,7,0.7094532103562907,0.09162142651600447,0.2356460073685549,0.7643539926314451,0.02200961615958763,128,False
1258,local_mod6_control,1252,0,1000,8,0.7044221425180888,0.09162142651600447,0.24187022064134342,0.7581297793586566,0.02200961615958763,127,False
