start,stop,length
100071,100071,1
100108,100108,1
100168,100168,1
100172,100172,1
100179,100179,1
100202,100202,1
100378,100378,1
100382,100382,1
100438,100438,1
100461,100461,1
100532,100532,1
100588,100588,1
100592,100592,1
100618,100618,1
100768,100768,1
100779,100779,1
100791,100791,1
100798,100798,1
100802,100802,1
100851,100851,1
100857,100857,1
100862,100862,1
100899,100899,1
101001,101001,1
101008,101008,1
101012,101012,1
101098,101098,1
101169,101169,1
101192,101192,1
101218,101218,1
101222,101222,1
101428,101428,1
101432,101432,1
101522,101522,1
101600,101600,1
101608,101608,1
101638,101638,1
101642,101642,1
101680,101680,1
101758,101758,1
101846,101846,1
101848,101848,1
101852,101852,1
101949,101949,1
101968,101968,1
102058,102058,1
102062,102062,1
102088,102088,1
102092,102092,1
102182,102182,1
102268,102268,1
102272,102272,1
102274,102274,1
102369,102369,1
102418,102418,1
102478,102478,1
102482,102482,1
102489,102489,1
102512,102512,1
102524,102524,1
102591,102591,1
102658,102658,1
102662,102662,1
102688,102688,1
102692,102692,1
102699,102699,1
102748,102748,1
102801,102801,1
102842,102842,1
102872,102872,1
102898,102898,1
102902,102902,1
102904,102904,1
103078,103078,1
103101,103101,1
103108,103108,1
103112,103112,1
103172,103172,1
103318,103318,1
103322,103322,1
103329,103329,1
103347,103347,1
103408,103408,1
103479,103479,1
103502,103502,1
103528,103528,1
103532,103532,1
103611,103611,1
103678,103678,1
103738,103738,1
103742,103742,1
103832,103832,1
103948,103948,1
103952,103952,1
104012,104012,1
104068,104068,1
104158,104158,1
104162,104162,1
104199,104199,1
104218,104218,1
104242,104242,1
104332,104332,1
104368,104368,1
104372,104372,1
104398,104398,1
104469,104469,1
104492,104492,1
104578,104578,1
104582,104582,1
104679,104679,1
104728,104728,1
104751,104751,1
104788,104788,1
104792,104792,1
104799,104799,1
104822,104822,1
104912,104912,1
104998,104998,1
105002,105002,1
105058,105058,1
105081,105081,1
105152,105152,1
105208,105208,1
105212,105212,1
105388,105388,1
105411,105411,1
105418,105418,1
105422,105422,1
105459,105459,1
105482,105482,1
105512,105512,1
105531,105531,1
105626,105626,1
105628,105628,1
