n,p_prefix,prime_index,prefix_width_sum,poisson_prefix_baseline,product_prefix_baseline,uncovered_measure,uncovered_over_product_baseline,baseline_delta,log_uncovered_minus_log_product_baseline,component_count,max_gap,gap_p50,gap_p90,gap_p99,top_gap_share,numeric_complete_prefix
1000,2,1,0.5,0.6065306597126334,0.5,0.5,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,False
1000,3,2,0.8333333333333333,0.43459820850707825,0.33333333333333337,0.25,0.7499999999999999,-0.08333333333333337,-0.287682072451781,1,0.25,0.25,0.25,0.25,1.0,False
1000,5,3,1.0333333333333332,0.355818918537342,0.2666666666666667,0.25,0.9374999999999998,-0.01666666666666672,-0.0645385211375713,1,0.25,0.25,0.25,0.25,1.0,False
1000,7,4,1.176190476190476,0.308451556793032,0.22857142857142862,0.25,1.0937499999999998,0.02142857142857138,0.08961215868968697,1,0.25,0.25,0.25,0.25,1.0,False
1000,11,5,1.2670995670995668,0.2816473374460965,0.20779220779220783,0.25,1.2031249999999998,0.042207792207792166,0.18492233849401174,1,0.25,0.25,0.25,0.25,1.0,False
1000,13,6,1.3440226440226437,0.26079447237832387,0.19180819180819186,0.25,1.3033854166666663,0.058191808191808136,0.2649650461675481,1,0.25,0.25,0.25,0.25,1.0,False
1000,17,7,1.4028461734344084,0.24589610407132353,0.18052535699594527,0.25,1.384847005208333,0.06947464300405473,0.32558966798398314,1,0.25,0.25,0.25,0.25,1.0,False
1000,19,8,1.4554777523817768,0.23328888295365452,0.17102402241721132,0.19736842105263164,1.1540391710069444,0.02634439863542032,0.1432681111900287,2,0.10526315789473684,0.09868421052631582,0.10394736842105264,0.10513157894736841,0.5333333333333331,False
1000,23,9,1.498956013251342,0.2233632267168868,0.16358819535559344,0.19736842105263164,1.2064954969618056,0.0337802256970382,0.18771987376086252,2,0.10526315789473684,0.09868421052631582,0.10394736842105264,0.10513157894736841,0.5333333333333331,False
1000,29,10,1.5334387718720317,0.21579232937126394,0.15794722310195228,0.19736842105263164,1.2495846218532987,0.03942119795067936,0.22281119357213264,2,0.10526315789473684,0.09868421052631582,0.10394736842105264,0.10513157894736841,0.5333333333333331,False
1000,31,11,1.5656968363881607,0.20894236379016431,0.15285215138898609,0.19736842105263164,1.291237442581742,0.04451626966364555,0.25560101639512345,2,0.10526315789473684,0.09868421052631582,0.10394736842105264,0.10513157894736841,0.5333333333333331,False
1000,47,15,1.661646517015796,0.1898261706291461,0.1387040926358504,0.19736842105263164,1.4229459080980171,0.058664328416781236,0.35272930580476713,2,0.10526315789473684,0.09868421052631582,0.10394736842105264,0.10513157894736841,0.5333333333333331,False
1000,97,25,1.8028172010488706,0.16483386336213293,0.12031729047493521,0.17700756573243404,1.4711731375741768,0.056690275257498826,0.3860601352874027,3,0.10526315789473684,0.044520547945205435,0.09311463590483056,0.1040483056957462,0.5946816875265852,False
1000,199,46,1.9490340749285706,0.14241156407230274,0.1038946390008959,0.1566104630588635,1.5073969606604343,0.0527158240579676,0.4103842961458011,5,0.05617457328929898,0.027223859892491764,0.04779870370512301,0.05533698633088138,0.358689784782676,False
1000,499,95,2.096709552838668,0.12286002830789179,0.08960973680803674,0.1269770801193798,1.4170009269348922,0.03736734331134306,0.3485426148613935,13,0.021603812733422934,0.00891051971932777,0.017281330057761935,0.02112722422304442,0.17013946700547625,False
1000,997,168,2.198080127175088,0.11101609067106057,0.08096526350684251,0.114647282149409,1.4160057929005563,0.033682018642566494,0.34784008629462626,19,0.015877683034401624,0.004102387488224779,0.011876133473946358,0.01519821748609133,0.13849157814059418,False
10000,2,1,0.5,0.6065306597126334,0.5,0.5,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,False
10000,3,2,0.8333333333333333,0.43459820850707825,0.33333333333333337,0.25,0.7499999999999999,-0.08333333333333337,-0.287682072451781,1,0.25,0.25,0.25,0.25,1.0,False
10000,5,3,1.0333333333333332,0.355818918537342,0.2666666666666667,0.25,0.9374999999999998,-0.01666666666666672,-0.0645385211375713,1,0.25,0.25,0.25,0.25,1.0,False
10000,7,4,1.176190476190476,0.308451556793032,0.22857142857142862,0.1071428571428572,0.46875000000000017,-0.12142857142857141,-0.7576857016975163,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
10000,11,5,1.2670995670995668,0.2816473374460965,0.20779220779220783,0.1071428571428572,0.5156250000000002,-0.10064935064935063,-0.6623755218931915,1,0.1071428571428572,0.1071428571428572,0.1071428571428572,0.1071428571428572,1.0,False
