seed_n,cohort_role,n,bin_index,bin_start,bin_stop,n_mod_6,eligible,exclusion_reason
133352,local_mod6_control,133346,8,100000,177827,2,True,
133352,band_mod6_control,133358,8,100000,177827,2,True,
133352,band_ordinary_control,133351,8,100000,177827,1,True,
237088,complete,237088,9,177828,316227,4,True,
237088,local_mod6_control,237082,9,177828,316227,4,True,
237088,band_mod6_control,237136,9,177828,316227,4,True,
237088,band_ordinary_control,237137,9,177828,316227,5,True,
237092,complete,237092,9,177828,316227,2,True,
237092,local_mod6_control,237086,9,177828,316227,2,True,
237092,band_mod6_control,237140,9,177828,316227,2,True,
237092,band_ordinary_control,237137,9,177828,316227,5,True,
237152,complete,237152,9,177828,316227,2,True,
237152,local_mod6_control,237146,9,177828,316227,2,True,
237152,band_mod6_control,237140,9,177828,316227,2,True,
237152,band_ordinary_control,237137,9,177828,316227,5,True,
421665,complete,421665,10,316228,562340,3,True,
421665,local_mod6_control,421659,10,316228,562340,3,True,
421665,band_mod6_control,421695,10,316228,562340,3,True,
421665,band_ordinary_control,421696,10,316228,562340,4,True,
421678,complete,421678,10,316228,562340,4,True,
421678,local_mod6_control,421672,10,316228,562340,4,True,
421678,band_mod6_control,421696,10,316228,562340,4,True,
421678,band_ordinary_control,421697,10,316228,562340,5,True,
421682,complete,421682,10,316228,562340,2,True,
421682,local_mod6_control,421676,10,316228,562340,2,True,
421682,band_mod6_control,421694,10,316228,562340,2,True,
421682,band_ordinary_control,421696,10,316228,562340,4,True,
749878,complete,749878,11,562341,1000000,4,True,
749878,local_mod6_control,749872,11,562341,1000000,4,True,
749878,band_mod6_control,749896,11,562341,1000000,4,True,
749878,band_ordinary_control,749894,11,562341,1000000,2,True,
749901,complete,749901,11,562341,1000000,3,True,
749901,local_mod6_control,749895,11,562341,1000000,3,True,
749901,band_mod6_control,749889,11,562341,1000000,3,True,
749901,band_ordinary_control,749894,11,562341,1000000,2,True,
749908,complete,749908,11,562341,1000000,4,True,
749908,local_mod6_control,749902,11,562341,1000000,4,True,
749908,band_mod6_control,749896,11,562341,1000000,4,True,
749908,band_ordinary_control,749894,11,562341,1000000,2,True,
