h,observed_pair_count,independent_expected_pair_count,independent_observed_to_expected,mod30_expected_pair_count,mod30_observed_to_expected,mod210_expected_pair_count,mod210_observed_to_expected
1,10,555.5920409994445,0.01799881794924776,71.40062352936845,0.14005479932380155,41.23714153945476,0.24249983453465676
2,652,555.5914854062922,1.1735241038174051,215.200466435965,3.0297332101462193,674.1780767028736,0.9671035332217603
3,11,555.5909298131401,0.019798739341730417,24.948871936970455,0.44090169799219114,14.70126172145154,0.7482350976684677
4,5032,555.5903742199879,9.057032363212906,2197.064181758169,2.2903290863233745,5266.107937885352,0.9555444095247011
5,146,555.5898186268357,0.2627837931962924,106.79637368816162,1.3670876169101995,124.13060689002674,1.1761805058227774
6,693,555.5892630336836,1.2473243205169458,297.187549171666,2.3318608129161524,722.1123890375684,0.9596844071926679
7,1595,555.5887074405314,2.8708286879115956,1217.4071102534924,1.310161561047466,1728.778454516943,0.9226167736141047
8,46,555.5881518473791,0.0827951421336938,72.62032378028552,0.6334314914262028,59.04015074711615,0.7791308019694868
9,22,555.587596254227,0.03959771627070881,15.342597407821794,1.433916266927802,8.673456795515339,2.5364742707169796
10,39,555.5870406610748,0.07019602176752572,75.23933279218132,0.5183459043652336,41.736679116447995,0.9344298786012063
11,1617,555.5864850679226,2.910437966831241,1195.1707024954735,1.352944810832262,1721.3775564371063,0.9393639378840595
12,230,555.5859294747704,0.41397736659283857,301.78184821199324,0.7621399410292944,288.9231427722567,0.7960594564807749
13,134,555.5853738816182,0.24118705477036576,117.07723612375429,1.1445435888011382,168.0535489288818,0.7973648926432797
14,109,555.5848182884661,0.19618966611756108,74.41934947925567,1.4646728406351315,45.1026879462418,2.416707406217515
15,1,555.5842626953138,0.0017999069936730854,2.001209625418875,0.49969777643393504,1.0212095758085626,0.9792309274109876
16,21,555.5837071021617,0.03779808466582423,74.41839619098997,0.28218829046120353,38.02813943721675,0.5522226517200594
17,67,555.5831515090096,0.1205940097679753,117.0769907374466,0.572272993847717,106.02078958400857,0.6319515282133478
18,166,555.5825959158573,0.29878545732044604,301.7809143533162,0.550067920483706,242.1049978998406,0.6856529251357073
19,893,555.5820403227051,1.6073233747464344,1195.1706665928557,0.7471736254586371,906.9785804282633,0.9845877502182435
20,13,555.5814847295529,0.02339890791416162,75.23918525673061,0.172782306927454,38.293784124328766,0.33948068328250836
21,2,555.5809291364008,0.0035998355867052803,15.342383145936575,0.13035784473481224,7.663586728264168,0.260974406751838
22,27,555.5803735432486,0.04859782901941948,72.61832245226736,0.3718069915171523,35.31226375474293,0.7646068852318629
23,2138,555.5798179500964,3.848231938821148,1217.3715781310718,1.7562427433062726,900.6808130861538,2.373759903549196
24,224,555.5792623569442,0.4031827952859879,297.185082484158,0.7537390441256107,168.22320542676317,1.3315642121533555
25,95,555.578706763792,0.17099287435504595,106.79440516302547,0.889559709190562,98.24894300927183,0.9669315220117409
26,1488,555.5781511706398,2.6782910682586887,2197.0638845091767,0.6772675162026154,1675.4386812262146,0.888125609533479
27,30,555.5775955774876,0.05399785779485385,24.948133305560777,1.202494777166883,15.169256614871168,1.9776842571566444
28,116,555.5770399843354,0.20879192560454016,215.19406218530793,0.5390483307114212,118.57853869378891,0.9782545920856084
29,90,555.5764843911833,0.16199389738142822,71.39849995111895,1.2605306842807071,93.06299869588393,0.9670868257115445
30,3084,555.575928798031,5.550996434766578,4702.101086905688,0.6558770096602683,3570.908966998052,0.8636456511498861
31,74,555.5753732048789,0.13319524868988586,71.39848152110325,1.036436607942815,91.50365927154911,0.8087108274041293
32,109,555.5748176117268,0.19619319764809168,215.19401045202525,0.5065196739028206,122.4866317961377,0.8898930307873568
33,16,555.5742620185745,0.028799030289608833,24.948123473159097,0.6413308005796067,13.145694574556082,1.2171285365908713
34,1525,555.5737064254223,2.7449103194819915,2196.998269177617,0.6941289036931466,1678.9498385645195,0.9083058736905776
35,102,555.5731508322701,0.18359418529711172,106.79316979037895,0.9551172626509044,89.26392512045427,1.142678857806885
36,228,555.572595239118,0.41038741283102526,297.1786334915465,0.7672153186830157,283.28536563842357,0.804842140313778
37,842,555.5720396459658,1.5155550314169128,1217.370588200371,0.6916546269158036,927.9876838478178,0.9073396281604972
38,191,555.5714840528136,0.3437901430913672,72.61814518014005,2.630196619952166,150.91920338818917,1.2655778437202347
39,25,555.5709284596614,0.044998754829222824,15.342137125296732,1.6294991887915664,26.468079139043464,0.9445339750069782
40,166,555.5703728665092,0.29879203087002265,75.23707558962417,2.2063590151408383,156.21393289051971,1.0626452898816567
41,719,555.569817273357,1.2941667773255408,1195.1348470158434,0.6016057533551847,902.476248646735,0.7966968671786565
42,354,555.5692616802049,0.6371842800111004,301.7727946660114,1.1730679711926695,444.55075971536024,0.7963095153108305
43,106,555.5687060870526,0.19079548368836804,117.07372376577823,0.9054123896500234,87.75831600118684,1.2078627397381516
44,141,555.5681504939005,0.2537942462588089,74.4171168757076,1.894725379316965,152.73986168319183,0.9231381935676864
45,3,555.5675949007483,0.005399882980100644,2.0011495882402404,1.4991383041175463,4.594170548340884,0.6530014435540286
46,154,555.5670393075961,0.2771942701855214,74.4161635874419,2.0694428814385732,158.05523118846713,0.9743429486137563
47,104,555.566483714444,0.18719631772001394,117.07347837947053,0.8883309989552421,106.95827147078741,0.9723418167654722
48,401,555.5659281212917,0.721786523799302,301.77186080733435,1.3288183958809123,301.16628293829126,1.3314903517342431
49,935,555.5653725281396,1.6829702609887585,1195.1348111132256,0.7823385205632833,914.7244766026862,1.0221657164708413
50,25,555.5648169349873,0.04499924984077154,75.23692805417346,0.33228363579649406,52.62314458877699,0.4750761322867008
51,31,555.5642613418352,0.05579912560452822,15.341922863411513,2.0206072130587334,37.24715050428482,0.8322784315120653
52,105,555.563705748683,0.18899722734497387,72.6161438521219,1.4459594579109811,35.43426293594367,2.9632336416821725
53,982,555.5631501555308,1.767575836743469,1217.3350560779504,0.8066801289398824,998.2495317642364,0.9837219740684294
54,153,555.5625945623786,0.27539651066774823,297.17616680403853,0.514846131994461,168.02675819227025,0.910569254838117
55,69,555.5620389692264,0.12419855058495463,106.7912012652428,0.6461206464811754,116.03408595195934,0.5946528507887545
56,1508,555.5614833760742,2.7143710374522043,2196.997971928625,0.6863911661585236,1684.4631904526939,0.8952406965893568
57,64,555.5609277829221,0.11519888602570541,24.947384841749418,2.5653991553012836,64.55706496956643,0.9913709681530746
58,93,555.5603721897699,0.16739854866436155,215.18760620136817,0.432181023998996,125.84335354022507,0.7390139994185161
59,61,555.5598165966177,0.10979915785430364,71.39635794285375,0.8543853182094374,87.91766890196864,0.6938309530023731
60,3109,555.5592610034655,5.596162674679284,4701.960020344746,0.6612136186925828,3586.120472633194,0.8669535850024422
61,89,555.5587054103133,0.1601990917130318,71.39633951283805,1.246562507367714,57.127594938678385,1.557916101588627
62,84,555.5581498171612,0.15119929394905846,215.1875544680855,0.3903571477803939,121.49833388043837,0.691367505357407
63,7,555.5575942240089,0.01259995376316915,24.947375009347738,0.28059064319901844,13.540304376612074,0.5169750845550396
64,1491,555.5570386308568,2.6837928355196374,2196.9323565970653,0.6786736039108104,1684.1161443464537,0.8853308633167962
65,38,555.5564830377045,0.06839988580858845,106.78996589259629,0.3558386753135439,74.87633112728983,0.5075034984740366
66,214,555.5559274445524,0.3851997421472178,297.16971781142706,0.7201272107267555,168.88456841322957,1.26713767877466
67,925,555.5553718514002,1.6650005505615357,1217.3340661472496,0.759857154846196,930.5001281939689,0.9940890624006208
68,24,555.554816258248,0.04320005748783513,72.61596657999458,0.33050582578917165,35.294082492996495,0.6800006773022755
69,1,555.5542606650959,0.0018000041954548682,15.34167684277167,0.06518192308757673,8.050217130894586,0.12422025191870499
70,20,555.5537050719437,0.03600011991173746,75.23481838706702,0.26583436271626637,43.40104549864683,0.46081839205056857
71,2275,555.5531494787914,4.095017735268639,1195.0989915362134,1.9036079990960848,932.4100603250039,2.4399136139811906
72,321,555.5525938856393,0.5778030802716007,301.7637411200296,1.0637460909272032,194.07155401833728,1.6540291111889052
73,62,555.552038292487,0.11160070655227844,117.07021140780216,0.5295967202453348,107.96198423364564,0.5742762180604505
74,18,555.5514826993349,0.032400237530716164,74.41488427215954,0.24188709256293567,38.57684823204651,0.46660110467622556
75,0,555.5509271061827,0.0,2.0010895510616056,0.0,1.3057367748061404,0.0
76,15,555.5503715130305,0.0270002519468177,74.41393098389383,0.20157515940458248,48.51135344366467,0.3092059679889002
77,59,555.5498159198784,0.1062010972000916,117.06996602149447,0.5039721288478668,88.43568073828503,0.6671515332663469
78,286,555.5492603267261,0.5148058334769441,301.7628072613525,0.9477642476738342,311.27366717045294,0.9188056368526248
79,704,555.548704733574,1.2672156266436065,1195.0989556335956,0.5890725589553931,899.0148499055247,0.7830793897052776
