source,n,next_n,a_n,a_next,abs_delta_a,component_count_n,component_count_next,abs_delta_component_count,max_gap_n,max_gap_next,abs_delta_max_gap,c0_n,c0_next
data/summaries/prc_broad_candidate_windows_r250.csv,3742,3743,0.03224254948040339,0.07437421252457005,0.042131663044166656,18,47,29,0.007644760514959326,0.007455986814462023,0.00018877370049730224,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3743,3744,0.07437421252457005,0.1444809600120961,0.07010674748752604,47,74,27,0.007455986814462023,0.007523038777358049,6.705196289602533e-05,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3744,3745,0.1444809600120961,0.054167930769744355,0.09031302924235174,74,26,48,0.007523038777358049,0.012848285135499404,0.005325246358141356,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3745,3746,0.054167930769744355,0.06074923773708363,0.006581306967339273,26,29,3,0.012848285135499404,0.007438161840490953,0.005410123295008451,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3746,3747,0.06074923773708363,0.038789363177541,0.021959874559542625,29,26,3,0.007438161840490953,0.005852139520733046,0.001586022319757907,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3747,3748,0.038789363177541,0.0,0.038789363177541,26,0,26,0.005852139520733046,0.0,0.005852139520733046,False,True
data/summaries/prc_broad_candidate_windows_r250.csv,3748,3749,0.0,0.1177804069649026,0.1177804069649026,0,79,79,0.0,0.010510773542881435,0.010510773542881435,True,False
data/summaries/prc_broad_candidate_windows_r250.csv,3749,3750,0.1177804069649026,0.07479708466631407,0.04298332229858853,79,44,35,0.010510773542881435,0.005482295337521537,0.005028478205359899,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3750,3751,0.07479708466631407,0.030467625967111292,0.04432945869920278,44,22,22,0.005482295337521537,0.004858846237959846,0.0006234490995616904,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3751,3752,0.030467625967111292,0.02665161391721904,0.0038160120498922506,22,11,11,0.004858846237959846,0.005712957693671361,0.0008541114557115148,False,False
data/summaries/prc_broad_candidate_windows_r250.csv,3752,3753,0.02665161391721904,0.02839902764877303,0.0017474137315539873,11,14,3,0.005712957693671361,0.006599543108553929,0.000886585414882568,False,False
