ratio_threshold,radius,seed_count,exact_complete_memberships,unique_exact_complete_count,d_r_min,d_r_median,d_r_mean,d_r_max,top_center,top_exact_count,top_d_r
0.0,100,12,63,63,0.014925373134328358,0.024875621890547265,0.02611940298507463,0.03482587064676617,51692,7,0.03482587064676617
0.02,100,12,63,63,0.014925373134328358,0.024875621890547265,0.02611940298507463,0.03482587064676617,51692,7,0.03482587064676617
0.05,100,21,105,105,0.014925373134328358,0.024875621890547265,0.02487562189054727,0.03482587064676617,1839,7,0.03482587064676617
0.0,250,12,161,161,0.021956087824351298,0.02594810379241517,0.02677977378576181,0.033932135728542916,51692,17,0.033932135728542916
0.02,250,12,161,161,0.021956087824351298,0.02594810379241517,0.02677977378576181,0.033932135728542916,51692,17,0.033932135728542916
0.05,250,21,262,260,0.017964071856287425,0.023952095808383235,0.0249025758007794,0.033932135728542916,51692,17,0.033932135728542916
0.0,500,12,301,300,0.022977022977022976,0.025474525474525476,0.02505827505827506,0.027972027972027972,58551,28,0.027972027972027972
0.02,500,12,301,300,0.022977022977022976,0.025474525474525476,0.02505827505827506,0.027972027972027972,58551,28,0.027972027972027972
0.05,500,21,504,486,0.01898101898101898,0.023976023976023976,0.023976023976023973,0.028971028971028972,3524,29,0.028971028971028972
