seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
3628,local_any_control,3627,-1,8,19,9699690,3627,57,1317,3669,6,13,42,4.3300352897876115e-06
3928,complete_uncertified,3928,0,8,19,9699690,3928,148,1618,3891,8,19,37,3.8145548981462296e-06
3928,local_mod210_control,3718,-210,8,19,9699690,3718,148,1408,3748,5,11,30,3.092882349848294e-06
3928,local_any_control,3927,-1,8,19,9699690,3927,147,1617,3891,8,19,36,3.711458819817953e-06
3986,complete_uncertified,3986,0,8,19,9699690,3986,206,1676,3988,4,7,2,2.0619215665655295e-07
3986,local_mod210_control,3776,-210,8,19,9699690,3776,206,1466,3778,4,7,2,2.0619215665655295e-07
3986,local_any_control,3985,-1,8,19,9699690,3985,205,1675,3988,4,7,3,3.092882349848294e-07
4498,complete_uncertified,4498,0,8,19,9699690,4498,88,2188,4502,5,11,4,4.123843133131059e-07
4498,local_mod210_control,4288,-210,8,19,9699690,4288,88,1978,4202,4,7,86,8.866262736231776e-06
4498,local_any_control,4497,-1,8,19,9699690,4497,87,2187,4502,5,11,5,5.154803916413823e-07
4773,complete_uncertified,4773,0,8,19,9699690,4773,153,153,4738,5,11,35,3.6083627414896764e-06
4773,local_mod210_control,4563,-210,8,19,9699690,4563,153,2253,4521,6,13,42,4.3300352897876115e-06
4773,local_any_control,4772,-1,8,19,9699690,4772,152,152,4738,5,11,34,3.5052666631614e-06
4885,complete_uncertified,4885,0,8,19,9699690,4885,55,265,4832,4,7,53,5.464092151398653e-06
4885,local_mod210_control,4675,-210,8,19,9699690,4675,55,55,4622,4,7,53,5.464092151398653e-06
4885,local_any_control,4884,-1,8,19,9699690,4884,54,264,4832,4,7,52,5.360996073070376e-06
5342,complete_uncertified,5342,0,8,19,9699690,5342,92,722,5301,7,17,41,4.226939211459335e-06
5342,local_mod210_control,5132,-210,8,19,9699690,5132,92,512,5162,5,11,30,3.092882349848294e-06
5342,local_any_control,5341,-1,8,19,9699690,5341,91,721,5301,7,17,40,4.123843133131059e-06
5372,complete_uncertified,5372,0,8,19,9699690,5372,122,752,5398,5,11,26,2.680498036535188e-06
5372,local_mod210_control,5582,210,8,19,9699690,5582,122,962,5638,8,19,56,5.773380386383483e-06
5372,local_any_control,5371,-1,8,19,9699690,5371,121,751,5398,5,11,27,2.783594114863465e-06
5402,complete_uncertified,5402,0,8,19,9699690,5402,152,782,5398,5,11,4,4.123843133131059e-07
5402,local_mod210_control,5192,-210,8,19,9699690,5192,152,572,5162,5,11,30,3.092882349848294e-06
5402,local_any_control,5401,-1,8,19,9699690,5401,151,781,5398,5,11,3,3.092882349848294e-07
5559,complete_uncertified,5559,0,8,19,9699690,5559,99,939,5492,5,11,67,6.907437247994524e-06
5559,local_mod210_control,5349,-210,8,19,9699690,5349,99,729,5301,7,17,48,4.948611759757271e-06
5559,local_any_control,5558,-1,8,19,9699690,5558,98,938,5492,5,11,66,6.804341169666247e-06
5758,complete_uncertified,5758,0,8,19,9699690,5758,88,1138,5728,5,11,30,3.092882349848294e-06
5758,local_mod210_control,5548,-210,8,19,9699690,5548,88,928,5492,5,11,56,5.773380386383483e-06
5758,local_any_control,5757,-1,8,19,9699690,5757,87,1137,5728,5,11,29,2.9897862715200177e-06
6332,complete_uncertified,6332,0,8,19,9699690,6332,32,1712,6302,4,7,30,3.092882349848294e-06
6332,local_mod210_control,6122,-210,8,19,9699690,6122,32,1502,6130,8,19,8,8.247686266262118e-07
6332,local_any_control,6331,-1,8,19,9699690,6331,31,1711,6302,4,7,29,2.9897862715200177e-06
6638,complete_uncertified,6638,0,8,19,9699690,6638,128,2018,6718,4,7,80,8.247686266262118e-06
6638,local_mod210_control,6428,-210,8,19,9699690,6428,128,1808,6399,6,13,29,2.9897862715200177e-06
6638,local_any_control,6637,-1,8,19,9699690,6637,127,2017,6718,4,7,81,8.350782344590395e-06
7881,complete_uncertified,7881,0,8,19,9699690,7881,111,951,7959,7,17,78,8.041494109605565e-06
7881,local_mod210_control,7671,-210,8,19,9699690,7671,111,741,7708,5,11,37,3.8145548981462296e-06
7881,local_any_control,7880,-1,8,19,9699690,7880,110,950,7802,5,11,78,8.041494109605565e-06
8811,complete_uncertified,8811,0,8,19,9699690,8811,201,1881,8818,4,7,7,7.216725482979353e-07
8811,local_mod210_control,8601,-210,8,19,9699690,8601,201,1671,8608,4,7,7,7.216725482979353e-07
8811,local_any_control,8810,-1,8,19,9699690,8810,200,1880,8818,4,7,8,8.247686266262118e-07
9051,complete_uncertified,9051,0,8,19,9699690,9051,21,2121,9032,4,7,19,1.958825488237253e-06
9051,local_mod210_control,8841,-210,8,19,9699690,8841,21,1911,8822,4,7,19,1.958825488237253e-06
9051,local_any_control,9050,-1,8,19,9699690,9050,20,2120,9032,4,7,18,1.8557294099089764e-06
9148,complete_uncertified,9148,0,8,19,9699690,9148,118,2218,9129,6,13,19,1.958825488237253e-06
