selected_rank,seed_mod210,priority_label,direction_label,seed_n,cohort_role,n,control_delta,row_mod210,residue,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,complete_circular_residue_distance,distance_minus_complete,normalized_residue_distance
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,57021,complete_uncertified,57021,0,111,57021,56972,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,57021,local_mod210_control,56811,-210,111,56811,56878,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,57021,local_any_control,57020,-1,110,57020,56972,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,62691,complete_uncertified,62691,0,111,62691,62788,4,7,97,97,0,1.0000319597842817e-05
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,62691,local_mod210_control,62481,-210,111,62481,62488,5,11,7,97,-90,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,62691,local_any_control,62690,-1,110,62690,62788,4,7,98,97,1,1.0103415676171094e-05
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,63951,complete_uncertified,63951,0,111,63951,63926,6,13,25,25,0,2.5774019582069117e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,63951,local_mod210_control,63741,-210,111,63741,63729,6,13,12,25,-13,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,63951,local_any_control,63950,-1,110,63950,63926,6,13,24,25,-1,2.4743058798786353e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,68781,complete_uncertified,68781,0,111,68781,68769,7,17,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,68781,local_mod210_control,68571,-210,111,68571,68522,5,11,49,12,37,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,68781,local_any_control,68780,-1,110,68780,68769,7,17,11,12,-1,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,70881,complete_uncertified,70881,0,111,70881,70832,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,70881,local_mod210_control,70671,-210,111,70671,70738,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,70881,local_any_control,70880,-1,110,70880,70832,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,71721,complete_uncertified,71721,0,111,71721,71728,5,11,7,7,0,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,71721,local_mod210_control,71511,-210,111,71511,71492,5,11,19,7,12,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,71721,local_any_control,71720,-1,110,71720,71728,5,11,8,7,1,8.247686266262118e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,74241,complete_uncertified,74241,0,111,74241,74259,7,17,18,18,0,1.8557294099089764e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,74241,local_mod210_control,74451,210,111,74451,74462,5,11,11,18,-7,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,74241,local_any_control,74240,-1,110,74240,74259,7,17,19,18,1,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,79911,complete_uncertified,79911,0,111,79911,79978,5,11,67,67,0,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,79911,local_mod210_control,79701,-210,111,79701,79719,6,13,18,67,-49,1.8557294099089764e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,79911,local_any_control,79910,-1,110,79910,79978,5,11,68,67,1,7.0105333263228e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,82851,complete_uncertified,82851,0,111,82851,82839,6,13,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,82851,local_mod210_control,82641,-210,111,82641,82618,5,11,23,12,11,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,82851,local_any_control,82850,-1,110,82850,82839,6,13,11,12,-1,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,87681,complete_uncertified,87681,0,111,87681,87662,5,11,19,19,0,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,87681,local_mod210_control,87471,-210,111,87471,87519,7,17,48,19,29,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,87681,local_any_control,87680,-1,110,87680,87662,5,11,18,19,-1,1.8557294099089764e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,89571,complete_uncertified,89571,0,111,89571,89548,5,11,23,23,0,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,89571,local_mod210_control,89361,-210,111,89361,89398,7,17,37,23,14,3.8145548981462296e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,89571,local_any_control,89570,-1,110,89570,89548,5,11,22,23,-1,2.2681137232220826e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,99441,complete_uncertified,99441,0,111,99441,99448,5,11,7,7,0,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,99441,local_mod210_control,99231,-210,111,99231,99219,6,13,12,7,5,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,99441,local_any_control,99440,-1,110,99440,99448,5,11,8,7,1,8.247686266262118e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,112461,complete_uncertified,112461,0,111,112461,112412,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,112461,local_mod210_control,112251,-210,111,112251,112318,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,112461,local_any_control,112460,-1,110,112460,112412,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,118761,complete_uncertified,118761,0,111,118761,118749,7,17,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,118761,local_mod210_control,118551,-210,111,118551,118588,5,11,37,12,25,3.8145548981462296e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,118761,local_any_control,118760,-1,110,118760,118749,7,17,11,12,-1,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,118971,complete_uncertified,118971,0,111,118971,119012,5,11,41,41,0,4.226939211459335e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,118971,local_any_control,118970,-1,110,118970,119012,5,11,42,41,1,4.3300352897876115e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,119391,complete_uncertified,119391,0,111,119391,119342,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,119391,local_mod210_control,119601,210,111,119601,119578,5,11,23,49,-26,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,119391,local_any_control,119390,-1,110,119390,119342,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,123591,complete_uncertified,123591,0,111,123591,123632,5,11,41,41,0,4.226939211459335e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,123591,local_mod210_control,123381,-210,111,123381,123302,5,11,79,41,38,8.144590187933842e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,123591,local_any_control,123590,-1,110,123590,123632,5,11,42,41,1,4.3300352897876115e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,131991,complete_uncertified,131991,0,111,131991,131979,6,13,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,131991,local_mod210_control,131781,-210,111,131781,131788,5,11,7,12,-5,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,131991,local_any_control,131990,-1,110,131990,131979,6,13,11,12,-1,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,135771,complete_uncertified,135771,0,111,135771,135748,5,11,23,23,0,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,135771,local_mod210_control,135981,210,111,135981,135998,6,13,17,23,-6,1.7526333315807e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,135771,local_any_control,135770,-1,110,135770,135748,5,11,22,23,-1,2.2681137232220826e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,143331,complete_uncertified,143331,0,111,143331,143338,5,11,7,7,0,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,143331,local_mod210_control,143121,-210,111,143121,143102,5,11,19,7,12,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,143331,local_any_control,143330,-1,110,143330,143338,5,11,8,7,1,8.247686266262118e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,157821,complete_uncertified,157821,0,111,157821,157791,7,17,30,30,0,3.092882349848294e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,157821,local_mod210_control,157611,-210,111,157611,157622,5,11,11,30,-19,1.1340568616110413e-06
