n,k_cert,p_cert,primorial_cert,residue_cert,checked_max_k,checked_max_prime,certificate_status,mod210,trivial_c4_certificate
227806,,,,,8,19,no_prefix_certificate_within_max_k,166,False
227818,5,11,2310,1438,8,19,prefix_certificate,178,False
227841,5,11,2310,1461,8,19,prefix_certificate,201,False
227848,4,7,210,208,8,19,prefix_certificate,208,True
227852,4,7,210,2,8,19,prefix_certificate,2,True
227878,,,,,8,19,no_prefix_certificate_within_max_k,28,False
227889,7,17,510510,227889,8,19,prefix_certificate,39,False
227912,5,11,2310,1532,8,19,prefix_certificate,62,False
227938,8,19,9699690,227938,8,19,prefix_certificate,88,False
228058,4,7,210,208,8,19,prefix_certificate,208,True
228062,4,7,210,2,8,19,prefix_certificate,2,True
228099,,,,,8,19,no_prefix_certificate_within_max_k,39,False
228118,,,,,8,19,no_prefix_certificate_within_max_k,58,False
228148,5,11,2310,1768,8,19,prefix_certificate,88,False
228242,5,11,2310,1862,8,19,prefix_certificate,182,False
228268,4,7,210,208,8,19,prefix_certificate,208,True
228272,4,7,210,2,8,19,prefix_certificate,2,True
228381,6,13,30030,18171,8,19,prefix_certificate,111,False
228478,4,7,210,208,8,19,prefix_certificate,208,True
228482,4,7,210,2,8,19,prefix_certificate,2,True
228518,8,19,9699690,228518,8,19,prefix_certificate,38,False
228572,5,11,2310,2192,8,19,prefix_certificate,92,False
228628,7,17,510510,228628,8,19,prefix_certificate,148,False
228688,4,7,210,208,8,19,prefix_certificate,208,True
228692,4,7,210,2,8,19,prefix_certificate,2,True
228808,5,11,2310,118,8,19,prefix_certificate,118,False
228842,7,17,510510,228842,8,19,prefix_certificate,152,False
228860,,,,,8,19,no_prefix_certificate_within_max_k,170,False
228898,4,7,210,208,8,19,prefix_certificate,208,True
228902,4,7,210,2,8,19,prefix_certificate,2,True
229108,4,7,210,208,8,19,prefix_certificate,208,True
229112,4,7,210,2,8,19,prefix_certificate,2,True
229138,5,11,2310,448,8,19,prefix_certificate,28,False
229161,6,13,30030,18951,8,19,prefix_certificate,51,False
229202,,,,,8,19,no_prefix_certificate_within_max_k,92,False
229232,5,11,2310,542,8,19,prefix_certificate,122,False
229318,4,7,210,208,8,19,prefix_certificate,208,True
229322,4,7,210,2,8,19,prefix_certificate,2,True
229324,8,19,9699690,229324,8,19,prefix_certificate,4,False
229419,7,17,510510,229419,8,19,prefix_certificate,99,False
229468,5,11,2310,778,8,19,prefix_certificate,148,False
229528,4,7,210,208,8,19,prefix_certificate,208,True
229532,4,7,210,2,8,19,prefix_certificate,2,True
229539,5,11,2310,849,8,19,prefix_certificate,9,False
229562,5,11,2310,872,8,19,prefix_certificate,32,False
229648,8,19,9699690,229648,8,19,prefix_certificate,118,False
229738,4,7,210,208,8,19,prefix_certificate,208,True
229742,4,7,210,2,8,19,prefix_certificate,2,True
229789,,,,,8,19,no_prefix_certificate_within_max_k,49,False
229798,5,11,2310,1108,8,19,prefix_certificate,58,False
229869,6,13,30030,19659,8,19,prefix_certificate,129,False
229888,,,,,8,19,no_prefix_certificate_within_max_k,148,False
229892,5,11,2310,1202,8,19,prefix_certificate,152,False
229948,4,7,210,208,8,19,prefix_certificate,208,True
229952,4,7,210,2,8,19,prefix_certificate,2,True
230128,5,11,2310,1438,8,19,prefix_certificate,178,False
230151,5,11,2310,1461,8,19,prefix_certificate,201,False
230158,4,7,210,208,8,19,prefix_certificate,208,True
230162,4,7,210,2,8,19,prefix_certificate,2,True
230222,5,11,2310,1532,8,19,prefix_certificate,62,False
230259,6,13,30030,20049,8,19,prefix_certificate,99,False
230271,,,,,8,19,no_prefix_certificate_within_max_k,111,False
230278,,,,,8,19,no_prefix_certificate_within_max_k,118,False
230368,4,7,210,208,8,19,prefix_certificate,208,True
230372,4,7,210,2,8,19,prefix_certificate,2,True
230439,,,,,8,19,no_prefix_certificate_within_max_k,69,False
230458,5,11,2310,1768,8,19,prefix_certificate,88,False
230552,5,11,2310,1862,8,19,prefix_certificate,182,False
230578,4,7,210,208,8,19,prefix_certificate,208,True
230582,4,7,210,2,8,19,prefix_certificate,2,True
230721,7,17,510510,230721,8,19,prefix_certificate,141,False
230788,4,7,210,208,8,19,prefix_certificate,208,True
230792,4,7,210,2,8,19,prefix_certificate,2,True
230882,5,11,2310,2192,8,19,prefix_certificate,92,False
230998,4,7,210,208,8,19,prefix_certificate,208,True
231002,4,7,210,2,8,19,prefix_certificate,2,True
231039,,,,,8,19,no_prefix_certificate_within_max_k,39,False
231111,6,13,30030,20901,8,19,prefix_certificate,111,False
231118,5,11,2310,118,8,19,prefix_certificate,118,False
231208,4,7,210,208,8,19,prefix_certificate,208,True
231212,4,7,210,2,8,19,prefix_certificate,2,True
231392,,,,,8,19,no_prefix_certificate_within_max_k,182,False
231418,4,7,210,208,8,19,prefix_certificate,208,True
231422,4,7,210,2,8,19,prefix_certificate,2,True
231448,5,11,2310,448,8,19,prefix_certificate,28,False
231471,,,,,8,19,no_prefix_certificate_within_max_k,51,False
231482,8,19,9699690,231482,8,19,prefix_certificate,62,False
231542,5,11,2310,542,8,19,prefix_certificate,122,False
231572,,,,,8,19,no_prefix_certificate_within_max_k,152,False
231628,4,7,210,208,8,19,prefix_certificate,208,True
231632,4,7,210,2,8,19,prefix_certificate,2,True
231662,,,,,8,19,no_prefix_certificate_within_max_k,32,False
231778,5,11,2310,778,8,19,prefix_certificate,148,False
231838,4,7,210,208,8,19,prefix_certificate,208,True
231842,4,7,210,2,8,19,prefix_certificate,2,True
231849,5,11,2310,849,8,19,prefix_certificate,9,False
231872,5,11,2310,872,8,19,prefix_certificate,32,False
232048,4,7,210,208,8,19,prefix_certificate,208,True
232052,4,7,210,2,8,19,prefix_certificate,2,True
232094,6,13,30030,21884,8,19,prefix_certificate,44,False
232108,5,11,2310,1108,8,19,prefix_certificate,58,False
232131,7,17,510510,232131,8,19,prefix_certificate,81,False
232202,5,11,2310,1202,8,19,prefix_certificate,152,False
232258,4,7,210,208,8,19,prefix_certificate,208,True
232262,4,7,210,2,8,19,prefix_certificate,2,True
232306,8,19,9699690,232306,8,19,prefix_certificate,46,False
232438,5,11,2310,1438,8,19,prefix_certificate,178,False
232461,5,11,2310,1461,8,19,prefix_certificate,201,False
232468,4,7,210,208,8,19,prefix_certificate,208,True
232472,4,7,210,2,8,19,prefix_certificate,2,True
232532,5,11,2310,1532,8,19,prefix_certificate,62,False
232552,8,19,9699690,232552,8,19,prefix_certificate,82,False
232570,,,,,8,19,no_prefix_certificate_within_max_k,100,False
232676,,,,,8,19,no_prefix_certificate_within_max_k,206,False
232678,4,7,210,208,8,19,prefix_certificate,208,True
232682,4,7,210,2,8,19,prefix_certificate,2,True
232708,,,,,8,19,no_prefix_certificate_within_max_k,28,False
232768,5,11,2310,1768,8,19,prefix_certificate,88,False
232862,5,11,2310,1862,8,19,prefix_certificate,182,False
232888,4,7,210,208,8,19,prefix_certificate,208,True
232892,4,7,210,2,8,19,prefix_certificate,2,True
232989,6,13,30030,22779,8,19,prefix_certificate,99,False
233042,,,,,8,19,no_prefix_certificate_within_max_k,152,False
233098,4,7,210,208,8,19,prefix_certificate,208,True
233102,4,7,210,2,8,19,prefix_certificate,2,True
233192,5,11,2310,2192,8,19,prefix_certificate,92,False
233241,,,,,8,19,no_prefix_certificate_within_max_k,141,False
233308,4,7,210,208,8,19,prefix_certificate,208,True
233312,4,7,210,2,8,19,prefix_certificate,2,True
233379,7,17,510510,233379,8,19,prefix_certificate,69,False
233398,,,,,8,19,no_prefix_certificate_within_max_k,88,False
233428,5,11,2310,118,8,19,prefix_certificate,118,False
233451,6,13,30030,23241,8,19,prefix_certificate,141,False
233499,7,17,510510,233499,8,19,prefix_certificate,189,False
233518,4,7,210,208,8,19,prefix_certificate,208,True
233522,4,7,210,2,8,19,prefix_certificate,2,True
233638,,,,,8,19,no_prefix_certificate_within_max_k,118,False
233728,4,7,210,208,8,19,prefix_certificate,208,True
233732,4,7,210,2,8,19,prefix_certificate,2,True
233758,5,11,2310,448,8,19,prefix_certificate,28,False
233781,,,,,8,19,no_prefix_certificate_within_max_k,51,False
233815,,,,,8,19,no_prefix_certificate_within_max_k,85,False
233822,,,,,8,19,no_prefix_certificate_within_max_k,92,False
233841,6,13,30030,23631,8,19,prefix_certificate,111,False
233852,5,11,2310,542,8,19,prefix_certificate,122,False
233938,4,7,210,208,8,19,prefix_certificate,208,True
233942,4,7,210,2,8,19,prefix_certificate,2,True
233944,6,13,30030,23734,8,19,prefix_certificate,4,False
234039,,,,,8,19,no_prefix_certificate_within_max_k,99,False
234088,5,11,2310,778,8,19,prefix_certificate,148,False
234148,4,7,210,208,8,19,prefix_certificate,208,True
234152,4,7,210,2,8,19,prefix_certificate,2,True
234159,5,11,2310,849,8,19,prefix_certificate,9,False
234171,,,,,8,19,no_prefix_certificate_within_max_k,21,False
234182,5,11,2310,872,8,19,prefix_certificate,32,False
234208,,,,,8,19,no_prefix_certificate_within_max_k,58,False
234238,,,,,8,19,no_prefix_certificate_within_max_k,88,False
234332,,,,,8,19,no_prefix_certificate_within_max_k,182,False
234358,4,7,210,208,8,19,prefix_certificate,208,True
234362,4,7,210,2,8,19,prefix_certificate,2,True
234418,5,11,2310,1108,8,19,prefix_certificate,58,False
234489,,,,,8,19,no_prefix_certificate_within_max_k,129,False
234512,5,11,2310,1202,8,19,prefix_certificate,152,False
234568,4,7,210,208,8,19,prefix_certificate,208,True
234572,4,7,210,2,8,19,prefix_certificate,2,True
234681,7,17,510510,234681,8,19,prefix_certificate,111,False
234736,,,,,8,19,no_prefix_certificate_within_max_k,166,False
234748,5,11,2310,1438,8,19,prefix_certificate,178,False
234771,5,11,2310,1461,8,19,prefix_certificate,201,False
234778,4,7,210,208,8,19,prefix_certificate,208,True
234782,4,7,210,2,8,19,prefix_certificate,2,True
234842,5,11,2310,1532,8,19,prefix_certificate,62,False
234988,4,7,210,208,8,19,prefix_certificate,208,True
234992,4,7,210,2,8,19,prefix_certificate,2,True
235078,5,11,2310,1768,8,19,prefix_certificate,88,False
235082,,,,,8,19,no_prefix_certificate_within_max_k,92,False
235101,,,,,8,19,no_prefix_certificate_within_max_k,111,False
235172,5,11,2310,1862,8,19,prefix_certificate,182,False
235198,4,7,210,208,8,19,prefix_certificate,208,True
235202,4,7,210,2,8,19,prefix_certificate,2,True
235258,7,17,510510,235258,8,19,prefix_certificate,58,False
235311,,,,,8,19,no_prefix_certificate_within_max_k,111,False
235348,8,19,9699690,235348,8,19,prefix_certificate,148,False
235401,,,,,8,19,no_prefix_certificate_within_max_k,201,False
235408,4,7,210,208,8,19,prefix_certificate,208,True
235412,4,7,210,2,8,19,prefix_certificate,2,True
235472,7,17,510510,235472,8,19,prefix_certificate,62,False
235502,5,11,2310,2192,8,19,prefix_certificate,92,False
235618,4,7,210,208,8,19,prefix_certificate,208,True
235622,4,7,210,2,8,19,prefix_certificate,2,True
235701,,,,,8,19,no_prefix_certificate_within_max_k,81,False
235719,6,13,30030,25509,8,19,prefix_certificate,99,False
235738,5,11,2310,118,8,19,prefix_certificate,118,False
235828,4,7,210,208,8,19,prefix_certificate,208,True
235832,4,7,210,2,8,19,prefix_certificate,2,True
235881,,,,,8,19,no_prefix_certificate_within_max_k,51,False
236038,4,7,210,208,8,19,prefix_certificate,208,True
236042,4,7,210,2,8,19,prefix_certificate,2,True
236068,5,11,2310,448,8,19,prefix_certificate,28,False
236139,,,,,8,19,no_prefix_certificate_within_max_k,99,False
236162,5,11,2310,542,8,19,prefix_certificate,122,False
236248,4,7,210,208,8,19,prefix_certificate,208,True
236252,4,7,210,2,8,19,prefix_certificate,2,True
236254,,,,,8,19,no_prefix_certificate_within_max_k,4,False
236374,6,13,30030,26164,8,19,prefix_certificate,124,False
236398,5,11,2310,778,8,19,prefix_certificate,148,False
236421,,,,,8,19,no_prefix_certificate_within_max_k,171,False
236458,4,7,210,208,8,19,prefix_certificate,208,True
236462,4,7,210,2,8,19,prefix_certificate,2,True
236469,5,11,2310,849,8,19,prefix_certificate,9,False
236492,5,11,2310,872,8,19,prefix_certificate,32,False
236559,7,17,510510,236559,8,19,prefix_certificate,99,False
236571,6,13,30030,26361,8,19,prefix_certificate,111,False
236612,,,,,8,19,no_prefix_certificate_within_max_k,152,False
236668,4,7,210,208,8,19,prefix_certificate,208,True
236672,4,7,210,2,8,19,prefix_certificate,2,True
236674,,,,,8,19,no_prefix_certificate_within_max_k,4,False
236728,5,11,2310,1108,8,19,prefix_certificate,58,False
236822,5,11,2310,1202,8,19,prefix_certificate,152,False
236878,4,7,210,208,8,19,prefix_certificate,208,True
236882,4,7,210,2,8,19,prefix_certificate,2,True
236908,,,,,8,19,no_prefix_certificate_within_max_k,28,False
237058,5,11,2310,1438,8,19,prefix_certificate,178,False
237081,5,11,2310,1461,8,19,prefix_certificate,201,False
237088,4,7,210,208,8,19,prefix_certificate,208,True
237092,4,7,210,2,8,19,prefix_certificate,2,True
237152,5,11,2310,1532,8,19,prefix_certificate,62,False
237254,,,,,8,19,no_prefix_certificate_within_max_k,164,False
237298,4,7,210,208,8,19,prefix_certificate,208,True
237302,4,7,210,2,8,19,prefix_certificate,2,True
237351,7,17,510510,237351,8,19,prefix_certificate,51,False
237388,5,11,2310,1768,8,19,prefix_certificate,88,False
237459,,,,,8,19,no_prefix_certificate_within_max_k,159,False
237478,,,,,8,19,no_prefix_certificate_within_max_k,178,False
237482,5,11,2310,1862,8,19,prefix_certificate,182,False
237506,,,,,8,19,no_prefix_certificate_within_max_k,206,False
237508,4,7,210,208,8,19,prefix_certificate,208,True
237512,4,7,210,2,8,19,prefix_certificate,2,True
237718,4,7,210,208,8,19,prefix_certificate,208,True
237722,4,7,210,2,8,19,prefix_certificate,2,True
237741,6,13,30030,27531,8,19,prefix_certificate,21,False
237808,,,,,8,19,no_prefix_certificate_within_max_k,88,False
237812,5,11,2310,2192,8,19,prefix_certificate,92,False
237861,,,,,8,19,no_prefix_certificate_within_max_k,141,False
237872,,,,,8,19,no_prefix_certificate_within_max_k,152,False
237928,4,7,210,208,8,19,prefix_certificate,208,True
237932,4,7,210,2,8,19,prefix_certificate,2,True
238048,5,11,2310,118,8,19,prefix_certificate,118,False
238100,6,13,30030,27890,8,19,prefix_certificate,170,False
238138,4,7,210,208,8,19,prefix_certificate,208,True
238142,4,7,210,2,8,19,prefix_certificate,2,True
238198,,,,,8,19,no_prefix_certificate_within_max_k,58,False
238251,7,17,510510,238251,8,19,prefix_certificate,111,False
238312,,,,,8,19,no_prefix_certificate_within_max_k,172,False
238346,7,17,510510,238346,8,19,prefix_certificate,206,False
238348,4,7,210,208,8,19,prefix_certificate,208,True
238352,4,7,210,2,8,19,prefix_certificate,2,True
238378,5,11,2310,448,8,19,prefix_certificate,28,False
238449,6,13,30030,28239,8,19,prefix_certificate,99,False
238472,5,11,2310,542,8,19,prefix_certificate,122,False
238532,,,,,8,19,no_prefix_certificate_within_max_k,182,False
238558,4,7,210,208,8,19,prefix_certificate,208,True
238562,4,7,210,2,8,19,prefix_certificate,2,True
238708,5,11,2310,778,8,19,prefix_certificate,148,False
238768,4,7,210,208,8,19,prefix_certificate,208,True
238772,4,7,210,2,8,19,prefix_certificate,2,True
238779,5,11,2310,849,8,19,prefix_certificate,9,False
238802,5,11,2310,872,8,19,prefix_certificate,32,False
238892,8,19,9699690,238892,8,19,prefix_certificate,122,False
238978,4,7,210,208,8,19,prefix_certificate,208,True
238982,4,7,210,2,8,19,prefix_certificate,2,True
239038,5,11,2310,1108,8,19,prefix_certificate,58,False
239109,7,17,510510,239109,8,19,prefix_certificate,129,False
239132,5,11,2310,1202,8,19,prefix_certificate,152,False
239188,4,7,210,208,8,19,prefix_certificate,208,True
239192,4,7,210,2,8,19,prefix_certificate,2,True
239301,6,13,30030,29091,8,19,prefix_certificate,111,False
239338,8,19,9699690,239338,8,19,prefix_certificate,148,False
239368,5,11,2310,1438,8,19,prefix_certificate,178,False
239391,5,11,2310,1461,8,19,prefix_certificate,201,False
239398,4,7,210,208,8,19,prefix_certificate,208,True
239402,4,7,210,2,8,19,prefix_certificate,2,True
239432,,,,,8,19,no_prefix_certificate_within_max_k,32,False
239462,5,11,2310,1532,8,19,prefix_certificate,62,False
239608,4,7,210,208,8,19,prefix_certificate,208,True
239612,4,7,210,2,8,19,prefix_certificate,2,True
239698,5,11,2310,1768,8,19,prefix_certificate,88,False
239792,5,11,2310,1862,8,19,prefix_certificate,182,False
239818,4,7,210,208,8,19,prefix_certificate,208,True
239822,4,7,210,2,8,19,prefix_certificate,2,True
240009,7,17,510510,240009,8,19,prefix_certificate,189,False
240028,4,7,210,208,8,19,prefix_certificate,208,True
240032,4,7,210,2,8,19,prefix_certificate,2,True
240122,5,11,2310,2192,8,19,prefix_certificate,92,False
240129,7,17,510510,240129,8,19,prefix_certificate,99,False
240238,4,7,210,208,8,19,prefix_certificate,208,True
240242,4,7,210,2,8,19,prefix_certificate,2,True
240358,5,11,2310,118,8,19,prefix_certificate,118,False
240448,4,7,210,208,8,19,prefix_certificate,208,True
240452,4,7,210,2,8,19,prefix_certificate,2,True
240602,,,,,8,19,no_prefix_certificate_within_max_k,152,False
240658,4,7,210,208,8,19,prefix_certificate,208,True
240662,4,7,210,2,8,19,prefix_certificate,2,True
240688,5,11,2310,448,8,19,prefix_certificate,28,False
240782,5,11,2310,542,8,19,prefix_certificate,122,False
240789,,,,,8,19,no_prefix_certificate_within_max_k,129,False
240868,4,7,210,208,8,19,prefix_certificate,208,True
240872,4,7,210,2,8,19,prefix_certificate,2,True
240969,,,,,8,19,no_prefix_certificate_within_max_k,99,False
241018,5,11,2310,778,8,19,prefix_certificate,148,False
241041,,,,,8,19,no_prefix_certificate_within_max_k,171,False
241078,4,7,210,208,8,19,prefix_certificate,208,True
241082,4,7,210,2,8,19,prefix_certificate,2,True
241089,5,11,2310,849,8,19,prefix_certificate,9,False
241112,5,11,2310,872,8,19,prefix_certificate,32,False
241179,6,13,30030,939,8,19,prefix_certificate,99,False
241288,4,7,210,208,8,19,prefix_certificate,208,True
241292,4,7,210,2,8,19,prefix_certificate,2,True
241348,5,11,2310,1108,8,19,prefix_certificate,58,False
241442,5,11,2310,1202,8,19,prefix_certificate,152,False
241498,4,7,210,208,8,19,prefix_certificate,208,True
241502,4,7,210,2,8,19,prefix_certificate,2,True
241592,,,,,8,19,no_prefix_certificate_within_max_k,92,False
241622,,,,,8,19,no_prefix_certificate_within_max_k,122,False
241678,5,11,2310,1438,8,19,prefix_certificate,178,False
241701,5,11,2310,1461,8,19,prefix_certificate,201,False
241708,4,7,210,208,8,19,prefix_certificate,208,True
241712,4,7,210,2,8,19,prefix_certificate,2,True
241772,5,11,2310,1532,8,19,prefix_certificate,62,False
241821,7,17,510510,241821,8,19,prefix_certificate,111,False
241888,7,17,510510,241888,8,19,prefix_certificate,178,False
241918,4,7,210,208,8,19,prefix_certificate,208,True
241922,4,7,210,2,8,19,prefix_certificate,2,True
241978,,,,,8,19,no_prefix_certificate_within_max_k,58,False
242008,5,11,2310,1768,8,19,prefix_certificate,88,False
242012,,,,,8,19,no_prefix_certificate_within_max_k,92,False
242031,6,13,30030,1791,8,19,prefix_certificate,111,False
242102,5,11,2310,1862,8,19,prefix_certificate,182,False
242128,4,7,210,208,8,19,prefix_certificate,208,True
242132,4,7,210,2,8,19,prefix_certificate,2,True
242312,,,,,8,19,no_prefix_certificate_within_max_k,182,False
242338,4,7,210,208,8,19,prefix_certificate,208,True
242342,4,7,210,2,8,19,prefix_certificate,2,True
242368,,,,,8,19,no_prefix_certificate_within_max_k,28,False
242380,6,13,30030,2140,8,19,prefix_certificate,40,False
242432,5,11,2310,2192,8,19,prefix_certificate,92,False
242548,4,7,210,208,8,19,prefix_certificate,208,True
242552,4,7,210,2,8,19,prefix_certificate,2,True
242630,,,,,8,19,no_prefix_certificate_within_max_k,80,False
242668,5,11,2310,118,8,19,prefix_certificate,118,False
242739,6,13,30030,2499,8,19,prefix_certificate,189,False
242758,4,7,210,208,8,19,prefix_certificate,208,True
242762,4,7,210,2,8,19,prefix_certificate,2,True
242908,,,,,8,19,no_prefix_certificate_within_max_k,148,False
242912,,,,,8,19,no_prefix_certificate_within_max_k,152,False
242968,4,7,210,208,8,19,prefix_certificate,208,True
242972,4,7,210,2,8,19,prefix_certificate,2,True
242998,5,11,2310,448,8,19,prefix_certificate,28,False
243092,5,11,2310,542,8,19,prefix_certificate,122,False
243178,4,7,210,208,8,19,prefix_certificate,208,True
243182,4,7,210,2,8,19,prefix_certificate,2,True
243328,5,11,2310,778,8,19,prefix_certificate,148,False
243351,7,17,510510,243351,8,19,prefix_certificate,171,False
243388,4,7,210,208,8,19,prefix_certificate,208,True
243392,4,7,210,2,8,19,prefix_certificate,2,True
243399,5,11,2310,849,8,19,prefix_certificate,9,False
243418,,,,,8,19,no_prefix_certificate_within_max_k,28,False
243422,5,11,2310,872,8,19,prefix_certificate,32,False
243452,,,,,8,19,no_prefix_certificate_within_max_k,62,False
243538,,,,,8,19,no_prefix_certificate_within_max_k,148,False
243598,4,7,210,208,8,19,prefix_certificate,208,True
243602,4,7,210,2,8,19,prefix_certificate,2,True
243658,5,11,2310,1108,8,19,prefix_certificate,58,False
243681,,,,,8,19,no_prefix_certificate_within_max_k,81,False
243692,,,,,8,19,no_prefix_certificate_within_max_k,92,False
243699,7,17,510510,243699,8,19,prefix_certificate,99,False
243752,5,11,2310,1202,8,19,prefix_certificate,152,False
243806,,,,,8,19,no_prefix_certificate_within_max_k,206,False
243808,4,7,210,208,8,19,prefix_certificate,208,True
243812,4,7,210,2,8,19,prefix_certificate,2,True
243909,6,13,30030,3669,8,19,prefix_certificate,99,False
243928,,,,,8,19,no_prefix_certificate_within_max_k,118,False
243981,7,17,510510,243981,8,19,prefix_certificate,171,False
243988,5,11,2310,1438,8,19,prefix_certificate,178,False
244011,5,11,2310,1461,8,19,prefix_certificate,201,False
244018,4,7,210,208,8,19,prefix_certificate,208,True
244022,4,7,210,2,8,19,prefix_certificate,2,True
244059,,,,,8,19,no_prefix_certificate_within_max_k,39,False
244082,5,11,2310,1532,8,19,prefix_certificate,62,False
244106,6,13,30030,3866,8,19,prefix_certificate,86,False
244228,4,7,210,208,8,19,prefix_certificate,208,True
244232,4,7,210,2,8,19,prefix_certificate,2,True
244285,,,,,8,19,no_prefix_certificate_within_max_k,55,False
244318,5,11,2310,1768,8,19,prefix_certificate,88,False
244371,,,,,8,19,no_prefix_certificate_within_max_k,141,False
244412,5,11,2310,1862,8,19,prefix_certificate,182,False
244438,4,7,210,208,8,19,prefix_certificate,208,True
244442,4,7,210,2,8,19,prefix_certificate,2,True
244568,,,,,8,19,no_prefix_certificate_within_max_k,128,False
244648,4,7,210,208,8,19,prefix_certificate,208,True
244652,4,7,210,2,8,19,prefix_certificate,2,True
244719,7,17,510510,244719,8,19,prefix_certificate,69,False
244742,5,11,2310,2192,8,19,prefix_certificate,92,False
244761,6,13,30030,4521,8,19,prefix_certificate,111,False
244858,4,7,210,208,8,19,prefix_certificate,208,True
244862,4,7,210,2,8,19,prefix_certificate,2,True
244978,5,11,2310,118,8,19,prefix_certificate,118,False
245068,4,7,210,208,8,19,prefix_certificate,208,True
245072,4,7,210,2,8,19,prefix_certificate,2,True
245128,,,,,8,19,no_prefix_certificate_within_max_k,58,False
245162,8,19,9699690,245162,8,19,prefix_certificate,92,False
245229,,,,,8,19,no_prefix_certificate_within_max_k,159,False
245278,4,7,210,208,8,19,prefix_certificate,208,True
245282,4,7,210,2,8,19,prefix_certificate,2,True
245308,5,11,2310,448,8,19,prefix_certificate,28,False
245391,7,17,510510,245391,8,19,prefix_certificate,111,False
245402,5,11,2310,542,8,19,prefix_certificate,122,False
245451,,,,,8,19,no_prefix_certificate_within_max_k,171,False
245486,8,19,9699690,245486,8,19,prefix_certificate,206,False
245488,4,7,210,208,8,19,prefix_certificate,208,True
245492,4,7,210,2,8,19,prefix_certificate,2,True
245589,,,,,8,19,no_prefix_certificate_within_max_k,99,False
245608,,,,,8,19,no_prefix_certificate_within_max_k,118,False
245638,5,11,2310,778,8,19,prefix_certificate,148,False
245698,4,7,210,208,8,19,prefix_certificate,208,True
245702,4,7,210,2,8,19,prefix_certificate,2,True
245709,5,11,2310,849,8,19,prefix_certificate,9,False
245732,5,11,2310,872,8,19,prefix_certificate,32,False
245908,4,7,210,208,8,19,prefix_certificate,208,True
245912,4,7,210,2,8,19,prefix_certificate,2,True
245956,,,,,8,19,no_prefix_certificate_within_max_k,46,False
245968,5,11,2310,1108,8,19,prefix_certificate,58,False
246062,5,11,2310,1202,8,19,prefix_certificate,152,False
246118,4,7,210,208,8,19,prefix_certificate,208,True
246122,4,7,210,2,8,19,prefix_certificate,2,True
246129,,,,,8,19,no_prefix_certificate_within_max_k,9,False
246178,,,,,8,19,no_prefix_certificate_within_max_k,58,False
246298,5,11,2310,1438,8,19,prefix_certificate,178,False
246302,8,19,9699690,246302,8,19,prefix_certificate,182,False
246321,5,11,2310,1461,8,19,prefix_certificate,201,False
246328,4,7,210,208,8,19,prefix_certificate,208,True
246332,4,7,210,2,8,19,prefix_certificate,2,True
246339,8,19,9699690,246339,8,19,prefix_certificate,9,False
246392,5,11,2310,1532,8,19,prefix_certificate,62,False
246536,6,13,30030,6296,8,19,prefix_certificate,206,False
246538,4,7,210,208,8,19,prefix_certificate,208,True
246542,4,7,210,2,8,19,prefix_certificate,2,True
246628,5,11,2310,1768,8,19,prefix_certificate,88,False
246633,7,17,510510,246633,8,19,prefix_certificate,93,False
246639,6,13,30030,6399,8,19,prefix_certificate,99,False
246722,5,11,2310,1862,8,19,prefix_certificate,182,False
246748,4,7,210,208,8,19,prefix_certificate,208,True
246752,4,7,210,2,8,19,prefix_certificate,2,True
246909,,,,,8,19,no_prefix_certificate_within_max_k,159,False
246958,4,7,210,208,8,19,prefix_certificate,208,True
246962,4,7,210,2,8,19,prefix_certificate,2,True
247029,6,13,30030,6789,8,19,prefix_certificate,69,False
247052,5,11,2310,2192,8,19,prefix_certificate,92,False
247082,,,,,8,19,no_prefix_certificate_within_max_k,122,False
247168,4,7,210,208,8,19,prefix_certificate,208,True
247172,4,7,210,2,8,19,prefix_certificate,2,True
247174,,,,,8,19,no_prefix_certificate_within_max_k,4,False
247202,,,,,8,19,no_prefix_certificate_within_max_k,32,False
247269,7,17,510510,247269,8,19,prefix_certificate,99,False
247288,5,11,2310,118,8,19,prefix_certificate,118,False
247378,4,7,210,208,8,19,prefix_certificate,208,True
247382,4,7,210,2,8,19,prefix_certificate,2,True
247491,6,13,30030,7251,8,19,prefix_certificate,111,False
247588,4,7,210,208,8,19,prefix_certificate,208,True
247592,4,7,210,2,8,19,prefix_certificate,2,True
247618,5,11,2310,448,8,19,prefix_certificate,28,False
247712,5,11,2310,542,8,19,prefix_certificate,122,False
247798,4,7,210,208,8,19,prefix_certificate,208,True
247802,4,7,210,2,8,19,prefix_certificate,2,True
247804,7,17,510510,247804,8,19,prefix_certificate,4,False
247899,,,,,8,19,no_prefix_certificate_within_max_k,99,False
247948,5,11,2310,778,8,19,prefix_certificate,148,False
248008,4,7,210,208,8,19,prefix_certificate,208,True
248012,4,7,210,2,8,19,prefix_certificate,2,True
248019,5,11,2310,849,8,19,prefix_certificate,9,False
248042,5,11,2310,872,8,19,prefix_certificate,32,False
248102,,,,,8,19,no_prefix_certificate_within_max_k,92,False
248218,4,7,210,208,8,19,prefix_certificate,208,True
248222,4,7,210,2,8,19,prefix_certificate,2,True
248278,5,11,2310,1108,8,19,prefix_certificate,58,False
248372,5,11,2310,1202,8,19,prefix_certificate,152,False
248386,6,13,30030,8146,8,19,prefix_certificate,166,False
248428,4,7,210,208,8,19,prefix_certificate,208,True
248432,4,7,210,2,8,19,prefix_certificate,2,True
