n,k_cert,p_cert,primorial_cert,residue_cert,checked_max_k,checked_max_prime,certificate_status,mod210,trivial_c4_certificate
4502,5,11,2310,2192,8,19,prefix_certificate,92,False
4509,7,17,510510,4509,8,19,prefix_certificate,99,False
4521,6,13,30030,4521,8,19,prefix_certificate,111,False
4618,4,7,210,208,8,19,prefix_certificate,208,True
4622,4,7,210,2,8,19,prefix_certificate,2,True
4738,5,11,2310,118,8,19,prefix_certificate,118,False
4773,,,,,8,19,no_prefix_certificate_within_max_k,153,False
4828,4,7,210,208,8,19,prefix_certificate,208,True
4832,4,7,210,2,8,19,prefix_certificate,2,True
4885,,,,,8,19,no_prefix_certificate_within_max_k,55,False
5038,4,7,210,208,8,19,prefix_certificate,208,True
5042,4,7,210,2,8,19,prefix_certificate,2,True
5068,5,11,2310,448,8,19,prefix_certificate,28,False
5162,5,11,2310,542,8,19,prefix_certificate,122,False
5223,7,17,510510,5223,8,19,prefix_certificate,183,False
5248,4,7,210,208,8,19,prefix_certificate,208,True
5252,4,7,210,2,8,19,prefix_certificate,2,True
5301,7,17,510510,5301,8,19,prefix_certificate,51,False
5342,,,,,8,19,no_prefix_certificate_within_max_k,92,False
5372,,,,,8,19,no_prefix_certificate_within_max_k,122,False
5398,5,11,2310,778,8,19,prefix_certificate,148,False
5402,,,,,8,19,no_prefix_certificate_within_max_k,152,False
5458,4,7,210,208,8,19,prefix_certificate,208,True
5462,4,7,210,2,8,19,prefix_certificate,2,True
5469,5,11,2310,849,8,19,prefix_certificate,9,False
5492,5,11,2310,872,8,19,prefix_certificate,32,False
5559,,,,,8,19,no_prefix_certificate_within_max_k,99,False
5638,8,19,9699690,5638,8,19,prefix_certificate,178,False
5668,4,7,210,208,8,19,prefix_certificate,208,True
5672,4,7,210,2,8,19,prefix_certificate,2,True
5728,5,11,2310,1108,8,19,prefix_certificate,58,False
5758,,,,,8,19,no_prefix_certificate_within_max_k,88,False
5822,5,11,2310,1202,8,19,prefix_certificate,152,False
5878,4,7,210,208,8,19,prefix_certificate,208,True
5882,4,7,210,2,8,19,prefix_certificate,2,True
6058,5,11,2310,1438,8,19,prefix_certificate,178,False
6081,5,11,2310,1461,8,19,prefix_certificate,201,False
6088,4,7,210,208,8,19,prefix_certificate,208,True
6092,4,7,210,2,8,19,prefix_certificate,2,True
6130,8,19,9699690,6130,8,19,prefix_certificate,40,False
6152,5,11,2310,1532,8,19,prefix_certificate,62,False
6201,7,17,510510,6201,8,19,prefix_certificate,111,False
6296,6,13,30030,6296,8,19,prefix_certificate,206,False
6298,4,7,210,208,8,19,prefix_certificate,208,True
