n,prime_count,hist_l1,ks_distance,branch_l1_k1_20,branch_max_k1_20,fourier_mean_m1_20,fourier_max_m1_20,fourier_max_mode_m1_20
1000,168,0.5417168581107833,0.038361337315440225,0.1562435500515996,0.06547619047619047,0.044529447046102955,0.10855611392472084,13
10000,1229,0.19154440500163636,0.024087152257575295,0.07589134893104746,0.044344995931651754,0.018046974681413256,0.04274396357127069,16
100000,9592,0.05478457632992425,0.013138226843602774,0.05828766035188053,0.035133444537114256,0.006163357186799641,0.013958490104924295,1
1000000,78498,0.02188658457957242,0.008702522431238424,0.04876557364518846,0.02915997859818087,0.0027410305277385167,0.010459191175421408,1
