seed_n,control_role,metric,complete_n,control_n,complete_value,control_value,delta_complete_minus_control
2312,local_mod6_control,residual_top_gap_share,2312,2306,0.10990785276061438,0.08769174851937625,0.022216104241238127
2312,local_mod6_control,residual_gap_max,2312,2306,0.011624154796881392,0.012732666955121874,-0.0011085121582404822
2312,local_mod6_control,residual_gap_p90,2312,2306,0.0049729195230889395,0.006584844757841959,-0.0016119252347530193
2312,local_mod6_control,residual_gap_entropy,2312,2306,0.900129711494147,0.9002669984521702,-0.00013728695802317503
2312,local_mod6_control,residual_gap_count,2312,2306,41.0,48.0,-7.0
2312,local_mod6_control,residual_uncovered_measure,2312,2306,0.1057627321880218,0.14519800517272707,-0.03943527298470527
2312,band_mod6_control,residual_top_gap_share,2312,2372,0.10990785276061438,0.08409670225517137,0.025811150505443012
2312,band_mod6_control,residual_gap_max,2312,2372,0.011624154796881392,0.012783690701967498,-0.0011595359050861065
2312,band_mod6_control,residual_gap_p90,2312,2372,0.0049729195230889395,0.006021580277079774,-0.001048660753990835
2312,band_mod6_control,residual_gap_entropy,2312,2372,0.900129711494147,0.8925730412463179,0.007556670247829134
2312,band_mod6_control,residual_gap_count,2312,2372,41.0,68.0,-27.0
2312,band_mod6_control,residual_uncovered_measure,2312,2372,0.1057627321880218,0.15201179545873797,-0.046249063270716165
2312,band_ordinary_control,residual_top_gap_share,2312,2371,0.10990785276061438,0.08090223116672522,0.029005621593889155
2312,band_ordinary_control,residual_gap_max,2312,2371,0.011624154796881392,0.01193424809611321,-0.0003100932992318173
2312,band_ordinary_control,residual_gap_p90,2312,2371,0.0049729195230889395,0.006869771489387055,-0.001896851966298116
2312,band_ordinary_control,residual_gap_entropy,2312,2371,0.900129711494147,0.8888766829463598,0.011253028547787203
2312,band_ordinary_control,residual_gap_count,2312,2371,41.0,53.0,-12.0
2312,band_ordinary_control,residual_uncovered_measure,2312,2371,0.1057627321880218,0.1475144495275888,-0.04175171733956699
2342,local_mod6_control,residual_top_gap_share,2342,2336,0.109535188599062,0.0780986070984002,0.031436581500661795
2342,local_mod6_control,residual_gap_max,2342,2336,0.010636514262900215,0.008597203288651878,0.0020393109742483373
2342,local_mod6_control,residual_gap_p90,2342,2336,0.005017559528519233,0.0054385529166916455,-0.00042099338817241233
2342,local_mod6_control,residual_gap_entropy,2342,2336,0.874764092571375,0.9178385008225484,-0.04307440825117337
2342,local_mod6_control,residual_gap_count,2342,2336,41.0,50.0,-9.0
2342,local_mod6_control,residual_uncovered_measure,2342,2336,0.09710591088525593,0.11008139079637934,-0.012975479911123411
2342,band_mod6_control,residual_top_gap_share,2342,2372,0.109535188599062,0.08409670225517137,0.025438486343890634
2342,band_mod6_control,residual_gap_max,2342,2372,0.010636514262900215,0.012783690701967498,-0.002147176439067283
2342,band_mod6_control,residual_gap_p90,2342,2372,0.005017559528519233,0.006021580277079774,-0.0010040207485605412
2342,band_mod6_control,residual_gap_entropy,2342,2372,0.874764092571375,0.8925730412463179,-0.01780894867494287
2342,band_mod6_control,residual_gap_count,2342,2372,41.0,68.0,-27.0
2342,band_mod6_control,residual_uncovered_measure,2342,2372,0.09710591088525593,0.15201179545873797,-0.05490588457348204
2342,band_ordinary_control,residual_top_gap_share,2342,2371,0.109535188599062,0.08090223116672522,0.028632957432336778
2342,band_ordinary_control,residual_gap_max,2342,2371,0.010636514262900215,0.01193424809611321,-0.001297733833212994
2342,band_ordinary_control,residual_gap_p90,2342,2371,0.005017559528519233,0.006869771489387055,-0.0018522119608678222
2342,band_ordinary_control,residual_gap_entropy,2342,2371,0.874764092571375,0.8888766829463598,-0.014112590374984801
2342,band_ordinary_control,residual_gap_count,2342,2371,41.0,53.0,-12.0
2342,band_ordinary_control,residual_uncovered_measure,2342,2371,0.09710591088525593,0.1475144495275888,-0.05040853864233287
2428,local_mod6_control,residual_top_gap_share,2428,2422,0.06970865927871288,0.06990881592602328,-0.0002001566473104066
2428,local_mod6_control,residual_gap_max,2428,2422,0.008756543273439332,0.016520550088862218,-0.007764006815422886
2428,local_mod6_control,residual_gap_p90,2428,2422,0.004842001019735406,0.007046941986551203,-0.0022049409668157965
2428,local_mod6_control,residual_gap_entropy,2428,2422,0.9180748687674163,0.913772478123969,0.004302390643447285
2428,local_mod6_control,residual_gap_count,2428,2422,54.0,68.0,-14.0
2428,local_mod6_control,residual_uncovered_measure,2428,2422,0.1256162916349955,0.23631569023203133,-0.11069939859703584
2428,band_mod6_control,residual_top_gap_share,2428,2368,0.06970865927871288,0.07401553322181424,-0.004306873943101364
2428,band_mod6_control,residual_gap_max,2428,2368,0.008756543273439332,0.012704574205027463,-0.003948030931588131
2428,band_mod6_control,residual_gap_p90,2428,2368,0.004842001019735406,0.006868666201142237,-0.002026665181406831
2428,band_mod6_control,residual_gap_entropy,2428,2368,0.9180748687674163,0.9266125422225207,-0.008537673455104366
2428,band_mod6_control,residual_gap_count,2428,2368,54.0,56.0,-2.0
2428,band_mod6_control,residual_uncovered_measure,2428,2368,0.1256162916349955,0.17164740497043537,-0.04603111333543988
2428,band_ordinary_control,residual_top_gap_share,2428,2371,0.06970865927871288,0.08090223116672522,-0.011193571888012344
2428,band_ordinary_control,residual_gap_max,2428,2371,0.008756543273439332,0.01193424809611321,-0.003177704822673877
2428,band_ordinary_control,residual_gap_p90,2428,2371,0.004842001019735406,0.006869771489387055,-0.002027770469651649
2428,band_ordinary_control,residual_gap_entropy,2428,2371,0.9180748687674163,0.8888766829463598,0.029198185821056488
2428,band_ordinary_control,residual_gap_count,2428,2371,54.0,53.0,1.0
2428,band_ordinary_control,residual_uncovered_measure,2428,2371,0.1256162916349955,0.1475144495275888,-0.021898157892593306
4172,local_mod6_control,residual_top_gap_share,4172,4166,0.03876061502211847,0.042314594008832404,-0.003553978986713932
4172,local_mod6_control,residual_gap_max,4172,4166,0.008754087782281594,0.009270979327974826,-0.0005168915456932321
4172,local_mod6_control,residual_gap_p90,4172,4166,0.003947143185496826,0.00415255071252163,-0.00020540752702480347
4172,local_mod6_control,residual_gap_entropy,4172,4166,0.9124431924517524,0.9226535044094077,-0.010210311957655316
