n,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
150542,8,19,9699690,150542,182,392,150568,4,7,26,2.680498036535188e-06
150718,8,19,9699690,150718,148,568,150692,5,11,26,2.680498036535188e-06
150812,8,19,9699690,150812,32,662,150782,4,7,30,3.092882349848294e-06
150951,8,19,9699690,150951,171,801,150928,5,11,23,2.371209801550359e-06
151329,8,19,9699690,151329,129,1179,151352,5,11,23,2.371209801550359e-06
151744,8,19,9699690,151744,124,1594,151682,5,11,62,6.391956856353141e-06
151857,8,19,9699690,151857,27,1707,151832,4,7,25,2.5774019582069117e-06
151929,8,19,9699690,151929,99,1779,151918,5,11,11,1.1340568616110413e-06
152044,8,19,9699690,152044,4,1894,152042,4,7,2,2.0619215665655295e-07
152312,8,19,9699690,152312,62,2162,152290,6,13,22,2.2681137232220826e-06
153251,8,19,9699690,153251,161,791,153238,5,11,13,1.340249018267594e-06
153268,8,19,9699690,153268,178,808,153238,5,11,30,3.092882349848294e-06
153716,8,19,9699690,153716,206,1256,153718,4,7,2,2.0619215665655295e-07
154172,8,19,9699690,154172,32,1712,154142,4,7,30,3.092882349848294e-06
154299,8,19,9699690,154299,159,1839,154322,5,11,23,2.371209801550359e-06
154382,8,19,9699690,154382,32,1922,154352,4,7,30,3.092882349848294e-06
154618,8,19,9699690,154618,58,2158,154652,5,11,34,3.5052666631614e-06
154690,8,19,9699690,154690,130,2230,154671,6,13,19,1.958825488237253e-06
154911,8,19,9699690,154911,141,141,154888,5,11,23,2.371209801550359e-06
155102,8,19,9699690,155102,122,332,155188,4,7,86,8.866262736231776e-06
155404,8,19,9699690,155404,4,634,155402,4,7,2,2.0619215665655295e-07
155841,8,19,9699690,155841,21,1071,155822,4,7,19,1.958825488237253e-06
156076,8,19,9699690,156076,46,1306,156032,4,7,44,4.536227446444165e-06
156992,8,19,9699690,156992,122,2222,156962,5,11,30,3.092882349848294e-06
157348,8,19,9699690,157348,58,268,157382,8,19,34,3.5052666631614e-06
157419,8,19,9699690,157419,129,339,157401,6,13,18,1.8557294099089764e-06
157706,8,19,9699690,157706,206,626,157708,4,7,2,2.0619215665655295e-07
157714,8,19,9699690,157714,4,634,157712,4,7,2,2.0619215665655295e-07
157821,8,19,9699690,157821,111,741,157791,7,17,30,3.092882349848294e-06
157924,8,19,9699690,157924,4,844,157922,4,7,2,2.0619215665655295e-07
158174,8,19,9699690,158174,44,1094,158188,5,11,14,1.4433450965958706e-06
158199,8,19,9699690,158199,69,1119,158188,5,11,11,1.1340568616110413e-06
158252,8,19,9699690,158252,122,1172,158282,5,11,30,3.092882349848294e-06
158398,8,19,9699690,158398,58,1318,158342,4,7,56,5.773380386383483e-06
158554,8,19,9699690,158554,4,1474,158552,4,7,2,2.0619215665655295e-07
158589,8,19,9699690,158589,39,1509,158612,5,11,23,2.371209801550359e-06
158661,8,19,9699690,158661,111,1581,158612,5,11,49,5.051707838085547e-06
159092,8,19,9699690,159092,122,2012,159178,4,7,86,8.866262736231776e-06
159176,8,19,9699690,159176,206,2096,159178,4,7,2,2.0619215665655295e-07
159778,8,19,9699690,159778,178,388,159808,4,7,30,3.092882349848294e-06
159898,8,19,9699690,159898,88,508,159932,5,11,34,3.5052666631614e-06
160059,8,19,9699690,160059,39,669,160022,4,7,37,3.8145548981462296e-06
160234,8,19,9699690,160234,4,844,160232,4,7,2,2.0619215665655295e-07
160839,8,19,9699690,160839,189,1449,160828,5,11,11,1.1340568616110413e-06
160899,8,19,9699690,160899,39,1509,160922,5,11,23,2.371209801550359e-06
160917,8,19,9699690,160917,57,1527,160922,5,11,5,5.154803916413823e-07
160959,8,19,9699690,160959,99,1569,160922,5,11,37,3.8145548981462296e-06
161638,8,19,9699690,161638,148,2248,161589,7,17,49,5.051707838085547e-06
161889,8,19,9699690,161889,189,189,161906,8,19,17,1.7526333315807e-06
161972,8,19,9699690,161972,62,272,162009,6,13,37,3.8145548981462296e-06
162032,8,19,9699690,162032,122,332,162009,6,13,23,2.371209801550359e-06
162261,8,19,9699690,162261,141,561,162242,5,11,19,1.958825488237253e-06
162281,8,19,9699690,162281,161,581,162242,5,11,39,4.020747054802782e-06
162718,8,19,9699690,162718,178,1018,162748,4,7,30,3.092882349848294e-06
162771,8,19,9699690,162771,21,1071,162752,4,7,19,1.958825488237253e-06
163376,8,19,9699690,163376,206,1676,163378,4,7,2,2.0619215665655295e-07
163539,8,19,9699690,163539,159,1839,163562,5,11,23,2.371209801550359e-06
163628,8,19,9699690,163628,38,1928,163592,4,7,36,3.711458819817953e-06
163641,8,19,9699690,163641,51,1941,163592,4,7,49,5.051707838085547e-06
163652,8,19,9699690,163652,62,1952,163592,4,7,60,6.185764699696588e-06
163858,8,19,9699690,163858,58,2158,163892,5,11,34,3.5052666631614e-06
164098,8,19,9699690,164098,88,88,164090,7,17,8,8.247686266262118e-07
164158,8,19,9699690,164158,148,148,164128,5,11,30,3.092882349848294e-06
164398,8,19,9699690,164398,178,388,164421,7,17,23,2.371209801550359e-06
164481,8,19,9699690,164481,51,471,164458,5,11,23,2.371209801550359e-06
165064,8,19,9699690,165064,4,1054,165062,4,7,2,2.0619215665655295e-07
165238,8,19,9699690,165238,178,1228,165212,5,11,26,2.680498036535188e-06
165411,8,19,9699690,165411,141,1401,165448,5,11,37,3.8145548981462296e-06
166131,8,19,9699690,166131,21,2121,166112,4,7,19,1.958825488237253e-06
166371,8,19,9699690,166371,51,51,166322,4,7,49,5.051707838085547e-06
166378,8,19,9699690,166378,58,58,166322,4,7,56,5.773380386383483e-06
167072,8,19,9699690,167072,122,752,167079,7,17,7,7.216725482979353e-07
167901,8,19,9699690,167901,111,1581,167852,5,11,49,5.051707838085547e-06
167991,8,19,9699690,167991,201,1671,167998,4,7,7,7.216725482979353e-07
168152,8,19,9699690,168152,152,1832,168182,5,11,30,3.092882349848294e-06
168231,8,19,9699690,168231,21,1911,168212,4,7,19,1.958825488237253e-06
168249,8,19,9699690,168249,39,1929,168212,4,7,37,3.8145548981462296e-06
168458,8,19,9699690,168458,38,2138,168422,4,7,36,3.711458819817953e-06
168538,8,19,9699690,168538,118,2218,168512,5,11,26,2.680498036535188e-06
169082,8,19,9699690,169082,32,452,169078,5,11,4,4.123843133131059e-07
169419,8,19,9699690,169419,159,789,169408,5,11,11,1.1340568616110413e-06
169438,8,19,9699690,169438,178,808,169408,5,11,30,3.092882349848294e-06
169562,8,19,9699690,169562,92,932,169502,5,11,60,6.185764699696588e-06
170096,8,19,9699690,170096,206,1466,170098,4,7,2,2.0619215665655295e-07
170252,8,19,9699690,170252,152,1622,170228,8,19,24,2.4743058798786353e-06
170469,8,19,9699690,170469,159,1839,170492,5,11,23,2.371209801550359e-06
170608,8,19,9699690,170608,88,1978,170522,4,7,86,8.866262736231776e-06
170619,8,19,9699690,170619,99,1989,170522,4,7,97,1.0000319597842817e-05
170702,8,19,9699690,170702,182,2072,170728,4,7,26,2.680498036535188e-06
171062,8,19,9699690,171062,122,122,171058,5,11,4,4.123843133131059e-07
171561,8,19,9699690,171561,201,621,171568,4,7,7,7.216725482979353e-07
172149,8,19,9699690,172149,159,1209,172142,5,11,7,7.216725482979353e-07
172311,8,19,9699690,172311,111,1371,172299,7,17,12,1.2371529399393177e-06
172611,8,19,9699690,172611,201,1671,172618,4,7,7,7.216725482979353e-07
172742,8,19,9699690,172742,122,1802,172708,5,11,34,3.5052666631614e-06
172772,8,19,9699690,172772,152,1832,172802,5,11,30,3.092882349848294e-06
172948,8,19,9699690,172948,118,2008,172929,6,13,19,1.958825488237253e-06
173151,8,19,9699690,173151,111,2211,173132,5,11,19,1.958825488237253e-06
173342,8,19,9699690,173342,92,92,173368,5,11,26,2.680498036535188e-06
173702,8,19,9699690,173702,32,452,173698,5,11,4,4.123843133131059e-07
173979,8,19,9699690,173979,99,729,173991,7,17,12,1.2371529399393177e-06
174051,8,19,9699690,174051,171,801,174028,5,11,23,2.371209801550359e-06
174058,8,19,9699690,174058,178,808,174028,5,11,30,3.092882349848294e-06
174081,8,19,9699690,174081,201,831,174088,4,7,7,7.216725482979353e-07
174568,8,19,9699690,174568,58,1318,174512,4,7,56,5.773380386383483e-06
175082,8,19,9699690,175082,152,1832,175112,5,11,30,3.092882349848294e-06
175292,8,19,9699690,175292,152,2042,175348,4,7,56,5.773380386383483e-06
175322,8,19,9699690,175322,182,2072,175348,4,7,26,2.680498036535188e-06
175371,8,19,9699690,175371,21,2121,175352,4,7,19,1.958825488237253e-06
175449,8,19,9699690,175449,99,2199,175442,5,11,7,7.216725482979353e-07
175942,8,19,9699690,175942,172,382,175978,4,7,36,3.711458819817953e-06
176638,8,19,9699690,176638,28,1078,176612,4,7,26,2.680498036535188e-06
176648,8,19,9699690,176648,38,1088,176668,5,11,20,2.0619215665655294e-06
176848,8,19,9699690,176848,28,1288,176822,4,7,26,2.680498036535188e-06
176860,8,19,9699690,176860,40,1300,176822,4,7,38,3.917650976474506e-06
177026,8,19,9699690,177026,206,1466,177028,4,7,2,2.0619215665655295e-07
177141,8,19,9699690,177141,111,1581,177092,5,11,49,5.051707838085547e-06
177208,8,19,9699690,177208,178,1648,177238,4,7,30,3.092882349848294e-06
177219,8,19,9699690,177219,189,1659,177238,4,7,19,1.958825488237253e-06
177236,8,19,9699690,177236,206,1676,177238,4,7,2,2.0619215665655295e-07
177483,8,19,9699690,177483,33,1923,177452,4,7,31,3.1959784281765704e-06
177842,8,19,9699690,177842,182,2282,177868,4,7,26,2.680498036535188e-06
177928,8,19,9699690,177928,58,58,177872,4,7,56,5.773380386383483e-06
178138,8,19,9699690,178138,58,268,178082,4,7,56,5.773380386383483e-06
178461,8,19,9699690,178461,171,591,178498,4,7,37,3.8145548981462296e-06
178768,8,19,9699690,178768,58,898,178742,5,11,26,2.680498036535188e-06
178851,8,19,9699690,178851,141,981,178918,4,7,67,6.907437247994524e-06
178954,8,19,9699690,178954,34,1084,178978,5,11,24,2.4743058798786353e-06
179222,8,19,9699690,179222,92,1352,179241,6,13,19,1.958825488237253e-06
179578,8,19,9699690,179578,28,1708,179552,4,7,26,2.680498036535188e-06
179668,8,19,9699690,179668,118,1798,179638,5,11,30,3.092882349848294e-06
179798,8,19,9699690,179798,38,1928,179762,4,7,36,3.711458819817953e-06
179882,8,19,9699690,179882,122,2012,179968,4,7,86,8.866262736231776e-06
180039,8,19,9699690,180039,69,2169,180062,5,11,23,2.371209801550359e-06
180369,8,19,9699690,180369,189,189,180388,4,7,19,1.958825488237253e-06
181172,8,19,9699690,181172,152,992,181198,8,19,26,2.680498036535188e-06
181486,8,19,9699690,181486,46,1306,181442,4,7,44,4.536227446444165e-06
181528,8,19,9699690,181528,88,1348,181442,4,7,86,8.866262736231776e-06
181557,8,19,9699690,181557,117,1377,181618,5,11,61,6.2888607780248645e-06
181581,8,19,9699690,181581,141,1401,181618,5,11,37,3.8145548981462296e-06
181646,8,19,9699690,181646,206,1466,181648,4,7,2,2.0619215665655295e-07
181856,8,19,9699690,181856,206,1676,181858,4,7,2,2.0619215665655295e-07
182361,8,19,9699690,182361,81,2181,182372,5,11,11,1.1340568616110413e-06
182462,8,19,9699690,182462,182,2282,182488,4,7,26,2.680498036535188e-06
182661,8,19,9699690,182661,171,171,182679,6,13,18,1.8557294099089764e-06
183028,8,19,9699690,183028,118,538,183032,5,11,4,4.123843133131059e-07
183459,8,19,9699690,183459,129,969,183478,8,19,19,1.958825488237253e-06
183621,8,19,9699690,183621,81,1131,183598,5,11,23,2.371209801550359e-06
184071,8,19,9699690,184071,111,1581,184046,6,13,25,2.5774019582069117e-06
184209,8,19,9699690,184209,39,1719,184172,4,7,37,3.8145548981462296e-06
184419,8,19,9699690,184419,39,1929,184382,4,7,37,3.8145548981462296e-06
184491,8,19,9699690,184491,111,2001,184588,4,7,97,1.0000319597842817e-05
184628,8,19,9699690,184628,38,2138,184592,4,7,36,3.711458819817953e-06
184862,8,19,9699690,184862,62,62,184918,5,11,56,5.773380386383483e-06
185721,8,19,9699690,185721,81,921,185672,5,11,49,5.051707838085547e-06
185788,8,19,9699690,185788,148,988,185848,4,7,60,6.185764699696588e-06
186178,8,19,9699690,186178,118,1378,186238,5,11,60,6.185764699696588e-06
186189,8,19,9699690,186189,129,1389,186238,5,11,49,5.051707838085547e-06
186459,8,19,9699690,186459,189,1659,186476,6,13,17,1.7526333315807e-06
186602,8,19,9699690,186602,122,1802,186579,6,13,23,2.371209801550359e-06
186608,8,19,9699690,186608,128,1808,186579,6,13,29,2.9897862715200177e-06
186752,8,19,9699690,186752,62,1952,186692,4,7,60,6.185764699696588e-06
186999,8,19,9699690,186999,99,2199,186992,5,11,7,7.216725482979353e-07
187055,8,19,9699690,187055,155,2255,187022,8,19,33,3.4021705848331236e-06
187468,8,19,9699690,187468,148,358,187431,6,13,37,3.8145548981462296e-06
187534,8,19,9699690,187534,4,424,187532,4,7,2,2.0619215665655295e-07
187912,8,19,9699690,187912,172,802,187888,5,11,24,2.4743058798786353e-06
188114,8,19,9699690,188114,164,1004,188158,4,7,44,4.536227446444165e-06
188192,8,19,9699690,188192,32,1082,188218,5,11,26,2.680498036535188e-06
188697,8,19,9699690,188697,117,1587,188642,5,11,55,5.670284308055206e-06
189009,8,19,9699690,189009,9,1899,189002,4,7,7,7.216725482979353e-07
189206,8,19,9699690,189206,206,2096,189208,4,7,2,2.0619215665655295e-07
189214,8,19,9699690,189214,4,2104,189212,4,7,2,2.0619215665655295e-07
189328,8,19,9699690,189328,118,2218,189309,6,13,19,1.958825488237253e-06
189411,8,19,9699690,189411,201,2301,189418,4,7,7,7.216725482979353e-07
189478,8,19,9699690,189478,58,58,189422,4,7,56,5.773380386383483e-06
189572,8,19,9699690,189572,152,152,189538,5,11,34,3.5052666631614e-06
189590,8,19,9699690,189590,170,170,189628,4,7,38,3.917650976474506e-06
189609,8,19,9699690,189609,189,189,189628,4,7,19,1.958825488237253e-06
189872,8,19,9699690,189872,32,452,189868,5,11,4,4.123843133131059e-07
189928,8,19,9699690,189928,88,508,189962,5,11,34,3.5052666631614e-06
190318,8,19,9699690,190318,58,898,190292,5,11,26,2.680498036535188e-06
190424,8,19,9699690,190424,164,1004,190468,4,7,44,4.536227446444165e-06
190442,8,19,9699690,190442,182,1022,190468,4,7,26,2.680498036535188e-06
190581,8,19,9699690,190581,111,1161,190551,6,13,30,3.092882349848294e-06
191211,8,19,9699690,191211,111,1791,191188,5,11,23,2.371209801550359e-06
191458,8,19,9699690,191458,148,2038,191518,4,7,60,6.185764699696588e-06
191792,8,19,9699690,191792,62,62,191770,7,17,22,2.2681137232220826e-06
192028,8,19,9699690,192028,88,298,192039,6,13,11,1.1340568616110413e-06
192058,8,19,9699690,192058,118,328,192039,6,13,19,1.958825488237253e-06
192112,8,19,9699690,192112,172,382,192148,4,7,36,3.711458819817953e-06
192688,8,19,9699690,192688,118,958,192602,5,11,86,8.866262736231776e-06
193437,8,19,9699690,193437,27,1707,193412,4,7,25,2.5774019582069117e-06
193624,8,19,9699690,193624,4,1894,193622,4,7,2,2.0619215665655295e-07
193652,8,19,9699690,193652,32,1922,193622,4,7,30,3.092882349848294e-06
193738,8,19,9699690,193738,118,2008,193719,7,17,19,1.958825488237253e-06
193779,8,19,9699690,193779,159,2049,193828,4,7,49,5.051707838085547e-06
193899,8,19,9699690,193899,69,2169,193922,5,11,23,2.371209801550359e-06
193918,8,19,9699690,193918,88,2188,193922,5,11,4,4.123843133131059e-07
193938,8,19,9699690,193938,108,2208,193922,5,11,16,1.6495372532524236e-06
194422,8,19,9699690,194422,172,382,194432,8,19,10,1.0309607832827647e-06
194548,8,19,9699690,194548,88,508,194582,5,11,34,3.5052666631614e-06
194578,8,19,9699690,194578,118,538,194582,5,11,4,4.123843133131059e-07
194698,8,19,9699690,194698,28,658,194672,4,7,26,2.680498036535188e-06
195159,8,19,9699690,195159,69,1119,195148,5,11,11,1.1340568616110413e-06
195682,8,19,9699690,195682,172,1642,195692,7,17,10,1.0309607832827647e-06
196149,8,19,9699690,196149,9,2109,196142,4,7,7,7.216725482979353e-07
196161,8,19,9699690,196161,21,2121,196142,4,7,19,1.958825488237253e-06
196461,8,19,9699690,196461,111,111,196468,5,11,7,7.216725482979353e-07
196671,8,19,9699690,196671,111,321,196712,8,19,41,4.226939211459335e-06
197162,8,19,9699690,197162,182,812,197188,4,7,26,2.680498036535188e-06
197282,8,19,9699690,197282,92,932,197289,7,17,7,7.216725482979353e-07
197415,8,19,9699690,197415,15,1065,197402,4,7,13,1.340249018267594e-06
197518,8,19,9699690,197518,118,1168,197499,6,13,19,1.958825488237253e-06
197529,8,19,9699690,197529,129,1179,197552,5,11,23,2.371209801550359e-06
197728,8,19,9699690,197728,118,1378,197788,5,11,60,6.185764699696588e-06
198074,8,19,9699690,198074,44,1724,198032,4,7,42,4.3300352897876115e-06
198715,8,19,9699690,198715,55,55,198662,4,7,53,5.464092151398653e-06
199142,8,19,9699690,199142,62,482,199131,6,13,11,1.1340568616110413e-06
199179,8,19,9699690,199179,99,519,199202,5,11,23,2.371209801550359e-06
199521,8,19,9699690,199521,21,861,199532,5,11,11,1.1340568616110413e-06
199664,8,19,9699690,199664,164,1004,199708,4,7,44,4.536227446444165e-06
199772,8,19,9699690,199772,62,1112,199768,5,11,4,4.123843133131059e-07
199809,8,19,9699690,199809,99,1149,199839,6,13,30,3.092882349848294e-06
200068,8,19,9699690,200068,148,1408,200098,5,11,30,3.092882349848294e-06
200092,8,19,9699690,200092,172,1432,200098,5,11,6,6.185764699696588e-07
200605,8,19,9699690,200605,55,1945,200578,8,19,27,2.783594114863465e-06
200672,8,19,9699690,200672,122,2012,200758,4,7,86,8.866262736231776e-06
201302,8,19,9699690,201302,122,332,201388,4,7,86,8.866262736231776e-06
201591,8,19,9699690,201591,201,621,201598,4,7,7,7.216725482979353e-07
202226,8,19,9699690,202226,206,1256,202228,4,7,2,2.0619215665655295e-07
202412,8,19,9699690,202412,182,1442,202408,5,11,4,4.123843133131059e-07
202761,8,19,9699690,202761,111,1791,202738,5,11,23,2.371209801550359e-06
202982,8,19,9699690,202982,122,2012,202959,6,13,23,2.371209801550359e-06
203031,8,19,9699690,203031,171,2061,203068,4,7,37,3.8145548981462296e-06
203372,8,19,9699690,203372,92,92,203398,5,11,26,2.680498036535188e-06
203391,8,19,9699690,203391,111,111,203398,5,11,7,7.216725482979353e-07
203428,8,19,9699690,203428,148,148,203421,6,13,7,7.216725482979353e-07
203817,8,19,9699690,203817,117,537,203822,5,11,5,5.154803916413823e-07
203852,8,19,9699690,203852,152,572,203822,5,11,30,3.092882349848294e-06
204111,8,19,9699690,204111,201,831,204118,4,7,7,7.216725482979353e-07
204692,8,19,9699690,204692,152,1412,204718,5,11,26,2.680498036535188e-06
204861,8,19,9699690,204861,111,1581,204812,5,11,49,5.051707838085547e-06
205052,8,19,9699690,205052,92,1772,205048,5,11,4,4.123843133131059e-07
205352,8,19,9699690,205352,182,2072,205378,4,7,26,2.680498036535188e-06
205586,8,19,9699690,205586,206,2306,205588,4,7,2,2.0619215665655295e-07
205832,8,19,9699690,205832,32,242,205802,4,7,30,3.092882349848294e-06
206109,8,19,9699690,206109,99,519,206121,7,17,12,1.2371529399393177e-06
206241,8,19,9699690,206241,21,651,206222,4,7,19,1.958825488237253e-06
206288,8,19,9699690,206288,68,698,206344,6,13,56,5.773380386383483e-06
206488,8,19,9699690,206488,58,898,206462,5,11,26,2.680498036535188e-06
206594,8,19,9699690,206594,164,1004,206638,4,7,44,4.536227446444165e-06
206644,8,19,9699690,206644,4,1054,206642,4,7,2,2.0619215665655295e-07
206835,8,19,9699690,206835,195,1245,206848,4,7,13,1.340249018267594e-06
207579,8,19,9699690,207579,99,1989,207482,4,7,97,1.0000319597842817e-05
207879,8,19,9699690,207879,189,2289,207898,4,7,19,1.958825488237253e-06
208491,8,19,9699690,208491,171,591,208528,4,7,37,3.8145548981462296e-06
208558,8,19,9699690,208558,28,658,208534,7,17,24,2.4743058798786353e-06
209248,8,19,9699690,209248,88,1348,209252,8,19,4,4.123843133131059e-07
209488,8,19,9699690,209488,118,1588,209432,5,11,56,5.773380386383483e-06
209698,8,19,9699690,209698,118,1798,209691,7,17,7,7.216725482979353e-07
209817,8,19,9699690,209817,27,1917,209792,4,7,25,2.5774019582069117e-06
209822,8,19,9699690,209822,32,1922,209792,4,7,30,3.092882349848294e-06
210298,8,19,9699690,210298,88,88,210268,8,19,30,3.092882349848294e-06
210358,8,19,9699690,210358,148,148,210328,5,11,30,3.092882349848294e-06
210441,8,19,9699690,210441,21,231,210429,8,19,12,1.2371529399393177e-06
210902,8,19,9699690,210902,62,692,210842,4,7,60,6.185764699696588e-06
210962,8,19,9699690,210962,122,752,210988,5,11,26,2.680498036535188e-06
210964,8,19,9699690,210964,124,754,210988,5,11,24,2.4743058798786353e-06
211214,8,19,9699690,211214,164,1004,211258,4,7,44,4.536227446444165e-06
211288,8,19,9699690,211288,28,1078,211262,4,7,26,2.680498036535188e-06
211408,8,19,9699690,211408,148,1198,211412,5,11,4,4.123843133131059e-07
212019,8,19,9699690,212019,129,1809,212001,6,13,18,1.8557294099089764e-06
212104,8,19,9699690,212104,4,1894,212102,4,7,2,2.0619215665655295e-07
212331,8,19,9699690,212331,21,2121,212312,4,7,19,1.958825488237253e-06
212391,8,19,9699690,212391,81,2181,212402,5,11,11,1.1340568616110413e-06
213032,8,19,9699690,213032,92,512,213062,5,11,30,3.092882349848294e-06
213099,8,19,9699690,213099,159,579,213118,8,19,19,1.958825488237253e-06
213242,8,19,9699690,213242,92,722,213261,7,17,19,1.958825488237253e-06
213364,8,19,9699690,213364,4,844,213362,4,7,2,2.0619215665655295e-07
213566,8,19,9699690,213566,206,1046,213568,4,7,2,2.0619215665655295e-07
213838,8,19,9699690,213838,58,1318,213879,6,13,41,4.226939211459335e-06
213999,8,19,9699690,213999,9,1479,213992,4,7,7,7.216725482979353e-07
214401,8,19,9699690,214401,201,1881,214408,4,7,7,7.216725482979353e-07
215102,8,19,9699690,215102,62,272,215139,7,17,37,3.8145548981462296e-06
215968,8,19,9699690,215968,88,1138,215938,5,11,30,3.092882349848294e-06
216482,8,19,9699690,216482,182,1652,216506,6,13,24,2.4743058798786353e-06
216538,8,19,9699690,216538,28,1708,216512,4,7,26,2.680498036535188e-06
216602,8,19,9699690,216602,92,1772,216598,5,11,4,4.123843133131059e-07
217442,8,19,9699690,217442,92,302,217461,6,13,19,1.958825488237253e-06
217622,8,19,9699690,217622,62,482,217588,5,11,34,3.5052666631614e-06
217798,8,19,9699690,217798,28,658,217772,4,7,26,2.680498036535188e-06
218319,8,19,9699690,218319,129,1179,218342,5,11,23,2.371209801550359e-06
218667,8,19,9699690,218667,57,1527,218672,5,11,5,5.154803916413823e-07
219160,8,19,9699690,219160,130,2020,219238,4,7,78,8.041494109605565e-06
219549,8,19,9699690,219549,99,99,219568,5,11,19,1.958825488237253e-06
220179,8,19,9699690,220179,99,729,220191,6,13,12,1.2371529399393177e-06
220468,8,19,9699690,220468,178,1018,220491,8,19,23,2.371209801550359e-06
220496,8,19,9699690,220496,206,1046,220498,4,7,2,2.0619215665655295e-07
220611,8,19,9699690,220611,111,1161,220581,6,13,30,3.092882349848294e-06
220840,8,19,9699690,220840,130,1390,220888,5,11,48,4.948611759757271e-06
220978,8,19,9699690,220978,58,1528,220982,5,11,4,4.123843133131059e-07
221031,8,19,9699690,221031,111,1581,220982,5,11,49,5.051707838085547e-06
221162,8,19,9699690,221162,32,1712,221132,4,7,30,3.092882349848294e-06
221344,8,19,9699690,221344,4,1894,221342,4,7,2,2.0619215665655295e-07
221668,8,19,9699690,221668,118,2218,221642,5,11,26,2.680498036535188e-06
221720,8,19,9699690,221720,170,2270,221758,4,7,38,3.917650976474506e-06
221769,8,19,9699690,221769,9,9,221762,4,7,7,7.216725482979353e-07
221901,8,19,9699690,221901,141,141,221878,5,11,23,2.371209801550359e-06
222141,8,19,9699690,222141,171,381,222178,4,7,37,3.8145548981462296e-06
222489,8,19,9699690,222489,99,729,222538,5,11,49,5.051707838085547e-06
222722,8,19,9699690,222722,122,962,222808,4,7,86,8.866262736231776e-06
223131,8,19,9699690,223131,111,1371,223198,5,11,67,6.907437247994524e-06
223539,8,19,9699690,223539,99,1779,223528,5,11,11,1.1340568616110413e-06
223749,8,19,9699690,223749,99,1989,223652,4,7,97,1.0000319597842817e-05
223772,8,19,9699690,223772,122,2012,223858,4,7,86,8.866262736231776e-06
223984,8,19,9699690,223984,124,2224,223971,7,17,13,1.340249018267594e-06
224211,8,19,9699690,224211,141,141,224188,5,11,23,2.371209801550359e-06
224428,8,19,9699690,224428,148,358,224488,4,7,60,6.185764699696588e-06
224709,8,19,9699690,224709,9,639,224702,4,7,7,7.216725482979353e-07
224762,8,19,9699690,224762,62,692,224799,6,13,37,3.8145548981462296e-06
224996,8,19,9699690,224996,86,926,224942,5,11,54,5.56718822972693e-06
225189,8,19,9699690,225189,69,1119,225178,5,11,11,1.1340568616110413e-06
225441,8,19,9699690,225441,111,1371,225508,5,11,67,6.907437247994524e-06
225536,8,19,9699690,225536,206,1466,225538,4,7,2,2.0619215665655295e-07
225632,8,19,9699690,225632,92,1562,225651,6,13,19,1.958825488237253e-06
225658,8,19,9699690,225658,118,1588,225651,6,13,7,7.216725482979353e-07
226191,8,19,9699690,226191,21,2121,226172,4,7,19,1.958825488237253e-06
226325,8,19,9699690,226325,155,2255,226378,4,7,53,5.464092151398653e-06
226431,8,19,9699690,226431,51,51,226382,4,7,49,5.051707838085547e-06
226959,8,19,9699690,226959,159,579,226922,5,11,37,3.8145548981462296e-06
227098,8,19,9699690,227098,88,718,227158,5,11,60,6.185764699696588e-06
227192,8,19,9699690,227192,182,812,227218,4,7,26,2.680498036535188e-06
227479,8,19,9699690,227479,49,1099,227488,5,11,9,9.278647049544882e-07
227559,8,19,9699690,227559,129,1179,227541,7,17,18,1.8557294099089764e-06
227806,8,19,9699690,227806,166,1426,227818,5,11,12,1.2371529399393177e-06
227878,8,19,9699690,227878,28,1498,227889,7,17,11,1.1340568616110413e-06
228099,8,19,9699690,228099,39,1719,228062,4,7,37,3.8145548981462296e-06
228118,8,19,9699690,228118,58,1738,228148,5,11,30,3.092882349848294e-06
228860,8,19,9699690,228860,170,170,228842,7,17,18,1.8557294099089764e-06
229202,8,19,9699690,229202,92,512,229232,5,11,30,3.092882349848294e-06
229789,8,19,9699690,229789,49,1099,229798,5,11,9,9.278647049544882e-07
229888,8,19,9699690,229888,148,1198,229892,5,11,4,4.123843133131059e-07
230271,8,19,9699690,230271,111,1581,230259,6,13,12,1.2371529399393177e-06
230278,8,19,9699690,230278,118,1588,230259,6,13,19,1.958825488237253e-06
230439,8,19,9699690,230439,69,1749,230458,5,11,19,1.958825488237253e-06
231039,8,19,9699690,231039,39,39,231002,4,7,37,3.8145548981462296e-06
231392,8,19,9699690,231392,182,392,231418,4,7,26,2.680498036535188e-06
231471,8,19,9699690,231471,51,471,231482,8,19,11,1.1340568616110413e-06
231572,8,19,9699690,231572,152,572,231542,5,11,30,3.092882349848294e-06
231662,8,19,9699690,231662,32,662,231632,4,7,30,3.092882349848294e-06
232570,8,19,9699690,232570,100,1570,232552,8,19,18,1.8557294099089764e-06
232676,8,19,9699690,232676,206,1676,232678,4,7,2,2.0619215665655295e-07
232708,8,19,9699690,232708,28,1708,232682,4,7,26,2.680498036535188e-06
233042,8,19,9699690,233042,152,2042,232989,6,13,53,5.464092151398653e-06
233241,8,19,9699690,233241,141,2241,233192,5,11,49,5.051707838085547e-06
233398,8,19,9699690,233398,88,88,233379,7,17,19,1.958825488237253e-06
