n,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
18872,8,19,9699690,18872,182,392,18898,4,7,26,2.680498036535188e-06
19066,8,19,9699690,19066,166,586,19108,4,7,42,4.3300352897876115e-06
19198,8,19,9699690,19198,88,718,19258,5,11,60,6.185764699696588e-06
19232,8,19,9699690,19232,122,752,19258,5,11,26,2.680498036535188e-06
19263,8,19,9699690,19263,153,783,19258,5,11,5,5.154803916413823e-07
19442,8,19,9699690,19442,122,962,19528,4,7,86,8.866262736231776e-06
19579,8,19,9699690,19579,49,1099,19588,5,11,9,9.278647049544882e-07
19888,8,19,9699690,19888,148,1408,19918,5,11,30,3.092882349848294e-06
20121,8,19,9699690,20121,171,1641,20158,4,7,37,3.8145548981462296e-06
20199,8,19,9699690,20199,39,1719,20162,4,7,37,3.8145548981462296e-06
20252,8,19,9699690,20252,92,1772,20248,5,11,4,4.123843133131059e-07
20931,8,19,9699690,20931,141,141,20908,5,11,23,2.371209801550359e-06
20991,8,19,9699690,20991,201,201,20998,4,7,7,7.216725482979353e-07
21584,8,19,9699690,21584,164,794,21581,8,19,3,3.092882349848294e-07
21591,8,19,9699690,21591,171,801,21581,8,19,10,1.0309607832827647e-06
21598,8,19,9699690,21598,178,808,21581,8,19,17,1.7526333315807e-06
21621,8,19,9699690,21621,201,831,21628,4,7,7,7.216725482979353e-07
21634,8,19,9699690,21634,4,844,21632,4,7,2,2.0619215665655295e-07
21844,8,19,9699690,21844,4,1054,21842,4,7,2,2.0619215665655295e-07
22078,8,19,9699690,22078,28,1288,22052,4,7,26,2.680498036535188e-06
22581,8,19,9699690,22581,111,1791,22558,5,11,23,2.371209801550359e-06
22676,8,19,9699690,22676,206,1886,22678,4,7,2,2.0619215665655295e-07
22718,8,19,9699690,22718,38,1928,22682,4,7,36,3.711458819817953e-06
22948,8,19,9699690,22948,58,2158,22982,5,11,34,3.5052666631614e-06
23432,8,19,9699690,23432,122,332,23518,4,7,86,8.866262736231776e-06
24249,8,19,9699690,24249,99,1149,24208,5,11,41,4.226939211459335e-06
24392,8,19,9699690,24392,32,1292,24362,4,7,30,3.092882349848294e-06
24477,8,19,9699690,24477,117,1377,24538,5,11,61,6.2888607780248645e-06
24628,8,19,9699690,24628,58,1528,24632,5,11,4,4.123843133131059e-07
24729,8,19,9699690,24729,159,1629,24778,4,7,49,5.051707838085547e-06
25018,8,19,9699690,25018,28,1918,24992,4,7,26,2.680498036535188e-06
25352,8,19,9699690,25352,152,2252,25408,4,7,56,5.773380386383483e-06
25862,8,19,9699690,25862,32,452,25858,5,11,4,4.123843133131059e-07
25918,8,19,9699690,25918,88,508,25929,7,17,11,1.1340568616110413e-06
26151,8,19,9699690,26151,111,741,26158,8,19,7,7.216725482979353e-07
26679,8,19,9699690,26679,9,1269,26672,4,7,7,7.216725482979353e-07
26732,8,19,9699690,26732,62,1322,26672,4,7,60,6.185764699696588e-06
26788,8,19,9699690,26788,118,1378,26848,5,11,60,6.185764699696588e-06
26919,8,19,9699690,26919,39,1509,26942,5,11,23,2.371209801550359e-06
27152,8,19,9699690,27152,62,1742,27178,5,11,26,2.680498036535188e-06
27892,8,19,9699690,27892,172,172,27890,6,13,2,2.0619215665655295e-07
28198,8,19,9699690,28198,58,478,28168,5,11,30,3.092882349848294e-06
28292,8,19,9699690,28292,152,572,28262,5,11,30,3.092882349848294e-06
28682,8,19,9699690,28682,122,962,28768,4,7,86,8.866262736231776e-06
28761,8,19,9699690,28761,201,1041,28768,4,7,7,7.216725482979353e-07
29008,8,19,9699690,29008,28,1288,28982,4,7,26,2.680498036535188e-06
