start,stop,length
17432,17432,1
17608,17608,1
17631,17631,1
17638,17638,1
17642,17642,1
17702,17702,1
17739,17739,1
17751,17751,1
17762,17762,1
17769,17769,1
17848,17848,1
17852,17852,1
17854,17854,1
17938,17938,1
18009,18009,1
18032,18032,1
18051,18051,1
18058,18058,1
18062,18062,1
18118,18118,1
18171,18171,1
18268,18268,1
18272,18272,1
18274,18274,1
18362,18362,1
18478,18478,1
18482,18482,1
18561,18561,1
18598,18598,1
18669,18669,1
18688,18688,1
18692,18692,1
18748,18748,1
18789,18789,1
18808,18808,1
18872,18872,1
18898,18898,1
18902,18902,1
18928,18928,1
18951,18951,1
19022,19022,1
19066,19066,1
19108,19108,1
19112,19112,1
19198,19198,1
19232,19232,1
19258,19258,1
19263,19263,1
19318,19318,1
19322,19322,1
19329,19329,1
19352,19352,1
19442,19442,1
19528,19528,1
19532,19532,1
19579,19579,1
19588,19588,1
19659,19659,1
19682,19682,1
19696,19696,1
19738,19738,1
19742,19742,1
19888,19888,1
19918,19918,1
19941,19941,1
19948,19948,1
19952,19952,1
20012,20012,1
20049,20049,1
20121,20121,1
20158,20158,1
20162,20162,1
20199,20199,1
20248,20248,1
20252,20252,1
20319,20319,1
20342,20342,1
20368,20368,1
20372,20372,1
20458,20458,1
20481,20481,1
20578,20578,1
20582,20582,1
20672,20672,1
20788,20788,1
20792,20792,1
20901,20901,1
20908,20908,1
20931,20931,1
20991,20991,1
20998,20998,1
21002,21002,1
21208,21208,1
21212,21212,1
21219,21219,1
21238,21238,1
21332,21332,1
21418,21418,1
21422,21422,1
21568,21568,1
21581,21581,1
21584,21584,1
21591,21591,1
21598,21598,1
21621,21621,1
21628,21628,1
21632,21632,1
21634,21634,1
21639,21639,1
21662,21662,1
21838,21838,1
21842,21842,1
21844,21844,1
21884,21884,1
21898,21898,1
21992,21992,1
22048,22048,1
22052,22052,1
22078,22078,1
22228,22228,1
22251,22251,1
22258,22258,1
22262,22262,1
22292,22292,1
22322,22322,1
22359,22359,1
22468,22468,1
22472,22472,1
22558,22558,1
22581,22581,1
22652,22652,1
22676,22676,1
22678,22678,1
22682,22682,1
22718,22718,1
22779,22779,1
22835,22835,1
22888,22888,1
22892,22892,1
22948,22948,1
22982,22982,1
23098,23098,1
23102,23102,1
23218,23218,1
23241,23241,1
23308,23308,1
23312,23312,1
23432,23432,1
23518,23518,1
23522,23522,1
23548,23548,1
23631,23631,1
23642,23642,1
23728,23728,1
23732,23732,1
23734,23734,1
23878,23878,1
23938,23938,1
23942,23942,1
23949,23949,1
23972,23972,1
24002,24002,1
24051,24051,1
24148,24148,1
24152,24152,1
24208,24208,1
24249,24249,1
24302,24302,1
24358,24358,1
24362,24362,1
24392,24392,1
24477,24477,1
24538,24538,1
24561,24561,1
24568,24568,1
24572,24572,1
24628,24628,1
24632,24632,1
24729,24729,1
24778,24778,1
24782,24782,1
24868,24868,1
24962,24962,1
24988,24988,1
24992,24992,1
25018,25018,1
25191,25191,1
25198,25198,1
25202,25202,1
25292,25292,1
25352,25352,1
25408,25408,1
25412,25412,1
25509,25509,1
25528,25528,1
25618,25618,1
25622,25622,1
25828,25828,1
25832,25832,1
25834,25834,1
25858,25858,1
25862,25862,1
25918,25918,1
25929,25929,1
25952,25952,1
26038,26038,1
26042,26042,1
26151,26151,1
26158,26158,1
26164,26164,1
26188,26188,1
26248,26248,1
26252,26252,1
26259,26259,1
26282,26282,1
26361,26361,1
26458,26458,1
26462,26462,1
26518,26518,1
26612,26612,1
26668,26668,1
26672,26672,1
26679,26679,1
26732,26732,1
26788,26788,1
26848,26848,1
26871,26871,1
26878,26878,1
26882,26882,1
26919,26919,1
26942,26942,1
27086,27086,1
27088,27088,1
27092,27092,1
27152,27152,1
27178,27178,1
27272,27272,1
27298,27298,1
27302,27302,1
27508,27508,1
27512,27512,1
27531,27531,1
27602,27602,1
27621,27621,1
27718,27718,1
27722,27722,1
27838,27838,1
27849,27849,1
27868,27868,1
27890,27890,1
27892,27892,1
27928,27928,1
27932,27932,1
28138,28138,1
28142,28142,1
28168,28168,1
28198,28198,1
28239,28239,1
28262,28262,1
28292,28292,1
28348,28348,1
28352,28352,1
28498,28498,1
28558,28558,1
28562,28562,1
28569,28569,1
28592,28592,1
28682,28682,1
28761,28761,1
28768,28768,1
28772,28772,1
28828,28828,1
28922,28922,1
28978,28978,1
28982,28982,1
29008,29008,1
29091,29091,1
29158,29158,1
29181,29181,1
29188,29188,1
29192,29192,1
29239,29239,1
29252,29252,1
29398,29398,1
29402,29402,1
29488,29488,1
29499,29499,1
29582,29582,1
29608,29608,1
29612,29612,1
29728,29728,1
29818,29818,1
29822,29822,1
29912,29912,1
29942,29942,1
30028,30028,1
30032,30032,1
30034,30034,1
30148,30148,1
30171,30171,1
30238,30238,1
30242,30242,1
30320,30320,1
30448,30448,1
30452,30452,1
30478,30478,1
30501,30501,1
30549,30549,1
30572,30572,1
30658,30658,1
30662,30662,1
30759,30759,1
30808,30808,1
30832,30832,1
30866,30866,1
30868,30868,1
30872,30872,1
30879,30879,1
30902,30902,1
30969,30969,1
31078,31078,1
31082,31082,1
31138,31138,1
31191,31191,1
31232,31232,1
31288,31288,1
31292,31292,1
31412,31412,1
31468,31468,1
31491,31491,1
31498,31498,1
31502,31502,1
31539,31539,1
31562,31562,1
31611,31611,1
31706,31706,1
31708,31708,1
31712,31712,1
31798,31798,1
31821,31821,1
31858,31858,1
31892,31892,1
31905,31905,1
31918,31918,1
31922,31922,1
31929,31929,1
31982,31982,1
32128,32128,1
32132,32132,1
32170,32170,1
32222,32222,1
32241,32241,1
32260,32260,1
32338,32338,1
32342,32342,1
32458,32458,1
32470,32470,1
32481,32481,1
32529,32529,1
32548,32548,1
32552,32552,1
32758,32758,1
32762,32762,1
32788,32788,1
32882,32882,1
32968,32968,1
32972,32972,1
32974,32974,1
32998,32998,1
33069,33069,1
33118,33118,1
33178,33178,1
33182,33182,1
33189,33189,1
33212,33212,1
33298,33298,1
33381,33381,1
33388,33388,1
33392,33392,1
33448,33448,1
33542,33542,1
33598,33598,1
33602,33602,1
33632,33632,1
33699,33699,1
33778,33778,1
33801,33801,1
33808,33808,1
33812,33812,1
33872,33872,1
33896,33896,1
33921,33921,1
34016,34016,1
34018,34018,1
34022,34022,1
34089,34089,1
34108,34108,1
34202,34202,1
34228,34228,1
34232,34232,1
34438,34438,1
34442,34442,1
34479,34479,1
34509,34509,1
34532,34532,1
34551,34551,1
34618,34618,1
34622,34622,1
34648,34648,1
34652,34652,1
34730,34730,1
34761,34761,1
34768,34768,1
34858,34858,1
34862,34862,1
35068,35068,1
35072,35072,1
35098,35098,1
35121,35121,1
35192,35192,1
35241,35241,1
35278,35278,1
35282,35282,1
35284,35284,1
35379,35379,1
35402,35402,1
35428,35428,1
35488,35488,1
35492,35492,1
35499,35499,1
35522,35522,1
35698,35698,1
35702,35702,1
35758,35758,1
35781,35781,1
35848,35848,1
35852,35852,1
35908,35908,1
35912,35912,1
36058,36058,1
36088,36088,1
36092,36092,1
36111,36111,1
36118,36118,1
36122,36122,1
36129,36129,1
36182,36182,1
36326,36326,1
36328,36328,1
36332,36332,1
36358,36358,1
36418,36418,1
36429,36429,1
36448,36448,1
36489,36489,1
36512,36512,1
36538,36538,1
36542,36542,1
36572,36572,1
36578,36578,1
36626,36626,1
36639,36639,1
36748,36748,1
36752,36752,1
36819,36819,1
36842,36842,1
36958,36958,1
36962,36962,1
37078,37078,1
37082,37082,1
37138,37138,1
37149,37149,1
37168,37168,1
37172,37172,1
37252,37252,1
37281,37281,1
37378,37378,1
37382,37382,1
37408,37408,1
37502,37502,1
37558,37558,1
37588,37588,1
37592,37592,1
37738,37738,1
37798,37798,1
37802,37802,1
37804,37804,1
37809,37809,1
37832,37832,1
38008,38008,1
38012,38012,1
38061,38061,1
38068,38068,1
38162,38162,1
38176,38176,1
38218,38218,1
38222,38222,1
38331,38331,1
38398,38398,1
38421,38421,1
38428,38428,1
38432,38432,1
38451,38451,1
38462,38462,1
38492,38492,1
38510,38510,1
38636,38636,1
38638,38638,1
38642,38642,1
38728,38728,1
38768,38768,1
38822,38822,1
38848,38848,1
38852,38852,1
38859,38859,1
39058,39058,1
39062,39062,1
39069,39069,1
39129,39129,1
39152,39152,1
39159,39159,1
39268,39268,1
39272,39272,1
39388,39388,1
