seed_n,control_role,complete_n,control_n,metric,complete_value,control_value,delta_complete_minus_control
147939,local_mod210_control,147939,147729,circular_residue_distance,19.0,7.0,12.0
147939,local_mod210_control,147939,147729,normalized_residue_distance,1.958825488237253e-06,7.216725482979353e-07,1.2371529399393177e-06
148222,local_any_control,148222,148221,circular_residue_distance,36.0,37.0,-1.0
148222,local_any_control,148222,148221,normalized_residue_distance,3.711458819817953e-06,3.8145548981462296e-06,-1.0309607832827681e-07
148222,local_mod210_control,148222,148012,circular_residue_distance,36.0,2.0,34.0
148222,local_mod210_control,148222,148012,normalized_residue_distance,3.711458819817953e-06,2.0619215665655295e-07,3.5052666631614e-06
148862,local_any_control,148862,148861,circular_residue_distance,26.0,27.0,-1.0
148862,local_any_control,148862,148861,normalized_residue_distance,2.680498036535188e-06,2.783594114863465e-06,-1.0309607832827681e-07
148862,local_mod210_control,148862,148652,circular_residue_distance,26.0,26.0,0.0
148862,local_mod210_control,148862,148652,normalized_residue_distance,2.680498036535188e-06,2.680498036535188e-06,0.0
149229,local_any_control,149229,149228,circular_residue_distance,18.0,17.0,1.0
149229,local_any_control,149229,149228,normalized_residue_distance,1.8557294099089764e-06,1.7526333315807e-06,1.0309607832827638e-07
149229,local_mod210_control,149229,149019,circular_residue_distance,18.0,18.0,0.0
149229,local_mod210_control,149229,149019,normalized_residue_distance,1.8557294099089764e-06,1.8557294099089764e-06,0.0
149367,local_any_control,149367,149366,circular_residue_distance,5.0,6.0,-1.0
149367,local_any_control,149367,149366,normalized_residue_distance,5.154803916413823e-07,6.185764699696588e-07,-1.0309607832827649e-07
149367,local_mod210_control,149367,149157,circular_residue_distance,5.0,54.0,-49.0
149367,local_mod210_control,149367,149157,normalized_residue_distance,5.154803916413823e-07,5.56718822972693e-06,-5.051707838085547e-06
149792,local_any_control,149792,149791,circular_residue_distance,60.0,59.0,1.0
149792,local_any_control,149792,149791,normalized_residue_distance,6.185764699696588e-06,6.082668621368312e-06,1.0309607832827638e-07
149792,local_mod210_control,149792,149582,circular_residue_distance,60.0,26.0,34.0
149792,local_mod210_control,149792,149582,normalized_residue_distance,6.185764699696588e-06,2.680498036535188e-06,3.5052666631614e-06
150309,local_any_control,150309,150308,circular_residue_distance,41.0,40.0,1.0
150309,local_any_control,150309,150308,normalized_residue_distance,4.226939211459335e-06,4.123843133131059e-06,1.0309607832827638e-07
150309,local_mod210_control,150309,150099,circular_residue_distance,41.0,49.0,-8.0
150309,local_mod210_control,150309,150099,normalized_residue_distance,4.226939211459335e-06,5.051707838085547e-06,-8.247686266262119e-07
150381,local_any_control,150381,150380,circular_residue_distance,19.0,18.0,1.0
150381,local_any_control,150381,150380,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
150381,local_mod210_control,150381,150171,circular_residue_distance,19.0,19.0,0.0
150381,local_mod210_control,150381,150171,normalized_residue_distance,1.958825488237253e-06,1.958825488237253e-06,0.0
150418,local_any_control,150418,150417,circular_residue_distance,56.0,55.0,1.0
150418,local_any_control,150418,150417,normalized_residue_distance,5.773380386383483e-06,5.670284308055206e-06,1.0309607832827638e-07
150418,local_mod210_control,150418,150208,circular_residue_distance,56.0,56.0,0.0
150418,local_mod210_control,150418,150208,normalized_residue_distance,5.773380386383483e-06,5.773380386383483e-06,0.0
150452,local_any_control,150452,150451,circular_residue_distance,90.0,89.0,1.0
150452,local_any_control,150452,150451,normalized_residue_distance,9.278647049544883e-06,9.175550971216606e-06,1.0309607832827723e-07
150452,local_mod210_control,150452,150242,circular_residue_distance,90.0,26.0,64.0
150452,local_mod210_control,150452,150242,normalized_residue_distance,9.278647049544883e-06,2.680498036535188e-06,6.598149013009695e-06
150482,local_any_control,150482,150481,circular_residue_distance,86.0,87.0,-1.0
150482,local_any_control,150482,150481,normalized_residue_distance,8.866262736231776e-06,8.969358814560053e-06,-1.0309607832827723e-07
150482,local_mod210_control,150482,150272,circular_residue_distance,86.0,4.0,82.0
150482,local_mod210_control,150482,150272,normalized_residue_distance,8.866262736231776e-06,4.123843133131059e-07,8.45387842291867e-06
150542,local_any_control,150542,150541,circular_residue_distance,26.0,27.0,-1.0
150542,local_any_control,150542,150541,normalized_residue_distance,2.680498036535188e-06,2.783594114863465e-06,-1.0309607832827681e-07
150542,local_mod210_control,150542,150332,circular_residue_distance,26.0,26.0,0.0
150542,local_mod210_control,150542,150332,normalized_residue_distance,2.680498036535188e-06,2.680498036535188e-06,0.0
150718,local_any_control,150718,150717,circular_residue_distance,26.0,25.0,1.0
150718,local_any_control,150718,150717,normalized_residue_distance,2.680498036535188e-06,2.5774019582069117e-06,1.0309607832827638e-07
150718,local_mod210_control,150718,150508,circular_residue_distance,26.0,60.0,-34.0
150718,local_mod210_control,150718,150508,normalized_residue_distance,2.680498036535188e-06,6.185764699696588e-06,-3.5052666631614e-06
150812,local_any_control,150812,150811,circular_residue_distance,30.0,29.0,1.0
150812,local_any_control,150812,150811,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
150812,local_mod210_control,150812,150602,circular_residue_distance,30.0,4.0,26.0
150812,local_mod210_control,150812,150602,normalized_residue_distance,3.092882349848294e-06,4.123843133131059e-07,2.680498036535188e-06
150951,local_any_control,150951,150950,circular_residue_distance,23.0,22.0,1.0
150951,local_any_control,150951,150950,normalized_residue_distance,2.371209801550359e-06,2.2681137232220826e-06,1.0309607832827638e-07
150951,local_mod210_control,150951,150741,circular_residue_distance,23.0,37.0,-14.0
150951,local_mod210_control,150951,150741,normalized_residue_distance,2.371209801550359e-06,3.8145548981462296e-06,-1.4433450965958706e-06
151329,local_any_control,151329,151328,circular_residue_distance,23.0,24.0,-1.0
151329,local_any_control,151329,151328,normalized_residue_distance,2.371209801550359e-06,2.4743058798786353e-06,-1.0309607832827638e-07
151329,local_mod210_control,151329,151119,circular_residue_distance,23.0,30.0,-7.0
151329,local_mod210_control,151329,151119,normalized_residue_distance,2.371209801550359e-06,3.092882349848294e-06,-7.216725482979351e-07
151744,local_any_control,151744,151743,circular_residue_distance,62.0,61.0,1.0
151744,local_any_control,151744,151743,normalized_residue_distance,6.391956856353141e-06,6.2888607780248645e-06,1.0309607832827638e-07
151744,local_mod210_control,151744,151534,circular_residue_distance,62.0,54.0,8.0
151744,local_mod210_control,151744,151534,normalized_residue_distance,6.391956856353141e-06,5.56718822972693e-06,8.247686266262111e-07
151857,local_any_control,151857,151856,circular_residue_distance,25.0,24.0,1.0
151857,local_any_control,151857,151856,normalized_residue_distance,2.5774019582069117e-06,2.4743058798786353e-06,1.0309607832827638e-07
151857,local_mod210_control,151857,151647,circular_residue_distance,25.0,25.0,0.0
151857,local_mod210_control,151857,151647,normalized_residue_distance,2.5774019582069117e-06,2.5774019582069117e-06,0.0
151929,local_any_control,151929,151928,circular_residue_distance,11.0,10.0,1.0
151929,local_any_control,151929,151928,normalized_residue_distance,1.1340568616110413e-06,1.0309607832827647e-06,1.030960783282766e-07
151929,local_mod210_control,151929,151719,circular_residue_distance,11.0,37.0,-26.0
151929,local_mod210_control,151929,151719,normalized_residue_distance,1.1340568616110413e-06,3.8145548981462296e-06,-2.6804980365351885e-06
152044,local_any_control,152044,152043,circular_residue_distance,2.0,1.0,1.0
152044,local_any_control,152044,152043,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
152044,local_mod210_control,152044,151834,circular_residue_distance,2.0,2.0,0.0
152044,local_mod210_control,152044,151834,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
152312,local_any_control,152312,152311,circular_residue_distance,22.0,21.0,1.0
152312,local_any_control,152312,152311,normalized_residue_distance,2.2681137232220826e-06,2.1650176448938058e-06,1.0309607832827681e-07
152312,local_mod210_control,152312,152102,circular_residue_distance,22.0,26.0,-4.0
152312,local_mod210_control,152312,152102,normalized_residue_distance,2.2681137232220826e-06,2.680498036535188e-06,-4.1238431331310554e-07
153251,local_any_control,153251,153250,circular_residue_distance,13.0,12.0,1.0
153251,local_any_control,153251,153250,normalized_residue_distance,1.340249018267594e-06,1.2371529399393177e-06,1.0309607832827638e-07
153251,local_mod210_control,153251,153041,circular_residue_distance,13.0,39.0,-26.0
153251,local_mod210_control,153251,153041,normalized_residue_distance,1.340249018267594e-06,4.020747054802782e-06,-2.6804980365351885e-06
153268,local_any_control,153268,153267,circular_residue_distance,30.0,29.0,1.0
153268,local_any_control,153268,153267,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
153268,local_mod210_control,153268,153058,circular_residue_distance,30.0,30.0,0.0
153268,local_mod210_control,153268,153058,normalized_residue_distance,3.092882349848294e-06,3.092882349848294e-06,0.0
153716,local_any_control,153716,153715,circular_residue_distance,2.0,3.0,-1.0
153716,local_any_control,153716,153715,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
153716,local_mod210_control,153716,153506,circular_residue_distance,2.0,2.0,0.0
153716,local_mod210_control,153716,153506,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
154172,local_any_control,154172,154171,circular_residue_distance,30.0,29.0,1.0
154172,local_any_control,154172,154171,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
154172,local_mod210_control,154172,153962,circular_residue_distance,30.0,30.0,0.0
154172,local_mod210_control,154172,153962,normalized_residue_distance,3.092882349848294e-06,3.092882349848294e-06,0.0
154299,local_any_control,154299,154298,circular_residue_distance,23.0,24.0,-1.0
154299,local_any_control,154299,154298,normalized_residue_distance,2.371209801550359e-06,2.4743058798786353e-06,-1.0309607832827638e-07
154299,local_mod210_control,154299,154089,circular_residue_distance,23.0,49.0,-26.0
154299,local_mod210_control,154299,154089,normalized_residue_distance,2.371209801550359e-06,5.051707838085547e-06,-2.680498036535188e-06
154382,local_any_control,154382,154381,circular_residue_distance,30.0,29.0,1.0
154382,local_any_control,154382,154381,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
154382,local_mod210_control,154382,154592,circular_residue_distance,30.0,30.0,0.0
154382,local_mod210_control,154382,154592,normalized_residue_distance,3.092882349848294e-06,3.092882349848294e-06,0.0
154618,local_any_control,154618,154617,circular_residue_distance,34.0,35.0,-1.0
154618,local_any_control,154618,154617,normalized_residue_distance,3.5052666631614e-06,3.6083627414896764e-06,-1.0309607832827638e-07
154618,local_mod210_control,154618,154408,circular_residue_distance,34.0,41.0,-7.0
154618,local_mod210_control,154618,154408,normalized_residue_distance,3.5052666631614e-06,4.226939211459335e-06,-7.216725482979351e-07
154690,local_any_control,154690,154689,circular_residue_distance,19.0,18.0,1.0
154690,local_any_control,154690,154689,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
154690,local_mod210_control,154690,154480,circular_residue_distance,19.0,31.0,-12.0
154690,local_mod210_control,154690,154480,normalized_residue_distance,1.958825488237253e-06,3.1959784281765704e-06,-1.2371529399393175e-06
154911,local_any_control,154911,154910,circular_residue_distance,23.0,22.0,1.0
154911,local_any_control,154911,154910,normalized_residue_distance,2.371209801550359e-06,2.2681137232220826e-06,1.0309607832827638e-07
154911,local_mod210_control,154911,154701,circular_residue_distance,23.0,30.0,-7.0
154911,local_mod210_control,154911,154701,normalized_residue_distance,2.371209801550359e-06,3.092882349848294e-06,-7.216725482979351e-07
155102,local_any_control,155102,155101,circular_residue_distance,86.0,87.0,-1.0
155102,local_any_control,155102,155101,normalized_residue_distance,8.866262736231776e-06,8.969358814560053e-06,-1.0309607832827723e-07
155102,local_mod210_control,155102,154892,circular_residue_distance,86.0,4.0,82.0
155102,local_mod210_control,155102,154892,normalized_residue_distance,8.866262736231776e-06,4.123843133131059e-07,8.45387842291867e-06
155404,local_any_control,155404,155403,circular_residue_distance,2.0,1.0,1.0
155404,local_any_control,155404,155403,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
155404,local_mod210_control,155404,155194,circular_residue_distance,2.0,2.0,0.0
155404,local_mod210_control,155404,155194,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
155841,local_any_control,155841,155840,circular_residue_distance,19.0,18.0,1.0
155841,local_any_control,155841,155840,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
155841,local_mod210_control,155841,155631,circular_residue_distance,19.0,11.0,8.0
155841,local_mod210_control,155841,155631,normalized_residue_distance,1.958825488237253e-06,1.1340568616110413e-06,8.247686266262117e-07
156076,local_any_control,156076,156075,circular_residue_distance,44.0,43.0,1.0
156076,local_any_control,156076,156075,normalized_residue_distance,4.536227446444165e-06,4.433131368115888e-06,1.0309607832827723e-07
156076,local_mod210_control,156076,155866,circular_residue_distance,44.0,12.0,32.0
156076,local_mod210_control,156076,155866,normalized_residue_distance,4.536227446444165e-06,1.2371529399393177e-06,3.2990745065048477e-06
156992,local_any_control,156992,156991,circular_residue_distance,30.0,29.0,1.0
156992,local_any_control,156992,156991,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
156992,local_mod210_control,156992,156782,circular_residue_distance,30.0,86.0,-56.0
156992,local_mod210_control,156992,156782,normalized_residue_distance,3.092882349848294e-06,8.866262736231776e-06,-5.773380386383482e-06
157348,local_any_control,157348,157347,circular_residue_distance,34.0,35.0,-1.0
157348,local_any_control,157348,157347,normalized_residue_distance,3.5052666631614e-06,3.6083627414896764e-06,-1.0309607832827638e-07
157348,local_mod210_control,157348,157138,circular_residue_distance,34.0,56.0,-22.0
157348,local_mod210_control,157348,157138,normalized_residue_distance,3.5052666631614e-06,5.773380386383483e-06,-2.2681137232220826e-06
157419,local_any_control,157419,157418,circular_residue_distance,18.0,17.0,1.0
157419,local_any_control,157419,157418,normalized_residue_distance,1.8557294099089764e-06,1.7526333315807e-06,1.0309607832827638e-07
157419,local_mod210_control,157419,157209,circular_residue_distance,18.0,11.0,7.0
157419,local_mod210_control,157419,157209,normalized_residue_distance,1.8557294099089764e-06,1.1340568616110413e-06,7.216725482979351e-07
157706,local_any_control,157706,157705,circular_residue_distance,2.0,3.0,-1.0
157706,local_any_control,157706,157705,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
157706,local_mod210_control,157706,157496,circular_residue_distance,2.0,2.0,0.0
157706,local_mod210_control,157706,157496,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
157714,local_any_control,157714,157713,circular_residue_distance,2.0,1.0,1.0
157714,local_any_control,157714,157713,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
157714,local_mod210_control,157714,157504,circular_residue_distance,2.0,2.0,0.0
157714,local_mod210_control,157714,157504,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
157821,local_any_control,157821,157820,circular_residue_distance,30.0,29.0,1.0
157821,local_any_control,157821,157820,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
157821,local_mod210_control,157821,157611,circular_residue_distance,30.0,11.0,19.0
157821,local_mod210_control,157821,157611,normalized_residue_distance,3.092882349848294e-06,1.1340568616110413e-06,1.958825488237253e-06
157924,local_any_control,157924,157923,circular_residue_distance,2.0,1.0,1.0
157924,local_any_control,157924,157923,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
157924,local_mod210_control,157924,158134,circular_residue_distance,2.0,2.0,0.0
157924,local_mod210_control,157924,158134,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
158174,local_any_control,158174,158173,circular_residue_distance,14.0,15.0,-1.0
158174,local_any_control,158174,158173,normalized_residue_distance,1.4433450965958706e-06,1.546441174924147e-06,-1.0309607832827638e-07
158174,local_mod210_control,158174,157964,circular_residue_distance,14.0,12.0,2.0
158174,local_mod210_control,158174,157964,normalized_residue_distance,1.4433450965958706e-06,1.2371529399393177e-06,2.0619215665655298e-07
158199,local_any_control,158199,158198,circular_residue_distance,11.0,10.0,1.0
158199,local_any_control,158199,158198,normalized_residue_distance,1.1340568616110413e-06,1.0309607832827647e-06,1.030960783282766e-07
158199,local_mod210_control,158199,157989,circular_residue_distance,11.0,30.0,-19.0
158199,local_mod210_control,158199,157989,normalized_residue_distance,1.1340568616110413e-06,3.092882349848294e-06,-1.958825488237253e-06
158252,local_any_control,158252,158251,circular_residue_distance,30.0,31.0,-1.0
158252,local_any_control,158252,158251,normalized_residue_distance,3.092882349848294e-06,3.1959784281765704e-06,-1.0309607832827638e-07
158252,local_mod210_control,158252,158042,circular_residue_distance,30.0,23.0,7.0
158252,local_mod210_control,158252,158042,normalized_residue_distance,3.092882349848294e-06,2.371209801550359e-06,7.216725482979351e-07
158398,local_any_control,158398,158397,circular_residue_distance,56.0,55.0,1.0
158398,local_any_control,158398,158397,normalized_residue_distance,5.773380386383483e-06,5.670284308055206e-06,1.0309607832827638e-07
158398,local_mod210_control,158398,158608,circular_residue_distance,56.0,4.0,52.0
158398,local_mod210_control,158398,158608,normalized_residue_distance,5.773380386383483e-06,4.123843133131059e-07,5.360996073070377e-06
158554,local_any_control,158554,158553,circular_residue_distance,2.0,1.0,1.0
158554,local_any_control,158554,158553,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
158554,local_mod210_control,158554,158344,circular_residue_distance,2.0,2.0,0.0
158554,local_mod210_control,158554,158344,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
158589,local_any_control,158589,158588,circular_residue_distance,23.0,24.0,-1.0
158589,local_any_control,158589,158588,normalized_residue_distance,2.371209801550359e-06,2.4743058798786353e-06,-1.0309607832827638e-07
158589,local_mod210_control,158589,158379,circular_residue_distance,23.0,37.0,-14.0
158589,local_mod210_control,158589,158379,normalized_residue_distance,2.371209801550359e-06,3.8145548981462296e-06,-1.4433450965958706e-06
158661,local_any_control,158661,158660,circular_residue_distance,49.0,48.0,1.0
158661,local_any_control,158661,158660,normalized_residue_distance,5.051707838085547e-06,4.948611759757271e-06,1.0309607832827638e-07
158661,local_mod210_control,158661,158451,circular_residue_distance,49.0,67.0,-18.0
158661,local_mod210_control,158661,158451,normalized_residue_distance,5.051707838085547e-06,6.907437247994524e-06,-1.8557294099089766e-06
159092,local_any_control,159092,159091,circular_residue_distance,86.0,87.0,-1.0
159092,local_any_control,159092,159091,normalized_residue_distance,8.866262736231776e-06,8.969358814560053e-06,-1.0309607832827723e-07
159092,local_mod210_control,159092,158882,circular_residue_distance,86.0,34.0,52.0
159092,local_mod210_control,159092,158882,normalized_residue_distance,8.866262736231776e-06,3.5052666631614e-06,5.360996073070375e-06
159176,local_any_control,159176,159175,circular_residue_distance,2.0,3.0,-1.0
159176,local_any_control,159176,159175,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
159176,local_mod210_control,159176,158966,circular_residue_distance,2.0,2.0,0.0
159176,local_mod210_control,159176,158966,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
159778,local_any_control,159778,159777,circular_residue_distance,30.0,31.0,-1.0
159778,local_any_control,159778,159777,normalized_residue_distance,3.092882349848294e-06,3.1959784281765704e-06,-1.0309607832827638e-07
159778,local_mod210_control,159778,159568,circular_residue_distance,30.0,30.0,0.0
159778,local_mod210_control,159778,159568,normalized_residue_distance,3.092882349848294e-06,3.092882349848294e-06,0.0
159898,local_any_control,159898,159897,circular_residue_distance,34.0,35.0,-1.0
159898,local_any_control,159898,159897,normalized_residue_distance,3.5052666631614e-06,3.6083627414896764e-06,-1.0309607832827638e-07
159898,local_mod210_control,159898,159688,circular_residue_distance,34.0,23.0,11.0
159898,local_mod210_control,159898,159688,normalized_residue_distance,3.5052666631614e-06,2.371209801550359e-06,1.134056861611041e-06
160059,local_any_control,160059,160058,circular_residue_distance,37.0,36.0,1.0
160059,local_any_control,160059,160058,normalized_residue_distance,3.8145548981462296e-06,3.711458819817953e-06,1.0309607832827681e-07
160059,local_mod210_control,160059,159849,circular_residue_distance,37.0,11.0,26.0
160059,local_mod210_control,160059,159849,normalized_residue_distance,3.8145548981462296e-06,1.1340568616110413e-06,2.6804980365351885e-06
160234,local_any_control,160234,160233,circular_residue_distance,2.0,1.0,1.0
160234,local_any_control,160234,160233,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
160234,local_mod210_control,160234,160024,circular_residue_distance,2.0,2.0,0.0
160234,local_mod210_control,160234,160024,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
160839,local_any_control,160839,160838,circular_residue_distance,11.0,10.0,1.0
160839,local_any_control,160839,160838,normalized_residue_distance,1.1340568616110413e-06,1.0309607832827647e-06,1.030960783282766e-07
160839,local_mod210_control,160839,160629,circular_residue_distance,11.0,19.0,-8.0
160839,local_mod210_control,160839,160629,normalized_residue_distance,1.1340568616110413e-06,1.958825488237253e-06,-8.247686266262117e-07
160899,local_any_control,160899,160898,circular_residue_distance,23.0,24.0,-1.0
160899,local_any_control,160899,160898,normalized_residue_distance,2.371209801550359e-06,2.4743058798786353e-06,-1.0309607832827638e-07
160899,local_mod210_control,160899,160689,circular_residue_distance,23.0,37.0,-14.0
160899,local_mod210_control,160899,160689,normalized_residue_distance,2.371209801550359e-06,3.8145548981462296e-06,-1.4433450965958706e-06
160917,local_any_control,160917,160916,circular_residue_distance,5.0,6.0,-1.0
160917,local_any_control,160917,160916,normalized_residue_distance,5.154803916413823e-07,6.185764699696588e-07,-1.0309607832827649e-07
160917,local_mod210_control,160917,160707,circular_residue_distance,5.0,55.0,-50.0
160917,local_mod210_control,160917,160707,normalized_residue_distance,5.154803916413823e-07,5.670284308055206e-06,-5.154803916413824e-06
160959,local_any_control,160959,160958,circular_residue_distance,37.0,36.0,1.0
160959,local_any_control,160959,160958,normalized_residue_distance,3.8145548981462296e-06,3.711458819817953e-06,1.0309607832827681e-07
160959,local_mod210_control,160959,160749,circular_residue_distance,37.0,79.0,-42.0
160959,local_mod210_control,160959,160749,normalized_residue_distance,3.8145548981462296e-06,8.144590187933842e-06,-4.330035289787612e-06
161638,local_any_control,161638,161637,circular_residue_distance,49.0,48.0,1.0
161638,local_any_control,161638,161637,normalized_residue_distance,5.051707838085547e-06,4.948611759757271e-06,1.0309607832827638e-07
161638,local_mod210_control,161638,161428,circular_residue_distance,49.0,60.0,-11.0
161638,local_mod210_control,161638,161428,normalized_residue_distance,5.051707838085547e-06,6.185764699696588e-06,-1.134056861611041e-06
161889,local_any_control,161889,161888,circular_residue_distance,17.0,18.0,-1.0
161889,local_any_control,161889,161888,normalized_residue_distance,1.7526333315807e-06,1.8557294099089764e-06,-1.0309607832827638e-07
161889,local_mod210_control,161889,161679,circular_residue_distance,17.0,19.0,-2.0
161889,local_mod210_control,161889,161679,normalized_residue_distance,1.7526333315807e-06,1.958825488237253e-06,-2.0619215665655298e-07
161972,local_any_control,161972,161971,circular_residue_distance,37.0,38.0,-1.0
161972,local_any_control,161972,161971,normalized_residue_distance,3.8145548981462296e-06,3.917650976474506e-06,-1.0309607832827638e-07
161972,local_mod210_control,161972,161762,circular_residue_distance,37.0,13.0,24.0
161972,local_mod210_control,161972,161762,normalized_residue_distance,3.8145548981462296e-06,1.340249018267594e-06,2.4743058798786358e-06
162032,local_any_control,162032,162031,circular_residue_distance,23.0,22.0,1.0
162032,local_any_control,162032,162031,normalized_residue_distance,2.371209801550359e-06,2.2681137232220826e-06,1.0309607832827638e-07
162032,local_mod210_control,162032,161822,circular_residue_distance,23.0,4.0,19.0
162032,local_mod210_control,162032,161822,normalized_residue_distance,2.371209801550359e-06,4.123843133131059e-07,1.958825488237253e-06
162261,local_any_control,162261,162260,circular_residue_distance,19.0,18.0,1.0
162261,local_any_control,162261,162260,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
162261,local_mod210_control,162261,162051,circular_residue_distance,19.0,42.0,-23.0
162261,local_mod210_control,162261,162051,normalized_residue_distance,1.958825488237253e-06,4.3300352897876115e-06,-2.3712098015503585e-06
162281,local_any_control,162281,162280,circular_residue_distance,39.0,38.0,1.0
162281,local_any_control,162281,162280,normalized_residue_distance,4.020747054802782e-06,3.917650976474506e-06,1.0309607832827638e-07
162281,local_mod210_control,162281,162071,circular_residue_distance,39.0,47.0,-8.0
162281,local_mod210_control,162281,162071,normalized_residue_distance,4.020747054802782e-06,4.845515681428994e-06,-8.247686266262119e-07
162718,local_any_control,162718,162717,circular_residue_distance,30.0,31.0,-1.0
162718,local_any_control,162718,162717,normalized_residue_distance,3.092882349848294e-06,3.1959784281765704e-06,-1.0309607832827638e-07
162718,local_mod210_control,162718,162508,circular_residue_distance,30.0,30.0,0.0
162718,local_mod210_control,162718,162508,normalized_residue_distance,3.092882349848294e-06,3.092882349848294e-06,0.0
162771,local_any_control,162771,162770,circular_residue_distance,19.0,18.0,1.0
162771,local_any_control,162771,162770,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
162771,local_mod210_control,162771,162561,circular_residue_distance,19.0,11.0,8.0
162771,local_mod210_control,162771,162561,normalized_residue_distance,1.958825488237253e-06,1.1340568616110413e-06,8.247686266262117e-07
163376,local_any_control,163376,163375,circular_residue_distance,2.0,3.0,-1.0
163376,local_any_control,163376,163375,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
163376,local_mod210_control,163376,163166,circular_residue_distance,2.0,2.0,0.0
163376,local_mod210_control,163376,163166,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
163539,local_any_control,163539,163538,circular_residue_distance,23.0,24.0,-1.0
163539,local_any_control,163539,163538,normalized_residue_distance,2.371209801550359e-06,2.4743058798786353e-06,-1.0309607832827638e-07
163539,local_mod210_control,163539,163329,circular_residue_distance,23.0,48.0,-25.0
163539,local_mod210_control,163539,163329,normalized_residue_distance,2.371209801550359e-06,4.948611759757271e-06,-2.5774019582069117e-06
163628,local_any_control,163628,163627,circular_residue_distance,36.0,35.0,1.0
163628,local_any_control,163628,163627,normalized_residue_distance,3.711458819817953e-06,3.6083627414896764e-06,1.0309607832827638e-07
163628,local_mod210_control,163628,163418,circular_residue_distance,36.0,36.0,0.0
163628,local_mod210_control,163628,163418,normalized_residue_distance,3.711458819817953e-06,3.711458819817953e-06,0.0
163641,local_any_control,163641,163640,circular_residue_distance,49.0,48.0,1.0
163641,local_any_control,163641,163640,normalized_residue_distance,5.051707838085547e-06,4.948611759757271e-06,1.0309607832827638e-07
163641,local_mod210_control,163641,163431,circular_residue_distance,49.0,37.0,12.0
163641,local_mod210_control,163641,163431,normalized_residue_distance,5.051707838085547e-06,3.8145548981462296e-06,1.2371529399393175e-06
163652,local_any_control,163652,163651,circular_residue_distance,60.0,59.0,1.0
163652,local_any_control,163652,163651,normalized_residue_distance,6.185764699696588e-06,6.082668621368312e-06,1.0309607832827638e-07
163652,local_mod210_control,163652,163442,circular_residue_distance,60.0,26.0,34.0
163652,local_mod210_control,163652,163442,normalized_residue_distance,6.185764699696588e-06,2.680498036535188e-06,3.5052666631614e-06
163858,local_any_control,163858,163857,circular_residue_distance,34.0,35.0,-1.0
163858,local_any_control,163858,163857,normalized_residue_distance,3.5052666631614e-06,3.6083627414896764e-06,-1.0309607832827638e-07
163858,local_mod210_control,163858,163648,circular_residue_distance,34.0,56.0,-22.0
163858,local_mod210_control,163858,163648,normalized_residue_distance,3.5052666631614e-06,5.773380386383483e-06,-2.2681137232220826e-06
164098,local_any_control,164098,164097,circular_residue_distance,8.0,7.0,1.0
