seed_n,control_role,complete_n,control_n,metric,complete_value,control_value,delta_complete_minus_control
2698,local_mod210_control,2698,2488,normalized_residue_distance,3.092882349848294e-06,1.1340568616110413e-06,1.958825488237253e-06
2788,local_any_control,2788,2787,circular_residue_distance,30.0,29.0,1.0
2788,local_any_control,2788,2787,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
2788,local_mod210_control,2788,2578,circular_residue_distance,30.0,53.0,-23.0
2788,local_mod210_control,2788,2578,normalized_residue_distance,3.092882349848294e-06,5.464092151398653e-06,-2.3712098015503585e-06
3298,local_any_control,3298,3297,circular_residue_distance,60.0,61.0,-1.0
3298,local_any_control,3298,3297,normalized_residue_distance,6.185764699696588e-06,6.2888607780248645e-06,-1.0309607832827638e-07
3298,local_mod210_control,3298,3508,circular_residue_distance,60.0,4.0,56.0
3298,local_mod210_control,3298,3508,normalized_residue_distance,6.185764699696588e-06,4.123843133131059e-07,5.773380386383483e-06
3561,local_any_control,3561,3560,circular_residue_distance,7.0,8.0,-1.0
3561,local_any_control,3561,3560,normalized_residue_distance,7.216725482979353e-07,8.247686266262118e-07,-1.0309607832827649e-07
3561,local_mod210_control,3561,3351,circular_residue_distance,7.0,7.0,0.0
3561,local_mod210_control,3561,3351,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
3628,local_any_control,3628,3627,circular_residue_distance,41.0,42.0,-1.0
3628,local_any_control,3628,3627,normalized_residue_distance,4.226939211459335e-06,4.3300352897876115e-06,-1.0309607832827638e-07
3628,local_mod210_control,3628,3838,circular_residue_distance,41.0,4.0,37.0
3628,local_mod210_control,3628,3838,normalized_residue_distance,4.226939211459335e-06,4.123843133131059e-07,3.814554898146229e-06
3928,local_any_control,3928,3927,circular_residue_distance,37.0,36.0,1.0
3928,local_any_control,3928,3927,normalized_residue_distance,3.8145548981462296e-06,3.711458819817953e-06,1.0309607832827681e-07
3928,local_mod210_control,3928,3718,circular_residue_distance,37.0,30.0,7.0
3928,local_mod210_control,3928,3718,normalized_residue_distance,3.8145548981462296e-06,3.092882349848294e-06,7.216725482979355e-07
3986,local_any_control,3986,3985,circular_residue_distance,2.0,3.0,-1.0
3986,local_any_control,3986,3985,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
3986,local_mod210_control,3986,3776,circular_residue_distance,2.0,2.0,0.0
3986,local_mod210_control,3986,3776,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
4498,local_any_control,4498,4497,circular_residue_distance,4.0,5.0,-1.0
4498,local_any_control,4498,4497,normalized_residue_distance,4.123843133131059e-07,5.154803916413823e-07,-1.0309607832827644e-07
4498,local_mod210_control,4498,4288,circular_residue_distance,4.0,86.0,-82.0
4498,local_mod210_control,4498,4288,normalized_residue_distance,4.123843133131059e-07,8.866262736231776e-06,-8.45387842291867e-06
4773,local_any_control,4773,4772,circular_residue_distance,35.0,34.0,1.0
4773,local_any_control,4773,4772,normalized_residue_distance,3.6083627414896764e-06,3.5052666631614e-06,1.0309607832827638e-07
4773,local_mod210_control,4773,4563,circular_residue_distance,35.0,42.0,-7.0
4773,local_mod210_control,4773,4563,normalized_residue_distance,3.6083627414896764e-06,4.3300352897876115e-06,-7.216725482979351e-07
4885,local_any_control,4885,4884,circular_residue_distance,53.0,52.0,1.0
4885,local_any_control,4885,4884,normalized_residue_distance,5.464092151398653e-06,5.360996073070376e-06,1.0309607832827638e-07
4885,local_mod210_control,4885,4675,circular_residue_distance,53.0,53.0,0.0
4885,local_mod210_control,4885,4675,normalized_residue_distance,5.464092151398653e-06,5.464092151398653e-06,0.0
5342,local_any_control,5342,5341,circular_residue_distance,41.0,40.0,1.0
5342,local_any_control,5342,5341,normalized_residue_distance,4.226939211459335e-06,4.123843133131059e-06,1.0309607832827638e-07
5342,local_mod210_control,5342,5132,circular_residue_distance,41.0,30.0,11.0
