start,stop,length
1013398,1013398,1
1013432,1013432,1
1013456,1013456,1
1013458,1013458,1
1013462,1013462,1
1013469,1013469,1
1013522,1013522,1
1013548,1013548,1
1013642,1013642,1
1013666,1013666,1
1013668,1013668,1
1013672,1013672,1
1013769,1013769,1
1013788,1013788,1
1013834,1013834,1
1013878,1013878,1
1013882,1013882,1
1013972,1013972,1
1014010,1014010,1
1014088,1014088,1
1014092,1014092,1
1014170,1014170,1
1014208,1014208,1
1014231,1014231,1
1014298,1014298,1
1014302,1014302,1
1014508,1014508,1
1014512,1014512,1
1014538,1014538,1
1014592,1014592,1
1014621,1014621,1
1014632,1014632,1
1014662,1014662,1
1014718,1014718,1
1014722,1014722,1
1014724,1014724,1
1014752,1014752,1
1014819,1014819,1
1014868,1014868,1
1014928,1014928,1
1014932,1014932,1
1014939,1014939,1
1014962,1014962,1
1015108,1015108,1
1015138,1015138,1
1015142,1015142,1
1015198,1015198,1
1015270,1015270,1
1015292,1015292,1
1015348,1015348,1
1015352,1015352,1
1015382,1015382,1
1015436,1015436,1
1015472,1015472,1
1015528,1015528,1
1015551,1015551,1
1015558,1015558,1
1015562,1015562,1
1015622,1015622,1
1015719,1015719,1
1015738,1015738,1
1015768,1015768,1
1015772,1015772,1
1015791,1015791,1
1015797,1015797,1
1015802,1015802,1
1015858,1015858,1
1015952,1015952,1
1015978,1015978,1
1015982,1015982,1
1016152,1016152,1
1016188,1016188,1
1016192,1016192,1
1016211,1016211,1
1016248,1016248,1
1016282,1016282,1
1016362,1016362,1
1016372,1016372,1
1016398,1016398,1
1016402,1016402,1
1016499,1016499,1
1016511,1016511,1
1016518,1016518,1
1016608,1016608,1
1016612,1016612,1
1016638,1016638,1
1016818,1016818,1
1016822,1016822,1
1016848,1016848,1
1016861,1016861,1
1016882,1016882,1
1016942,1016942,1
1016979,1016979,1
1017028,1017028,1
1017032,1017032,1
1017034,1017034,1
1017154,1017154,1
1017178,1017178,1
1017238,1017238,1
1017242,1017242,1
1017249,1017249,1
1017272,1017272,1
1017351,1017351,1
1017448,1017448,1
1017452,1017452,1
1017508,1017508,1
1017531,1017531,1
1017598,1017598,1
1017602,1017602,1
1017658,1017658,1
1017662,1017662,1
1017812,1017812,1
1017838,1017838,1
1017861,1017861,1
1017868,1017868,1
1017872,1017872,1
1017932,1017932,1
1018078,1018078,1
1018082,1018082,1
1018119,1018119,1
1018168,1018168,1
1018262,1018262,1
1018288,1018288,1
1018292,1018292,1
1018389,1018389,1
1018498,1018498,1
1018502,1018502,1
1018521,1018521,1
1018592,1018592,1
1018618,1018618,1
1018708,1018708,1
1018712,1018712,1
1018795,1018795,1
1018828,1018828,1
1018880,1018880,1
1018899,1018899,1
1018918,1018918,1
1018922,1018922,1
1019128,1019128,1
1019132,1019132,1
1019158,1019158,1
1019229,1019229,1
1019252,1019252,1
1019338,1019338,1
1019342,1019342,1
1019344,1019344,1
1019458,1019458,1
1019488,1019488,1
1019548,1019548,1
1019552,1019552,1
1019559,1019559,1
1019582,1019582,1
1019691,1019691,1
1019758,1019758,1
1019762,1019762,1
1019775,1019775,1
1019818,1019818,1
1019912,1019912,1
1019926,1019926,1
1019968,1019968,1
1019972,1019972,1
1020028,1020028,1
1020081,1020081,1
1020148,1020148,1
1020171,1020171,1
1020176,1020176,1
1020178,1020178,1
1020182,1020182,1
1020242,1020242,1
1020362,1020362,1
1020388,1020388,1
1020392,1020392,1
1020399,1020399,1
1020478,1020478,1
1020572,1020572,1
1020598,1020598,1
1020602,1020602,1
1020808,1020808,1
1020812,1020812,1
1020902,1020902,1
1020932,1020932,1
1021018,1021018,1
1021022,1021022,1
1021138,1021138,1
1021209,1021209,1
1021228,1021228,1
1021232,1021232,1
1021341,1021341,1
1021438,1021438,1
1021442,1021442,1
1021468,1021468,1
1021502,1021502,1
1021562,1021562,1
1021648,1021648,1
1021652,1021652,1
1021798,1021798,1
1021858,1021858,1
1021862,1021862,1
1021864,1021864,1
1021869,1021869,1
1021892,1021892,1
1021959,1021959,1
1022038,1022038,1
1022068,1022068,1
1022072,1022072,1
1022128,1022128,1
1022199,1022199,1
1022222,1022222,1
1022265,1022265,1
1022278,1022278,1
1022282,1022282,1
1022300,1022300,1
1022349,1022349,1
1022402,1022402,1
1022458,1022458,1
1022481,1022481,1
1022488,1022488,1
1022492,1022492,1
1022518,1022518,1
1022552,1022552,1
1022698,1022698,1
1022702,1022702,1
1022758,1022758,1
1022788,1022788,1
1022811,1022811,1
1022882,1022882,1
1022908,1022908,1
1022912,1022912,1
1022948,1022948,1
1023118,1023118,1
1023122,1023122,1
1023141,1023141,1
1023160,1023160,1
1023212,1023212,1
1023328,1023328,1
1023332,1023332,1
1023448,1023448,1
1023519,1023519,1
1023536,1023536,1
1023538,1023538,1
1023542,1023542,1
1023651,1023651,1
1023748,1023748,1
1023752,1023752,1
1023778,1023778,1
1023782,1023782,1
1023872,1023872,1
1023958,1023958,1
1023962,1023962,1
1024108,1024108,1
1024138,1024138,1
1024168,1024168,1
1024172,1024172,1
1024179,1024179,1
1024202,1024202,1
1024228,1024228,1
1024352,1024352,1
1024378,1024378,1
1024382,1024382,1
1024389,1024389,1
1024438,1024438,1
1024442,1024442,1
1024509,1024509,1
1024532,1024532,1
1024588,1024588,1
1024592,1024592,1
1024689,1024689,1
1024761,1024761,1
1024768,1024768,1
1024791,1024791,1
1024798,1024798,1
1024802,1024802,1
1024862,1024862,1
1024886,1024886,1
1025008,1025008,1
